Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,001,2,7,5,8,8,7,3,6,1,3,3,,9,,,,1,,"Zhang, Jieying","Ozel, Naim Bugra","Tazhibayev, Galymzhan","Banik, Dipta",,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,002,4,9,8,9,4,9,9,6,2,3,3,1,,,,,,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,003,9,9,4,6,4,5,12,3,1,3,1,,4,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,004,5,9,7,8,3,11,10,4,2,1,2,,3,,,,2,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,005,7,5,5,6,8,6,4,3,6,5,,2,6,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,006,3,4,8,10,2,4,4,6,6,6,4,4,2,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,007,14,6,6,4,2,5,,,,,,,1,,,,2,,"Liu, Ruichao",,,,,,rxl200023,,Introductory Financial Accounting 
ACCT,2301,501,7,3,4,7,3,2,3,2,,,1,,5,,,,2,,"Chen, Hangu",,,,,,hxc200040,hangu chen,Introductory Financial Accounting 
ACCT,2301,HON,17,11,5,5,7,5,2,7,,,1,1,2,,,,1,,"Bortz, Tiffany A","Goel, Simran",,,,,tabortz,tiffany bortz,Introductory Financial Accounting 
ACCT,2302,001,22,3,5,11,2,4,1,2,1,,5,2,,,,,2,,"Kim, Tae Wook","Ai, Lanru",,,,,txk230025,tae kim,Introductory Management Accounting 
ACCT,2302,002,2,4,6,8,10,4,10,5,2,5,,,4,,,,,,"Sinha, Kirti","Kwon, Yeongmin",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,003,3,7,9,4,4,11,6,5,2,2,4,1,1,,,,1,,"Sinha, Kirti","Kwon, Yeongmin",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,004,2,5,1,4,6,1,3,7,7,2,5,,11,,,,5,,"Dai, Zhonglan","Zhou, Junfei",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,005,1,7,5,8,8,8,6,7,2,2,2,,3,,,,1,,"Sinha, Kirti","Kwon, Yeongmin",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,006,20,10,7,1,8,4,,5,2,,1,,1,,,,1,,"Zolton, Kathy","Shivaani, MV",,,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,2302,007,22,2,10,13,1,3,,1,1,,,4,,,,,1,,"Kim, Tae Wook","Ai, Lanru",,,,,txk230025,tae kim,Introductory Management Accounting 
ACCT,2302,008,1,6,,1,6,,4,4,2,1,6,,9,,,,6,,"Dai, Zhonglan","Zhou, Junfei",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,009,2,7,1,4,5,6,5,8,,,3,2,6,,,,4,,"Dai, Zhonglan","Zhou, Junfei",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,010,6,3,7,8,5,5,6,5,4,1,2,,4,,,,1,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman,Introductory Management Accounting 
