Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,001,4,6,11,7,7,2,8,6,6,,4,,3,,,,3,,"Zhang, Jieying","Ozel, Naim Bugra","Gu, Dongdi","Zhang, Yang",,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,002,6,9,16,7,11,1,7,4,3,,1,,,,,,2,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,003,8,11,18,6,6,,2,3,5,,3,,1,,,,4,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,004,5,3,16,11,5,4,8,8,3,,1,,2,,,,1,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,005,7,7,9,7,11,,4,4,8,,3,,3,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,006,3,6,13,12,6,3,4,6,4,,2,,3,,,,5,,"Ozel, Naim Bugra","Zhang, Jieying","Gu, Dongdi","Zhang, Yang",,,nbo150030,naim ozel,Introductory Financial Accounting 
ACCT,2301,007,7,4,8,9,2,2,3,2,,1,,,1,,,,,,"Yayvak, Berk",,,,,,bxy190007,,Introductory Financial Accounting 
ACCT,2301,501,6,7,9,3,5,3,1,1,1,1,,,2,,,,,,"Zhou, Junfei",,,,,,jxz190034,,Introductory Financial Accounting 
ACCT,2302,001,4,17,,5,10,,5,9,,1,7,,3,,,,2,,"Zolton, Kathy","Weber, Josiah C",,,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,2302,002,4,6,6,12,10,6,5,3,5,2,2,4,1,,,,,,"Sinha, Kirti","Chen, Hangu",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,003,8,6,5,7,5,7,12,7,1,1,3,1,3,,,,1,,"Sinha, Kirti","Chen, Hangu",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,004,4,11,10,10,16,5,4,3,2,1,,,,,,,,,"Pereira Pinto, Jedson","Shivaani, MV",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
ACCT,2302,005,5,9,7,5,9,9,5,5,6,1,,,3,,1,,1,,"Sinha, Kirti","Chen, Hangu",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,006,7,8,9,5,10,6,4,4,2,2,,2,,,,,,,"Pereira Pinto, Jedson","Shivaani, MV",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
ACCT,2302,007,6,7,3,11,8,6,4,8,,,2,,6,,,,3,,"Dai, Zhonglan","Parupati, Sunil K",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
