Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2302,5U1,2,5,,1,4,2,5,1,1,,,1,3,,,,,,"Zolton, Kathy","Zhang, Yang",,,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,3312,5U1,6,8,7,4,2,4,4,,,1,1,,,,,,,,"Johnson, Jennifer G","Zhou, Junfei",,,,,jxj091000,jennifer johnson,Introduction to Accounting Analytics 
ACCT,3331,5U1,3,4,2,1,4,1,,,,1,2,1,2,,,,,,"Zhou, Yibin","Gu, Dongdi",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3350,5U1,2,4,1,7,3,,4,2,3,4,1,2,2,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,4334,5U1,,2,,3,4,1,,1,3,,,,,,,,,,"Hes, Christopher","Gu, Dongdi",,,,,cah041000,christopher hess,Auditing 
ACCT,6193,SW1,,6,,,4,,,,,,,,,,,,1,,"Solcher, Steven J",,,,,,sjs107020,steven solcher,
ACCT,6202,0W1,,7,16,15,11,8,1,1,,,,,1,,,,,,"Janakiraman, Surya N","Parupati, Sunil K",,,,,suryaj,surya janakiraman,Accounting for Managerial Decision Making and Control 
ACCT,6202,CH1,,22,1,,,,,,,,,,,,,,,,"Barden, John P",,,,,,jpb063000,john barden,
ACCT,6292,SW1,,6,,,5,,,,,,,,,,,,1,,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt,
ACCT,6301,5W1,,9,3,3,,,1,,,,,,1,,,,,,"Frost, Sandra M","Zhang, Yang",,,,,sms151730,sandra frost,Financial Accounting 
ACCT,6305,0W1,,6,11,12,5,2,1,,,,,,1,,,,,,"Janakiraman, Surya N","Parupati, Sunil K",,,,,suryaj,surya janakiraman,Accounting for Managers 
ACCT,6338,0W1,,11,2,1,6,,,1,,,,,1,,,,1,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
ACCT,6344,0W1,,8,12,11,8,7,,,,,,,,,,,,,"Gurun, Umit G","Yayvak, Berk",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6344,0W2,,4,12,9,9,5,2,,,,,,,,1,,1,,"Gurun, Umit G","Yayvak, Berk",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6353,PPA,,4,7,5,5,1,1,,,,,,,,,,,,"Solcher, Steven J",,,,,,sjs107020,steven solcher,
ACCT,6365,5U1,,9,4,11,11,7,2,3,,,,,,,,,2,,"Cheng, Samuel",,,,,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
ACCT,6367,5U1,,39,3,2,2,,,,,,,,,,,,,,"Gamino, John P","Frost, Sandra M","Zhang, Yang",,,,jpg140630,john gamino,Multijurisdictional Taxation 
ACCT,6384,0W1,,28,13,3,7,2,1,1,,,,,1,,,,2,,"Kromer, Jeffrey R","Yayvak, Berk",,,,,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
ACCT,6392,5U1,,11,9,10,14,3,2,,,,,,,,1,,1,,"Hes, Christopher","Gu, Dongdi",,,,,cah041000,christopher hess,Advanced Auditing 
ACCT,6394,XU1,,22,,,,,,,,,,,,,,,,,"McNulty, Diane S",,,,,,dmcnulty,diane mcnulty,
ACN,6395,0W1,,14,,,,,,,,,,,,,,,,,"Hooge, Kimberley D",,,,,,koh170030,kimberley orsten hooge,Cognitive Psychology 
ACN,6V71,013,,,,,,,,,,,,,,,,,,17,"Golden, Richard M",,,,,,golden,richard golden,Industry Internship 
ACN,6V81,0U1,,11,3,,,,,,,,,,,,,,,,"McWilliams, Steven P","Perry, Adam",,,,,sxm127330,steven mcwilliams,Special Topics in Applied Cognition and Neuroscience 
ACN,6V81,5U1,,13,,,,,,,,,,,,,,,,,"Estevez, Leonardo W",,,,,,lwe071000,leonardo estevez,Special Topics in Applied Cognition and Neuroscience 
AMS,2341,0H1,,1,2,3,4,1,,,,,,,,,,,,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,3316,0W1,6,2,,,1,3,1,2,,1,1,,1,,,,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,4379,0W1,6,2,,,,1,,2,,,,,,,,,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Special Topics in American Studies 
ARTS,1301,0W1,25,2,1,,1,1,,,,,,,,,,,,,"Wilder, James E","Akinwole, Oluwadare   (Dare)",,,,,jew042000,james wilder,Exploration of the Arts 
ARTS,1316,5U1,4,4,,,1,,,,,,,,,,,,1,,"Takaloubighash, Maryam",,,,,,mxt210063,,Drawing Foundations 
ARTS,3379,591,1,6,2,,,,,,,,,,2,,,,,,"Loving, Emily A","Baigmoradi, Fatemeh",,,,,exl097120,emily loving,Photography  New Media 
ATCM,2300,0W1,1,9,4,2,4,1,1,,2,3,2,1,,,,,,,"Martinez Ochoa, Angelica Miriam M","Khatri, Hamida",,,,,amm180028,,Introduction to TechnoCulture 
ATCM,2301,551,2,,1,1,1,,2,,,2,,,,,,,1,,"Marder, Amanda K",,,,,,akm150430,amanda marder,Digital Art and Design Foundations 
ATCM,2321,0W1,3,6,2,,1,,,,1,,,,,,,,,,"Rashid, Mohammed Mizanur","Vo, Angelene H",,,,,mxr170004,,Reading Media Critically 
ATCM,2330,0W1,,1,,,4,,2,1,1,,1,1,1,,,,,,"Nielsen, Christina R","Welwood, Samantha F",,,,,crn022000,christina nielsen,Digital Art and Social Practice 
ATCM,2330,0W2,,1,1,2,,2,1,3,,,,,3,,,,,,"O'Neill, Cynthia M",,,,,,cmo180003,cynthia oneill,Digital Art and Social Practice 
ATCM,2350,0U2,14,,,,,,,,,,,,,,,,,,"Hoggatt, Zoey X",,,,,,zch150030,zoey hoggatt,Time-Based Media 
ATCM,3301,0W1,1,4,11,1,1,,,,,,,,1,,,,,,"Shukla, Nishanshi A","Whitlock, Kathryn",,,,,nas180012,nishanshi shukla,Writing for ATEC 
ATCM,3301,0W2,,4,7,,,,,1,,,,,4,,,,,,"Chowdhury, Nusrat Zahan",,,,,,nxc190022,,Writing for ATEC 
ATCM,3306,0W1,4,3,6,3,4,2,,,,1,,,5,,,,,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Modeling and Texturing I 
ATCM,3307,0U1,1,1,4,6,,2,1,,,1,,1,1,,,,,,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition I 
ATCM,3309,0W1,7,9,2,,2,3,,,,,,,3,,,,,,"Fechter, Todd A",,,,,,taf051000,todd fechter,Visual Story I 
ATCM,3337,0W1,8,8,1,,,,,,,,,,3,,,,,,"Wood, Harold G",,,,,,hgw021000,harold wood,Interaction Design I 
ATCM,3338,0W1,4,12,5,1,1,,2,1,,,1,,4,,,,2,,"Griffin, Troy",,,,,,txg121730,troy griffin,Motion Graphics I 
ATCM,3350,0W1,5,3,10,1,5,2,,1,2,,,,,,,,,,"Hewitt, Sharon A","Asgharpour, Hadi",,,,,sxh090220,sharon hewitt,Digital Video Production I 
ATCM,3366,0W1,6,7,6,2,,3,,3,2,,,,1,,,,,,"Irby, Cameron L","Hernandez, Luke A",,,,,cli170000,,Game Studies I 
ATCM,3367,0W1,,1,6,6,4,,,2,,,,,2,,,,,,"Chandler, Adam W",,,,,,awc051000,adam chandler,Level Design I 
ATCM,3368,0W1,5,4,9,1,3,1,2,,1,,,,3,,,,,,"Chandler, Adam W",,,,,,awc051000,adam chandler,Scripting for Games I 
ATCM,3388,0W1,5,5,2,1,,2,,,,,,,1,,,,,,"Fraley, James M","Rahman, Mohammad K","Ikebude, Chukwuemeka",,,,jmf210007,james fraley,Attitudes and Behaviors 
ATCM,4319,0W1,2,4,1,,,,1,2,,,1,,2,,,,,,"Gardner, Frederick",,,,,,fxg230003,frederick gardner,Topics in Animation 
ATCM,4326,0W1,2,4,2,2,3,2,1,1,1,,,,,,,,,,"Heaslip, Audra","Cole, Abby",,,,,axh027000,audra heaslip,Mediated Textuality 
ATCM,4330,0W1,2,2,1,1,1,,,1,,,,,3,,,,,,"Nielsen, Christina R","Lee, Yueh-Jung","Rahman, Maruf",,,,crn022000,christina nielsen,Culture Jamming 
ATCM,4338,0U1,,3,3,2,,,1,1,,,,,,,,,,,"Farrar, Eric T",,,,,,etf091000,eric farrar,Motion Graphics II 
ATCM,4350,0W1,3,3,3,1,,2,,,1,,1,,2,,,,,,"Hewitt, Sharon A",,,,,,sxh090220,sharon hewitt,Digital Video Production II 
ATCM,4364,051,8,4,,3,,,1,,,,,,1,,,,,,"Trosper, Elizabeth M","Nair, Vinayak",,,,,emt130130,elizabeth trosper,Topics in Design 
ATCM,4384,551,8,12,1,,5,,,2,,,1,,,,1,,,,"Rheams, David C","Ayodabo, Sunday J",,,,,dcr093020,david rheams,Ethics in New Media  Technology  and Communication 
AUD,6216,0U1,,12,3,,,,,,,,,,,,,,,,"Cokely, Carol G","Woodford, Allison S",,,,,cgc016200,,Audiologic Rehabilitation for Adults 
AUD,7240,5U1,,6,5,,1,,,,,,,,,,,,,,"Griffiths, Scott K","Zang, Andie L",,,,,skg180000,,Auditory Processing Disorders and other Advanced Topics in Audiology 
AUD,7280,064,,,,,,,,,,,,,,,,,,14,"Fowler, Stephanie L","Mosley, Cornetta",,,,,slr150030,,Doctoral Practicum in Audiology 
AUD,7280,0U1,,,,,,,,,,,,,,,,,,14,"Griffiths, Scott K",,,,,,skg180000,scott griffiths,
AUD,7310,5U1,,26,,,2,,,,,,,,,,,,,,"Clark, Jackie L","Crow, Sarah E",,,,,jclark,jackie clark,Professional Issues in Audiology 
AUD,7325,0U1,,15,,,,,,,,,,,,,,,,,"Thibodeau, Linda K","Warner-Czyz, Andrea D",,,,,thib,linda thibodeau,Intensive Auditory Rehabilitation for Adult Hearing Loss 
AUD,8V97,064,,,,,,,,,,,,,,,,,,12,"Cokely, Carol G",,,,,,cgc016200,carol cokely,
BA,1320,5U1,,5,2,2,6,3,1,6,,,,,,,,,,,"Lewin, Peter","Hu, Jiawei",,,,,plewin,peter lewin,Business in a Global World  (3 Semester Credit Hours)
BA,4090,091,,,,,,,,,,,,,,32,,,,,"Henderson, Thomas C",,,,,,,thomas henderson,
