Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,001,4,7,8,5,9,3,3,3,3,,,,1,21,2,,5,"Zhang, Jieying","Holstead, Cameron",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,002,9,4,5,7,5,5,2,5,1,,,,1,25,1,,4,"Zhang, Jieying","Holstead, Cameron",,,,,jxz146230,jieying zhang,Introductory Financial Accounting 
ACCT,2301,003,7,3,2,2,8,2,7,4,1,,,,,30,1,,8,"Huang, Ying","Song, Dongye",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,004,7,2,5,5,6,7,4,4,,1,,,,28,4,,1,"Huang, Ying","Song, Dongye",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,005,5,2,6,7,5,1,2,,1,2,,,6,5,12,,20,"Bowen, Richard M","Kim, Eun Sean",,,,,rxb073100,richard bowen,Introductory Financial Accounting 
ACCT,2301,501,3,10,5,2,10,4,6,4,1,,,,1,23,,,6,"Huang, Ying","Song, Dongye",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2302,001,15,21,7,7,4,2,,1,,,,,,4,2,,2,"Pinto, Jedson P","Gencer, Nur Pinar",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
ACCT,2302,002,11,24,8,9,4,2,,2,,1,,,1,1,,,1,"Pinto, Jedson P","Gencer, Nur Pinar",,,,,jpp200002,jedson pinto,Introductory Management Accounting 
ACCT,2302,003,7,13,8,9,5,6,1,1,1,1,,,,16,,,2,"Sinha, Kirti","Tatiparti, Venu Madhav",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,004,7,16,6,5,5,4,3,1,3,,,,,13,5,,2,"Sinha, Kirti","Tatiparti, Venu Madhav",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,2302,005,3,16,6,6,12,,2,5,,3,2,1,,8,3,,2,"Dai, Zhonglan","Nathan, Brad",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,006,4,25,5,2,14,,,3,,3,3,,,7,3,,1,"Dai, Zhonglan","Nathan, Brad",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,007,1,19,5,5,12,3,1,,,1,2,,5,5,2,,5,"Dai, Zhonglan","Nathan, Brad",,,,,zxd051000,zhonglan dai,Introductory Management Accounting 
ACCT,2302,501,8,15,6,8,2,1,1,,2,,,2,2,20,2,,1,"Sinha, Kirti","Tatiparti, Venu Madhav",,,,,kxs190050,kirti sinha,Introductory Management Accounting 
ACCT,3101,PPA,,,,,,,,,,,,,,76,,,0,"Bortz, Tiffany A","Chaturvedi, Sneha",,,,,tabortz,tiffany bortz,Professional Program in Accounting Lyceum 
ACCT,3322,001,2,13,2,4,11,1,1,3,,,4,,,12,1,,5,"Goodrich, Mary Beth W","Burnette, Naomi R",,,,,goodrich,mary beth goodrich,Integrated Accounting Information Systems 
ACCT,3331,001,1,4,8,2,3,2,6,4,,2,1,2,1,6,5,,6,"Zhou, Yibin","Chaturvedi, Sneha",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3331,002,1,6,2,3,3,3,2,2,,2,3,,,6,2,,5,"Zhou, Yibin","Chaturvedi, Sneha",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3331,501,4,2,5,3,9,4,2,1,4,,3,,1,12,5,,5,"Solcher, Steven J","Kim, Eun Sean",,,,,sjs107020,steven solcher,Intermediate Financial Accounting I 
ACCT,3332,001,7,7,5,4,7,1,,5,,2,3,4,2,10,4,,5,"Bortz, Tiffany A","Chaturvedi, Sneha",,,,,tabortz,tiffany bortz,Intermediate Financial Accounting II 
ACCT,3332,501,,2,,,5,,,3,,,5,,2,10,2,,8,"Karnuta, Daniel","Le, My-Duyen T",,,,,dxk173030,daniel karnuta,Intermediate Financial Accounting II 
ACCT,3341,001,6,14,7,13,6,6,1,,,,,,,10,,,2,"Sadka, Gil","Sandhu, Gurvinder",,,,,gxs143630,gil sadka,Cost Management Systems 
ACCT,3341,501,2,10,7,9,8,7,,,,1,,,1,5,1,,1,"Sadka, Gil","Sandhu, Gurvinder",,,,,gxs143630,gil sadka,Cost Management Systems 
ACCT,3350,001,4,10,3,3,4,6,2,1,2,,,,1,5,2,,2,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,3350,501,1,5,,,5,2,,1,6,,1,1,,7,4,,1,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,3350,PPA,3,9,8,6,15,4,2,,3,,,,,20,7,,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
