Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
AUD,6352,5U1,,13,,1,,,,,,,,,,,,,,,"Clark, Jackie L","Keywork, Sophia B",,,,
AUD,7325,5U1,,13,1,,,1,,,,,,,,,,,,,"Thibodeau, Linda K","Mosley, Cornetta","Alvarez, Lindee A",,,
AUD,7V80,067,,,,,,,,,,,,,,,,,,14,"Fowler-Brookman, Stephanie L","Mosley, Cornetta","Woodford, Allison S","Crow, Sarah E",,
AUD,7V80,070,,,,,,,,,,,,,,,,,,16,"Fowler-Brookman, Stephanie L","Woodford, Allison S","Crow, Sarah E",,,
AUD,7V82,0U3,,15,,,,,,,,,,,,,,,,,"Clark, Jackie L","Rahimi Ghooradel, Farshid",,,,
AUD,7V82,0U4,,14,,,1,,,,,,,,,,,,,,"Shoup, Angela G",,,,,
AUD,8V97,064,,,,,,,,,,,,,,,,,,11,"Cokely, Carol G",,,,,
BA,1320,0U1,1,2,1,,3,1,1,1,,,1,,,,,,,,"Blueshtein, Moran","Wu, Jie",,,,
BA,4090,091,,,,,,,,,,,,,,36,,,,,"Henderson, Thomas C",,,,,
BA,4090,092,,,,,,,,,,,,,,25,,,,,"Dam, Van C",,,,,
BA,4090,0U1,,,,,,,,,,,,,,29,,,1,,"Henderson, Thomas C",,,,,
BA,4090,0U2,,,,,,,,,,,,,,16,,1,,,"Dam, Van C",,,,,
BA,4095,0W1,,,,,,,,,,,,,,71,,,,,"Owens, Dawn M","Granger, Angela L",,,,
BA,4V90,0U3,,,,,,,,,,,,,,21,,,,,"Henderson, Thomas C",,,,,
BA,4V90,593,,,,,,,,,,,,,,16,,,,,"Henderson, Thomas C",,,,,
BCOM,3300,052,,2,8,4,2,2,1,,,,,,,,,,,,"Pitchford, Bethany",,,,,
BCOM,4300,0U1,3,6,7,5,1,1,1,,1,,,,,,,,1,,"Ali, Shazia",,,,,
BCOM,4300,0U2,4,12,14,4,1,1,1,,,,,,,,,,,,"Ali, Shazia",,,,,
BCOM,4300,5U1,,2,9,6,4,2,1,1,,,,,,,,,,,"Fry, Jennifer L",,,,,
BCOM,4300,5U2,,6,10,9,6,5,,,,1,,,,,,,1,,"Fry, Jennifer L",,,,,
BIOL,2111,0U1,15,5,2,4,,1,,1,,,,,,,,,,,"Sarcar, Subha",,,,,
BIOL,2112,0U1,1,3,7,3,2,5,3,5,3,3,1,1,5,,,,,,"Padmanabhan, Ramesh","Anand, Rithika","Xu, Linyi",,,
BIOL,2281,3U1,1,3,2,6,2,,1,1,1,,1,,1,,,,1,,"Pickett, Elizabeth A","Salamat, Narges","Thomas, Nathaniel","Briggs, Alyssa A","Amin, Hibah",
BIOL,2281,3U2,2,4,3,4,3,2,,1,,,,,,,,,,,"Salamat, Narges","Pickett, Elizabeth A","Nelson, Ashlianne A","Hari Prasad, Vineeth","Griffin, Caylah",
BIOL,2281,3U3,1,6,1,3,5,2,3,,,,,,,,,,,,"Salamat, Narges","Pickett, Elizabeth A","Liu, Junyu","Basu, Ujjaini","Tien, Hsin-Jung",
BIOL,2311,0U1,15,5,2,4,,1,,1,,,,,,,,,,,"Sarcar, Subha","Camp, John M","Cornelius, Samuel A",,,
BIOL,2312,0U1,1,3,7,3,2,5,3,5,3,3,1,1,5,,,,1,,"Padmanabhan, Ramesh","Anand, Rithika","Xu, Linyi",,,
BIOL,3303,0U1,4,1,4,2,4,1,,3,3,,1,,1,,,,,,"Boyd, Stefanie D","Zhi, Jiahe","Bonde, Namrata Dinesh","Shipman, Braden M",,
BIOL,3318,0U1,25,14,1,1,,,,,,,,,,,,,,,"Gomez, Amy Jo M","Chacon Castro, Maria Del Carmen","Elhawary, Ezzeldin N",,,
BIOL,3380,3U3,3,1,2,3,1,3,,3,,1,1,2,,,,,,,"Srinivasan, Bhooma","Pickett, Elizabeth A","Falah, Rafah M","Zhabilov, Dannie",,
BIOL,3380,3U4,,1,,2,1,4,4,1,4,2,1,,,,,,,,"Pickett, Elizabeth A","Srinivasan, Bhooma","Berisha, Eranda","Liu, Yihan",,
BIOL,3401,0U1,3,8,8,7,11,7,12,5,4,1,,1,1,,,,,,"Srikanth, Uma","Kwende, Sharon A","Lalami, Hamza","Salaudeen, Ibrahim O","Afolami, Olufemi Ifeoluwa","Maiti, Dibyo"
BIOL,3402,0U1,9,4,7,1,1,,2,1,,,,,,,,,,,"Sarcar, Subha","Ning, Dun","Yamauchi, Stephanie A",,,
BIOL,3455,3U1,2,6,4,4,1,,4,3,6,,1,,1,,,,2,,"Wu, Zhuoru","Gong, Hanling","Veera, Kavya","Langley, Lyndsey","Winn, Emma A",
BIOL,3455,3U2,2,3,2,4,1,2,2,,1,1,1,,2,,,,,,"Wu, Zhuoru","Gong, Hanling","Veera, Kavya",,,
BIOL,3456,3U1,,5,,3,4,,3,,1,2,,,,,,,2,,"Yu, Wen-Ho","Spence, Lindsay J",,,,
BIOL,3461,0U1,3,3,,2,3,5,4,1,5,2,2,2,4,,,,,,"Boyd, Stefanie D","Akter, Zakia","Hossain, Md Liakat","Estrada, Bryan J",,
BIOL,3462,0W1,9,29,4,3,1,1,1,,,,,1,,,,,,,"Candas, Mehmet","Sunder Singh, Jacqulene Preethi",,,,
BIOL,3V00,0W1,8,16,,,1,,,,,,,,1,,,,,,"Candas, Mehmet",,,,,
BIS,2190,0W1,2,9,1,,4,1,1,1,,2,,,1,,,,,,"Gillo, Sabrina F",,,,,
BIS,3320,051,10,8,1,,,1,,,,,,,,,,,1,,"Lusk, Marc L",,,,,
BLAW,2301,5U1,1,13,2,2,2,,,,1,2,,,,,,,,,"Barrow, Frederick",,,,,
BMEN,2320,0W1,11,1,,,,,,,1,,,,,,,,,,"Kang, Gu Eon",,,,,
BMEN,3200,0U1,,19,,,3,,,,,,,,,,,,,,"Stout, Angeloh M","Shihabeddin, Tarik",,,,
BMEN,3302,051,1,3,1,,3,2,,,,,,,,,,,1,,"Ali, Tariq M",,,,,
