Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized,title
"Sun, Yan",,,,,,ACCT,2301,002,6,7,9,8,6,2,5,9,3,4,,2,,,,,,,3,yxs121130,yan (tricia) sun,Introductory Financial Accounting 
"Aksu, Mine H","Hou, Liya",,,,,ACCT,2301,003,2,3,7,2,2,7,3,5,3,2,3,2,9,,,,,,12,mha100020,mine aksu,Introductory Financial Accounting 
"Swaim, Stephanie R","Payne, Colton A",,,,,ACCT,2301,001,3,2,1,3,5,5,6,13,8,5,2,,9,,,,,,2,srp065000,stephanie poindexter swaim,Introductory Financial Accounting 
"Troutman, Amy B","Payne, Colton A",,,,,ACCT,2301,005,3,13,8,10,11,6,4,5,,2,,1,1,,,,,1,0,amybass,amy troutman,Introductory Financial Accounting 
"Dai, Zhonglan","Nathan, Brad",,,,,ACCT,2302,003,2,9,3,2,10,5,9,7,3,1,1,1,4,,,,,,2,zxd051000,zhonglan dai,Introductory Management Accounting 
"Williams, Lisa C",,,,,,ACCT,2302,002,3,15,6,9,4,6,4,6,4,1,3,1,2,,,,,,1,lisacw,lisa williams,Introductory Management Accounting 
"Williams, Lisa C",,,,,,ACCT,2302,001,4,8,1,7,9,4,7,7,,4,3,2,3,,,,,,5,lisacw,lisa williams,Introductory Management Accounting 
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6202,0W1,,5,9,10,8,2,3,,,,,,,,,,,1,1,suryaj,surya janakiraman,Managerial Accounting 
"Janakiraman, Surya","Jang, Youngki",,,,,ACCT,6305,0W1,,6,3,6,5,1,2,,,,,,2,,,,,,0,suryaj,surya janakiraman,Accounting for Managers 
"Troutman, Amy B","Payne, Colton A",,,,,ACCT,6335,0W1,,7,20,15,3,3,,,,,,,,,,,,,2,amybass,amy troutman,Ethics for Professional Accountants 
"Goodrich, Mary Beth W","Vinayagam, Chidambara P",,,,,ACCT,3322,001,3,16,1,8,9,1,6,1,,,1,,1,,,,,,1,goodrich,mary beth goodrich,Integrated Accounting Information Systems 
"Yehuda, Nir","Zhou, Xiaolu",,,,,ACCT,3331,001,3,3,10,8,6,8,5,4,,,5,,2,,,,,,3,nxy130530,nir yehuda,Intermediate Financial Accounting I 
"Zhou, Yibin","Li, Chenchen",,,,,ACCT,3331,002,3,4,3,3,3,4,3,4,1,,,,8,,,,,,0,yxz066000,yibin zhou,Intermediate Financial Accounting I 
"Li, Meng","Chu, Yu Fang",,,,,ACCT,3341,001,1,5,5,3,1,2,1,1,,,1,2,,,,,,,0,mxl120531,meng li,Cost Management Systems 
"Li, Meng","Chu, Yu Fang",,,,,ACCT,3341,002,4,9,7,5,7,5,8,2,,2,3,3,2,,,,,,0,mxl120531,meng li,Cost Management Systems 
"Linsteadt, Chris C","Braughton, Caleb M",,,,,ACCT,4334,001,,5,,,17,1,,16,,,2,,,,,,,,0,ccl019000,chris linsteadt,Auditing 
"Linsteadt, Chris C","Braughton, Caleb M",,,,,ACCT,4334,501,,8,,,16,2,,7,2,,2,,2,,,,,1,0,ccl019000,chris linsteadt,Auditing 
"Bowen, Richard M","Shavrina, Irina V",,,,,ACCT,4336,001,4,5,11,2,7,10,8,6,3,,,,1,,,,,,1,rxb073100,richard bowen,Financial Statement Analysis 
"Hagen, John C","Juarez Herrera, Pablo J",,,,,ACCT,4342,501,2,3,11,5,9,7,2,1,3,1,1,,3,,,,,,0,jch013200,john hagen,Analysis and Design of Accounting Systems 
