Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,12,6,1,7,3,2,5,2,,4,1,,2,,,,1,,"Kobilov, Botir","Zhang, Ye",,,,
ACCT,2301,002,7,5,5,6,1,6,2,1,,2,,,1,,,,3,,"Chen, Hangu",,,,,
ACCT,2301,003,11,4,4,6,4,4,2,2,,,,,3,,,,,,"Liu, Ruichao",,,,,
ACCT,2301,004,6,4,6,10,2,5,1,1,1,,,,1,,,,1,,"Ai, Lanru",,,,,
ACCT,2301,005,8,8,9,1,11,8,5,5,,,3,2,3,,,,1,,"Huang, Ying","Tazhibayev, Galymzhan",,,,
ACCT,2301,006,28,7,5,6,3,5,,2,3,2,1,1,3,,,,1,,"Huang, Junfan","Lipinski, Alisa A",,,,
ACCT,2301,007,8,6,7,4,4,,2,3,2,2,,,1,,,,1,,"Shivaani, MV",,,,,
ACCT,2301,008,24,7,10,6,3,4,4,2,,1,,1,3,,,,1,,"Huang, Junfan","Lipinski, Alisa A",,,,
ACCT,2301,009,7,6,7,8,8,6,8,2,1,2,1,1,1,,,,1,,"Siano, Federico","Nguyen, Mary M",,,,
ACCT,2301,010,6,11,7,3,8,9,6,11,,,1,1,3,,,,1,,"Huang, Ying","Tazhibayev, Galymzhan",,,,
ACCT,2301,011,8,7,7,8,7,4,2,3,4,4,,2,2,,,,1,,"Siano, Federico","Nguyen, Mary M",,,,
ACCT,2301,012,26,11,8,5,1,3,4,3,,1,1,,2,,,,,,"Huang, Junfan","Lipinski, Alisa A",,,,
ACCT,2301,013,9,10,4,6,6,1,5,3,1,3,3,2,4,,,,4,,"Kobilov, Botir","Zhang, Ye",,,,
ACCT,2301,014,9,6,8,13,5,3,6,,3,3,1,1,1,,,,1,,"Siano, Federico","Nguyen, Mary M",,,,
ACCT,2301,501,3,2,3,4,5,5,2,4,3,3,2,,1,,,,2,,"Zhou, Junfei",,,,,
ACCT,2301,502,5,10,5,5,3,3,3,,,,1,,2,,,,,,"Shivaani, MV",,,,,
ACCT,2301,HON,12,12,8,4,7,4,5,2,1,,2,1,,,,,1,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,
ACCT,2302,001,1,8,,4,6,,1,5,,2,2,1,7,,,,3,,"Zolton, Kathy","Mogesie, Rahel G",,,,
ACCT,2302,002,4,15,,2,14,,1,8,,1,1,2,3,,,,4,,"Zolton, Kathy","Mogesie, Rahel G",,,,
ACCT,2302,003,14,6,3,9,5,4,8,2,4,1,,1,,,,,3,,"Copat, Rafael","Mariano, Dylan N",,,,
ACCT,2302,004,15,9,4,11,2,4,3,5,2,,1,3,,,,,,,"Copat, Rafael","Mariano, Dylan N",,,,
ACCT,2302,005,3,14,6,5,11,3,4,3,,2,,,2,,,,6,,"Natarajan, Ramachandran","Parupati, Sunil K",,,,
ACCT,2302,006,19,6,6,4,6,5,8,1,,2,1,,,,,,2,,"Copat, Rafael","Mariano, Dylan N",,,,
ACCT,2302,007,23,5,7,3,7,5,1,2,1,,2,3,,,,,1,,"Kim, Tae Wook","Banik, Dipta",,,,
ACCT,2302,501,18,3,5,6,6,7,,1,2,1,1,1,2,,,,1,,"Kim, Tae Wook","Banik, Dipta",,,,
ACCT,3101,PPA,,,,,,,,,,,,,,75,,,,,"Bortz, Tiffany A","Goel, Simran",,,,
ACCT,3312,001,12,16,10,5,7,2,6,,,,1,,,,,,,,"Johnson, Jennifer G","Surani, Sanya R",,,,
ACCT,3322,001,3,3,3,5,10,2,2,6,,,2,,3,,,,3,,"Goodrich, Mary Beth W","Patne, Saylee Pramod",,,,
ACCT,3331,001,16,8,4,12,4,5,4,3,,2,,,,,,,2,,"Zhou, Yibin","Kwon, Yeongmin",,,,
ACCT,3331,002,,16,,,18,,,20,,,3,,1,,,,1,,"Zhang, Yuan","Tazhibayev, Galymzhan",,,,
ACCT,3331,003,9,5,4,6,2,8,5,5,,6,4,,2,,,,3,,"Zhou, Yibin","Kwon, Yeongmin",,,,
ACCT,3331,501,2,4,1,4,7,6,5,12,5,1,1,,,,,,2,,"Solcher, Steven J","Lipinski, Alisa A",,,,
ACCT,3332,001,8,7,2,,10,,6,2,2,1,2,6,2,,,,5,,"Bortz, Tiffany A","Goel, Simran",,,,
ACCT,3332,501,,1,2,,2,2,2,4,5,,,2,1,,,,,,"Kromer, Jeffrey R","Goel, Simran",,,,
ACCT,3332,PPA,17,12,5,8,11,2,4,5,1,5,3,3,2,,1,,,,"Bortz, Tiffany A","Goel, Simran",,,,
ACCT,3341,001,2,13,7,14,11,4,5,,,,,,1,,,,3,,"Natarajan, Ramachandran","Parupati, Sunil K",,,,
ACCT,3341,501,1,5,4,6,9,5,5,3,5,,,,2,,,,3,,"Natarajan, Ramachandran","Parupati, Sunil K",,,,
