Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BMEN,4389,002,,2,2,3,,2,,1,,,,,,0,,,,,"Polk, Todd W","Pacheco, Joe",,,,,twp017000,todd polk,Senior Design Project II 
FERM,6311,FS1,,2,4,2,2,,,,,,,,,0,,,,,"Scott, James A",,,,,,jas076100,james scott,
BMEN,7341,004,,3,4,1,2,,,,,,,,,0,,,,,"Porter, Benjamin A",,,,,,bap061000,benjamin porter,Biostatistics 
BMEN,1208,109,,4,2,2,2,,,,,,,,,0,,,,,"Ardestani Khoubrouy, Soudeh","Dolui, Swapnil",,,,,sxa074200,soudeh khoubrouy,Introduction to Bioengineering II 
EE,3110,102,,5,2,,2,,1,,,,,,,0,,,,,"Lee, Gil S","Ren, Jiajun",,,,,gslee,gill lee,Electronic Devices Laboratory 
EPCS,3100,001,,7,1,,1,,,1,,,,,,0,,,,,"Gans, Nicholas R",,,,,,nrg092000,nicholas gans,Engineering Project in Community Service II 
ENTP,4V00,001,,10,,,,,,,,,,,,0,,,,,"Chambers, Bryan D",,,,,,bdc160330,,Special Topics in Entrepreneurship 
BMEN,4389,003,,3,1,2,,2,2,,,,,,,0,,,,,"Polk, Todd W","Pacheco, Joe",,,,,twp017000,todd polk,Senior Design Project II 
HONS,3199,H12,,10,,,,,,,,,,,,0,,,,,"Harpham, Edward",,,,,,harpham,edward harpham,
SYSM,6337,SS1,,8,2,,,,,,,,,,,0,,,,,"Janakiraman, Surya","He, Jiapeng",,,,,suryaj,surya janakiraman,
STAT,7338,001,,10,,,,,,,,,,,,0,,,,,"Gel, Yulia",,,,,,yxg142030,yulia gel,Time Series Modeling and Filtering 
PPPE,6312,0W1,,5,4,1,,,,,,,,,,0,,,,,"Skaggs, Sheryl L",,,,,,slskaggs,sheryl skaggs,Social-Economic Theories 
MSEN,6383,501,,10,,,,,,,,,,,,0,,,,,"Kim, Jiyoung",,,,,,jxk041000,,Modern Physical Metallurgy 
CHEM,5341,001,,7,,,3,,,,,,,,,0,,,,,"Chan, Julia Y",,,,,,jyc130130,julia chan,Advanced Inorganic Chemistry I 
CE,3120,105,,7,,,2,,,1,,,,,,0,,,,,"Zhou, Dian","Wang, Xianan","Wang, Yifan",,,,zhoud,dian zhou,Digital Circuits Laboratory 
SE,4348,003,,1,,1,1,2,,2,,,,1,2,0,,,,,"Alagar, Sridhar","Guo, Jianxiong",,,,,sxa173731,sridhar alagar,Operating Systems Concepts 
