Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W Total,CR,I,NC,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CS,4365,HON,,4,7,1,,,,1,,,1,,,2,,,,,"Ng, Yu Chung V",,,,,,ycn041000,vincent ng,Artificial Intelligence 
CS,6380,001,,6,3,5,,,,,,,,,,2,,,,,"Venkatesan, Subbarayan","Chung, Yu-Yen",,,,,venky,subbarayan venkatesan,Distributed Computing 
HLTH,1301,0W2,,4,,1,5,4,,,,,1,,,1,,,,,"Baetge, Claire",,,,,,cxb170330,claire baetge,Introduction to Kinesiology 
HUMA,1301,HN2,,8,4,2,,,,,1,,,,,0,,1,,,"Wilson, Michael",,,,,,mwilson,michael wilson,Exploration of the Humanities 
LIT,2329,001,9,,,3,1,,,,1,,,,1,1,,,,,"Starnaman, Sabrina",,,,,,sxs090100,sabrina starnaman,Introduction to Ethnic American Literature 
CE,3102,101,4,8,,2,1,,,,,,,,,1,,,,,"Webb, Jennifer H","Chandra Shekar, Ram Charan M","Shankar, Nikhil",,,,jhw170130,jennifer webb,Signals and Systems Laboratory 
DANC,2333,001,12,1,1,,,,,,,,,,1,1,,,,,"Owens, Misty",,,,,,mxo122530,misty owens,Jazz Dance 1 
MUSI,2328,002,5,6,,,3,,,1,,,,,,1,,,,,"Mcvay, Michael",,,,,,mjm031000,michael mcvay,Music Theory I 
SPAN,1312,002,1,6,3,1,1,1,,,1,,,,1,1,,,,,"Leverone, Julia",,,,,,jxl162631,julia leverone,Beginning Spanish II 
CLDP,3338,001,,3,2,2,2,2,,2,,,1,,1,1,,,,,"Santrock, John W","Spence, Melanie",,,,,santrock,john santrock,Adolescence 
ARTS,2316,001,2,1,2,2,3,3,,,,,,,2,1,,,,,"Ligon, Peter A",,,,,,pal140130,peter ligon,Painting Foundations 
ACCT,6301,PW1,,8,4,,1,2,,,,,,,,0,,1,,,"Solcher, Steven J","Keogh, Reagan D",,,,,sjs107020,steven solcher,
CS,5390,001,,3,2,3,6,1,,,,,,,,1,,,,,"Cobb, Jorge","Zhou, Shuang",,,,,jcobb,jorge cobb,Computer Networks 
EE,3120,106,4,2,3,1,,2,1,,1,,,,1,1,,,,,"Khoobroo, Amir","Zaman, Monir M",,,,,axk144831,amir khoobroo,Digital Circuits Laboratory 
PA,6382,001,,13,3,,,,,,,,,,,0,,,,,"Lee, Young-Joo","Upoma, Shahrin S",,,,,yxl093000,young joo lee,Nonprofit Management 
HDCD,6320,001,,6,1,1,7,,,1,,,,,,0,,,,,"Holub, Shayla C",,,,,,sch052000,shayla holub,The Developing Child  Toddler and Preschool Years 
MATH,6318,001,,7,,3,5,,,1,,,,,,0,,,,,"Minkoff, Susan E",,,,,,sem120030,susan minkoff,Numerical Analysis of Differential Equations 
SE,4347,006,1,1,3,3,5,1,1,,,,,1,,0,,,,,"Kumar, Pushpa S","Lu, Jing",,,,,pkumar,pushpa kumar,Database Systems 
OPRE,6389,501,,4,6,2,4,,,,,,,,,0,,,,,"Cakanyildirim, Metin","Shi, Lingling",,,,,metin,metin cakanyildirim,Managing Energy  Risk  Investment  Technology 
ARTS,4368,001,4,12,,,,,,,,,,,,0,,,,,"Pomara, John",,,,,,pomara,john pomara,Advanced Visual Arts 
MIS,6330,0W1,,7,3,2,1,2,1,,,,,,,0,,,,,"Cavusoglu, Huseyin","Ozdemir, Dicle Yagmur",,,,,huseyin,huseyin cavusoglu,Information Technology Security 
EE,3111,101,4,7,4,1,,,,,,,,,,0,,,,,"Lee, Hoi","Chen, Chen",,,,,hxl054000,hoi lee,Electronic Circuits Laboratory 
CHEM,6V19,501,,16,,,,,,,,,,,,0,,,,,"Nielsen, Steven",,,,,,son051000,steven nielsen,Special Topics in Physical Chemistry 
AMS,3322,001,1,3,5,3,2,2,,,,,,,,0,,,,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Ethnic Experience  Immigrants After 1945 
NSC,4353,104,2,4,4,,4,2,,,,,,,,0,,,,,"Sultana, Rukhsana","Inyang, Kufreobong E",,,,,rxs170431,rukhsana sultana,Neuroscience Laboratory Methods 
GISC,4325,001,3,4,3,,,3,1,1,1,,,,,0,,,,,"Dell, Brent",,,,,,bxd160430,brent dell,Introduction to Remote Sensing 
MATH,5303,001,,15,1,,,,,,,,,,,0,,,,,"Eydelzon, Anatoly",,,,,,axe031000,anatoly eydelzon,Advanced Calculus and Linear Algebra 
EESC,6360,001,,5,5,3,3,,,,,,,,,0,,,,,"Busso Recabarren, Carlos A","Hassan, Rana A",,,,,cxb093000,carlos busso,Digital Signal Processing I 
OPRE,6274,PS1,,13,2,,,1,,,,,,,,0,,,,,"Szot, James","Katz, Lothar","Turner, Gerald A","Goodman, Doug",,,,james szot,
OPRE,6373,PS1,,12,2,2,,,,,,,,,,0,,,,,"Szot, James","Goodman, Doug","LeBoeuf, Nicole T","Bassuk, Lawrence",,,,james szot,
NSC,4353,103,1,6,3,1,,2,1,1,,,,,1,0,,,,,"Raboune, Siham","Lackovic, Jacob",,,,,sxr180071,siham raboune,Neuroscience Laboratory Methods 
CS,6348,001,,8,2,1,4,,,,,,,,1,0,,,,,"Kantarcioglu, Murat","Dakshit, Sagnik",,,,,mxk055100,murat kantarcioglu,Data and Applications Security 
BCOM,3100,001,,12,2,,1,,,,1,,,,,0,,,,,"Berardi, Caryn S",,,,,,cds110030,caryn berardi,Professional Development 
BIOL,3102,001,3,,2,3,2,,,2,,,1,2,1,0,,,,,"Sarcar, Subha N",,,,,,sns064000,subha sarcar,Eukaryotic Molecular and Cell Biology Workshop 
MECO,6350,001,,7,3,6,,,,,,,,,,0,,,,,"Bolton, Gary","Han, Munhee",,,,,gxb122130,gary bolton,Game Theory 
ARTS,2350,001,,3,4,1,4,2,,2,,,,,,0,,,,,"Copeland, Colette",,,,,,cxc132230,colette copeland,Photography  Design 
FIN,4390,501,,5,2,2,4,1,1,,,,1,,,0,,,,,"Richardson, Debra L",,,,,,dlr150330,debra richardson,Seminar Series in Finance 
FIN,6352,502,,4,5,2,4,1,,,,,,,,0,,,,,"von Drathen, Christian","Hong, Yuan",,,,,cxv141430,christian von drathen,Financial Modeling For Corporate Analysis 
COMD,7392,001,,16,,,,,,,,,,,,0,,,,,"Dollaghan, Christine",,,,,,cxd062000,,Language Disorders and Reading Disabilities 
THEA,2372,001,,15,,1,,,,,,,,,,0,,,,,"Lingo, Kathy A",,,,,,klingo,kathy lingo,Improvisation 
NSC,4353,102,,8,6,2,,,,,,,,,,0,,,,,"Sultana, Rukhsana","Szabo-Pardi, Thomas A",,,,,rxs170431,rukhsana sultana,Neuroscience Laboratory Methods 
PSY,4393,001,,3,1,3,2,3,1,,,,,,3,0,,,,,"Ulatowska, Hanna K",,,,,,hanna,hanna ulatowska,Language in Culture and Society 
RMIS,4334,001,4,2,2,,,,2,,1,1,2,1,1,0,,,,,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan,Insurance Law and Contracts 
ACCT,6377,001,,10,2,3,,1,,,,,,,,0,,,,,"McCuistion, Dennis",,,,,,dxm094000,dennis mccuistion,Corporate Governance 
MATH,3321,001,6,1,1,3,3,,1,,,,,,1,0,,,,,"Akbar, Mohammad M",,,,,,mma110020,mohammad akbar,Geometry 
MIS,6357,002,,16,,,,,,,,,,,,0,,,,,"Johnston, Walter L",,,,,,wlj031000,walter johnston,Advanced Business Analytics Using R 
ARTS,2380,001,3,5,1,1,,1,,2,1,,,,2,0,,,,,"Egan, Trey T",,,,,,tte150130,trey egan,Visual Design Foundations 
MKT,6323,001,,7,,5,1,3,,,,,,,,0,,,,,"Kumar, Nanda","Bhave, Ashutosh C",,,,,nkumar,nanda kumar,Database Marketing 
CRIM,4315,001,,5,4,3,1,1,,,,1,,,1,0,,,,,"Vieraitis, Lynne M","Sanford, Stephanie M",,,,,lmv071000,lynne vieraitis,Race  Ethnicity  and Justice 
GEOS,5375,501,,6,5,2,3,,,,,,,,,0,,,,,"Stern, Robert",,,,,,rjstern,robert stern,Tectonics 
PA,6342,0W1,,16,,,,,,,,,,,,0,,,,,"Benavides, Teodoro J",,,,,,tjb051000,teodoro benavides,Local Economic Development 
ARTS,4310,501,,3,3,1,8,,,1,,,,,,0,,,,,"Metz, Greg L",,,,,,glmetz,greg metz,Studies in Contemporary Exhibitions 
OPRE,6275,PS1,,11,3,1,1,,,,,,,,,0,,,,,"Szot, James","Rajamani, Divakar","Turner, Gerald A","LeBoeuf, Nicole T",,,,james szot,
ATCM,4307,001,,1,4,3,2,3,3,,,,,,,0,,,,,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition II 
ED,3345,001,,6,1,2,5,,,1,,,,,1,0,,,,,"McNulty, Angela B",,,,,,mcnulty,,Art  Music  and Physical Development Grades EC - 6 
MECH,3120,102,6,7,2,1,,,,,,,,,,0,,,,,"Hassanipour, Fatemeh","Jiang, Lin",,,,,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
IMS,6091,0S1,,,,,,,,,,,,,,0,,,,17,"Woldu, Habte G","Dakshinamoorthy, Sowmika",,,,,wolduh,habte woldu,Regional Area Studies  Latin America 
HCS,7121,001,,,,,,,,,,,,,,0,,,,17,"Kroener, Sven",,,,,,sxk101000,sven kroener,Graduate Seminar in Systems Neuroscience 
MATH,2413,306,,,,,,,,,,,,,,0,,,,,"Cao, Yan",,,,,,yxc069200,yan cao,Differential Calculus 
MATH,2414,305,,,,,,,,,,,,,,0,,,,,"Duruoha, Adannah",,,,,,axd180037,adannah duruoha,Integral Calculus 
COMM,4360,001,2,5,2,1,2,,,,,,,,2,2,,1,,,"King, Carie S",,,,,,cxl085200,carie king,Communication Ethics 
BUAN,6356,004,,11,4,,,,,,,,,,,2,,,,,"Thouin, Mark","Singh, Tajinder",,,,,mxt083000,mark thouin,Business Analytics With R 
OPRE,6379,PW1,,9,2,3,1,,,,,,,,,1,,1,,,"Rajamani, Divakar",,,,,,dxr020100,divakar rajamani,
BIOL,3102,002,3,1,,1,2,3,3,1,,,1,1,,1,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
SPAN,3365,001,10,3,2,1,,,,,,,,,,1,,,,,"Camacho-Guardado, Lorena",,,,,,lxc163230,amalia lorena camacho guardardo,Advanced Spanish I 
GEOS,2302,001,2,1,1,2,3,1,,3,,,2,,1,1,,,,,"Cummings, Anthony R","Liau, Yan-Ting",,,,,arc131030,anthony cummings,The Global Environment 
MIS,6356,005,,5,3,3,4,1,,,,,,,,1,,,,,"Chen, Jianqing","Banda, Sanjana",,,,,jxc111031,jianqing chen,Business Analytics With R 
MIS,6356,001,,8,4,3,1,,,,,,,,,1,,,,,"Ge, Ling","Panthagani, Phanindra",,,,,lxg180006,,Business Analytics With R 
SE,3341,001,3,1,1,1,1,,3,2,,,,1,3,1,,,,,"Whalen, Tristan G","Zimmer, Kevin C",,,,,tgw100020,tristan whalen,Probability and Statistics in Computer Science and Software Engineering 
ACN,6313,501,,3,7,3,1,1,,1,,,,,,1,,,,,"Abdi, Herve","Yu, Ju-Chi",,,,,herve,herve abdi,Research Methods in Behavioral and Brain Sciences - Part II 
PPPE,6368,001,,6,6,3,,1,,,,,,,,1,,,,,"Bunte, Jonas B",,,,,,jbb130330,jonas bunte,Political Economy of Finance 
OPRE,6364,PS1,,11,3,2,,,,,,,,,,1,,,,,"Rajamani, Divakar",,,,,,dxr020100,divakar rajamani,
MECO,6303,GH1,,10,5,1,,1,,,,,,,,0,,,,,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,
ACCT,6338,001,,8,2,1,5,1,,,,,,,,0,,,,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
EE,3110,104,,5,1,1,3,,,2,,,3,,2,0,,,,,"Lee, Gil S","Wang, Zhengyang",,,,,gslee,gill lee,Electronic Devices Laboratory 
CS,3354,003,,3,2,1,1,2,4,2,,,,2,,0,,,,,"Paulk, Mark C","Mousavi, Pooneh",,,,,mcp130030,mark paulk,Software Engineering 
HDCD,6390,001,,7,9,1,,,,,,,,,,0,,,,,"Baerwaldt, Natalie R",,,,,,nrb170000,,Infant Mental Health 
LIT,4329,001,,5,3,1,1,2,4,1,,,,,,0,,,,,"Cohen, Milton",,,,,,mcohen,milton cohen,Single Author 
CE,2336,501,3,4,2,6,2,,,,,,,,,0,,,,,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan,Computer Science II 
OPRE,3310,5E1,3,3,,3,3,,1,3,,,1,,,0,,,,,"Sajjadi, Reza",,,,,,rxs179730,reza sajjadi,Operations Management 
ATCM,4379,001,1,3,13,,,,,,,,,,,0,,,,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Topics in Games 
GEOG,2303,001,2,2,2,2,4,,2,1,,,,,2,0,,,,,"Vakulenko, Irina","Chen, Meifang",,,,,iav081000,irina vakulenko,People and Place  An Introduction to World Geographic Regions 
ECS,3390,0H7,2,4,5,1,2,,1,,1,1,,,,0,,,,,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth (betsy) schlobohm,Professional and Technical Communication 
FIN,6301,GH1,,13,2,2,,,,,,,,,,0,,,,,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert,
BIOL,5381,001,,10,,,7,,,,,,,,,0,,,,,"Kim, Tae Hoon",,,,,,txk142630,,Genomics 
MECH,3120,103,10,4,,1,2,,,,,,,,,0,,,,,"Hassanipour, Fatemeh","Zaherisarabi, Shadi",,,,,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
MUSI,2325,001,4,5,2,1,2,,,1,,,,1,1,0,,,,,"Hughes, William K",,,,,,wkh150030,william hughes,Vocal Instruction I 
CS,6301,001,,16,,1,,,,,,,,,,0,,,,,"Liu, Cong",,,,,,cxl137330,cong liu,Special Topics in Computer Science 
ATCM,3330,001,,4,2,3,1,1,2,,,1,,1,2,0,,,,,"Nielsen, Christina R",,,,,,crn022000,christina nielsen,Digital Art and Social Practice 
IMS,3310,012,,5,3,3,3,,3,,,,,,,0,,,,,"Zydorek, Hubert","Campos de Castro Ferreira, Leticia",,,,,hxz120930,hubert zydorek,International Business 
ACCT,6335,PP1,,13,,3,1,,,,,,,,,0,,,,,"Bortz, Tiffany A","Sarman, Patrick R",,,,,tabortz,tiffany bortz,Ethics for Professional Accountants 
SPAN,4364,001,13,3,1,,,,,,,,,,,0,,,,,"Camacho-Guardado, Lorena",,,,,,lxc163230,amalia lorena camacho guardardo,Advanced Spanish Culture 
PSYC,6313,001,,6,3,1,3,1,1,2,,,,,,0,,,,,"Juhn, Nancy H","Meldrum, Shelia",,,,,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part II 
PHYS,5302,501,,5,,8,2,2,,,,,,,,0,,,,,"Macalevey, Paul J","Kramer, Aaron A",,,,,paulmac,paul macalevey,Mathematical Methods of Physics II 
ENVR,2302,001,2,3,,3,4,,2,1,1,,1,,,0,,,,,"Cummings, Anthony R","Liau, Yan-Ting",,,,,arc131030,anthony cummings,The Global Environment 
CE,3311,001,1,2,,2,2,4,,3,1,,1,,1,0,,,,,"Lee, Gil S","Ren, Jiajun",,,,,gslee,gill lee,Electronic Circuits 
REAL,3305,001,1,2,1,1,,,3,3,1,1,2,1,1,0,,,,,"DeCourcy, George A",,,,,,gad075000,george decourcy,Real Estate Principles 
MATH,2420,003,,2,,,2,2,,4,4,,3,,,0,,,,,"Krawcewicz, Wieslaw Z",,,,,,wzk091000,wieslaw krawcewicz,Differential Equations with Applications 
FIN,4321,501,1,2,,,9,,1,3,,,,,1,0,,,,,"Hedgecock, Blake M",,,,,,bxh132030,blake hedgecock,Real Estate Law and Contracts 
RHET,1302,0H4,5,6,3,,1,,,,1,,,1,,0,,,,,"Hamilton, Cristen",,,,,,cch073000,cristen hamilton,Rhetoric 
CRWT,2301,002,,8,3,3,1,1,,1,,,,,,0,,,,,"DiNuzzo, Brian",,,,,,bxd141330,brian dinuzzo,Introductory Creative Writing 
CE,3302,002,1,,2,1,3,1,,5,4,,,,,0,,,,,"Kehtarnavaz, Nasser","Wei, Haoran",,,,,nxk019000,nasser kehtarnavaz,Signals and Systems 
ECON,6309,001,,9,3,5,,,,,,,,,,0,,,,,"Sul, Donggyu","Kwak, Jihun",,,,,dxs093000,donggyu sul,Econometrics I 
OPRE,6301,005,,8,2,2,,3,1,,,,,,1,0,,,,,"Toptal, Aysegul","Farajbakhsh Mamaghani, Fariba",,,,,axt083100,aysegul toptal,Statistics and Data Analysis 
CS,6367,001,,8,3,,1,1,1,3,,,,,,0,,,,,"Zhang, Lingming","Chen, Lingchao",,,,,lxz144130,lingming zhang,Software Testing  Validation and Verification 
COMM,1311,0W8,,2,2,3,3,2,1,,1,,,,3,0,,,,,"Carlson, Eric B",,,,,,ebc051000,eric carlson,
PSY,3100,501,7,8,,,,,,,,,,,2,0,,,,,"Choate, Michael J",,,,,,mchoate,michael choate,Careers in Psychology 
AUD,6306,001,,5,9,2,1,,,,,,,,,0,,,,,"Assmann, Peter",,,,,,assmann,peter assmann,Speech Science 
NSC,4353,105,4,1,2,5,4,1,,,,,,,,0,,,,,"Taylor, Anna M","Garner, Katherine M",,,,,amt180004,anna taylor,Neuroscience Laboratory Methods 
MKT,6329,501,,4,3,3,5,2,,,,,,,,0,,,,,"Bruce, Norris I","Roshangarzadeh, Reza","Kumar, Sumeet",,,,nxb018100,norris bruce,New Product Development 
ECON,6306,502,,12,,,5,,,,,,,,,0,,,,,"O'Brien, Daniel M","Choi, Soohyun",,,,,obri,daniel obrien,Applied Econometrics 
ATCM,3309,001,,4,5,,5,,1,1,,,,,1,0,,,,,"McComber, Sean",,,,,,sxm129130,sean mccomber,Pre-Production Design I 
CHIN,1312,001,8,4,1,2,1,,,,,,1,,,0,,,,,"Chen, Bei",,,,,,bxc152730,bei chen,Beginning Chinese II 
ATCM,4316,002,,17,,,,,,,,,,,,0,,,,,"Oropallo, Kara I",,,,,,kio160030,kara oropallo,Animation Lab I 
CRWT,3307,002,,8,6,2,,,,,,1,,,,0,,,,,"Greene, Kendra",,,,,,kxg180038,kendra greene,Creating Short Stories 
OPRE,7351,001,,,,,,,,,,,,,,0,,1,,17,"Sethi, Suresh",,,,,,sethi,,Seminar in Operations Management 
MATH,2417,310,,,,,,,,,,,,,,0,,,,,"Makarenkov, Oleg",,,,,,oxm130230,oleg makarenkov,Calculus I 
MATH,2414,329,,,,,,,,,,,,,,0,,,,,"Anderson, Bill",,,,,,bxa180011,bill anderson,Integral Calculus 
MATH,2414,309,,,,,,,,,,,,,,0,,,,,"Garrett, Bentley T",,,,,,btg032000,bentley garrett,Integral Calculus 
MATH,2414,332,,,,,,,,,,,,,,0,,,,,"Rice, David",,,,,,dxr143630,david rice,Integral Calculus 
MATH,2413,319,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,,ila180000,iris alvarado,Differential Calculus 
MATH,2413,301,,,,,,,,,,,,,,0,,,,,"Cao, Yan",,,,,,yxc069200,yan cao,Differential Calculus 
MATH,2413,316,,,,,,,,,,,,,,0,,,,,"Choi, Sl-ghi",,,,,,sxc173731,sl ghi choi,Differential Calculus 
MATH,2414,315,,,,,,,,,,,,,,0,,,,,"Sauter, Alan D","Ko, Eunmi",,,,,ads014500,alan sauter,Integral Calculus 
CE,4370,301,,,,,,,,,,,,,,0,,,,,"Carrion Schaefer, Benjamin",,,,,,bxc162630,benjamin carrion schaefer,Embedded Microprocessor Systems 
MATH,2414,314,,,,,,,,,,,,,,0,,,,,"Sauter, Alan D","Katbamna, Dhara D",,,,,ads014500,alan sauter,Integral Calculus 
MATH,2414,306,,,,,,,,,,,,,,0,,,,,"Duruoha, Adannah",,,,,,axd180037,adannah duruoha,Integral Calculus 
MATH,2414,803,,,,,,,,,,,,,,0,,,,,"Aman, Kelly",,,,,,kxa143530,kelly aman,Integral Calculus 
MATH,2414,334,,,,,,,,,,,,,,0,,,,,"Rice, David",,,,,,dxr143630,david rice,Integral Calculus 
CE,1202,801,,,,,,,,,,,,,,0,,,,,"Cogan, Diana L","Shreedhar Bhat, Gautam","Du, Lixiong","Mohamed, Ahmed M","Chen, Pengyuan",,dcc095020,diana cogan,Introduction to Electrical Engineering II 
MATH,2414,804,,,,,,,,,,,,,,0,,,,,"Sauter, Alan D","Rouf, Samiha C",,,,,ads014500,alan sauter,Integral Calculus 
MATH,2414,346,,,,,,,,,,,,,,0,,,,,"Choi, Sl-ghi",,,,,,sxc173731,sl ghi choi,Integral Calculus 
MATH,2413,303,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,,ila180000,iris alvarado,Differential Calculus 
MATH,2414,337,,,,,,,,,,,,,,0,,,,,"Westbury, Bruce W",,,,,,bww180001,bruce westbury,Integral Calculus 
MATH,2418,316,,,,,,,,,,,,,,0,,,,,"Zhang, Yi",,,,,,yxz180069,yi zhang,Linear Algebra 
MATH,2413,318,,,,,,,,,,,,,,0,,,,,"Alvarado, Iris",,,,,,ila180000,iris alvarado,Differential Calculus 
ATCM,4365,002,,5,2,,1,1,,1,,,,,4,4,,,,,"Christopher, Timothy V",,,,,,khimbar,timothy christopher,Game Design II 
RHET,1302,019,,3,3,2,4,2,1,,,,,,,1,,2,,,"Balasa, Alexandra",,,,,,axb177630,alexandra balasa,Rhetoric 
EPPS,7316,001,,5,4,2,3,1,,,,,,,,2,,,,,"Brandt, Patrick","Lux, Ryan J",,,,,pxb054000,patrick brandt,Regression and Multivariate Analysis 
COMM,1311,5W3,,,2,1,2,4,,1,1,,,,5,0,,2,,,"Baker, Barbara L",,,,,,blb140430,barbara baker,
RHET,1302,010,,11,3,1,,,,,1,,,,,1,,,,,"Al-Rashid, Entidhar H",,,,,,eha170000,entidhar al rashid,Rhetoric 
AP,3340,001,,7,3,3,1,,,,,,,2,,1,,1,,,"Goode, Dianne H",,,,,,dgoode,dianne goode,Writing in the Arts 
MUSI,2317,001,2,11,1,,,1,,,,,,,1,2,,,,,"Medrick, Mary A",,,,,,mam017200,mary medrick,Piano I 
CS,6301,007,,6,8,1,,1,,,,,,,,1,,1,,,"Yang, Wei","Li, Xiaodi",,,,,wxy180002,wei yang,Special Topics in Computer Science 
ARTS,1316,005,3,2,7,,1,1,1,,1,,,,1,1,,,,,"Booker, Rebecca M",,,,,,pdb041000,,Drawing Foundations 
HUSL,6330,001,,9,5,2,,,,,,,,,1,1,,,,,"Gossin, Pamela",,,,,,psgossin,pamela gossin,Studies in Literature and the Other Arts 
PPPE,6321,501,,6,2,7,1,1,,,,,,,,1,,,,,"Kim, Dohyeong",,,,,,dxk132530,dohyeong kim,Economics for Public Policy 
SOC,4306,001,2,4,4,1,2,1,1,1,,,,,1,1,,,,,"Simoni, Zachary",,,,,,zrs160030,zachary simoni,Advanced Sociological Research 
ATCM,4345,001,3,12,2,,,,,,,,,,,0,,1,,,"Terry, Dean",,,,,,dxt023000,,Digital Audio Processing 
ED,3340,501,3,2,1,1,2,4,2,2,,,,,,0,,1,,,"Haun, Julia T",,,,,,jlb018300,julia haun,Math Concepts for Teachers 
RHET,1302,030,1,3,7,2,2,,,,,,,,2,0,,1,,,"Crawford, Rachel",,,,,,rxc161430,rachel crawford,Rhetoric 
MUSI,2328,001,4,3,1,1,4,2,,1,,,,,1,1,,,,,"Mcvay, Michael",,,,,,mjm031000,michael mcvay,Music Theory I 
ACN,6333,001,,10,1,2,3,,,1,,,,,,1,,,,,"Basak, Chandramallika",,,,,,cxb116130,chandramallika basak,Memory 
RHET,1302,0H8,2,7,2,2,,1,1,1,,,,,1,1,,,,,"Hamilton, Cristen",,,,,,cch073000,cristen hamilton,Rhetoric 
BIOL,3161,004,3,2,2,2,1,1,,1,2,,2,1,,1,,,,,"Marsh, Robert",,,,,,rmarsh,robert marsh,Biochemistry Workshop I 
ED,4344,501,,,7,6,4,,,,,,,,,1,,,,,"Huisman, Ingrid",,,,,,ibh013000,ingrid huisman,Mathematics Methods for Elementary Teachers 
NATS,4141,501,2,12,1,,2,,,,,,,,,1,,,,,"Gammons Jr, Billy G","McConnell, James S",,,,,bgg021000,,UTeach Apprentice Teaching Seminar 
MKT,4350,001,1,3,2,3,4,3,2,,,,,,,0,,,,,"Biswas, Abhijit","Kulkarni, Chinmayi S","Kumar, Sumeet",,,,axb019100,abhijit biswas,Advertising 
ECS,3390,0H3,1,1,2,3,4,,1,,2,,1,,3,0,,,,,"King, Carie S",,,,,,cxl085200,carie king,Professional and Technical Communication 
ECS,3390,009,,10,5,1,,2,,,,,,,,0,,,,,"Mohsene, Laura L",,,,,,olive,laura mohsene,Professional and Technical Communication 
MKT,3330,001,5,1,4,1,2,1,,,1,,,1,2,0,,,,,"Amirpour, Semiramis",,,,,,sxa130731,semiramis amirpour,Introduction to Professional Selling 
ARTS,1316,002,,6,11,1,,,,,,,,,,0,,,,,"Mazurek, Michael R",,,,,,mrm141130,michael mazurek,Drawing Foundations 
ACCT,6367,501,,7,5,3,2,1,,,,,,,,0,,,,,"Gamino, John P",,,,,,jpg140630,john gamino,Multijurisdictional Taxation 
RHET,1302,013,1,13,,1,1,,,,1,,,,1,0,,,,,"Al-Rashid, Entidhar H",,,,,,eha170000,entidhar al rashid,Rhetoric 
THEA,3342,001,1,14,2,1,,,,,,,,,,0,,,,,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs,Advanced Topics in Theatre 
NATS,4390,001,3,3,2,3,3,1,,1,1,,,1,,0,,,,,"Taylor, Stephanie M","Hajeri, Vinita","Gallardo, Johnny","Stuart, Georgia K","Dozier, Preston D",,smt031000,stephanie taylor,Research Methods 
BMEN,4389,001,,9,4,2,1,1,,1,,,,,,0,,,,,"Polk, Todd W","Pacheco, Joe",,,,,twp017000,todd polk,Senior Design Project II 
EERF,7V89,001,,9,5,3,1,,,,,,,,,0,,,,,"Heins, Matthew S","Fang, Lei",,,,,msh130130,matthew heins,Special Topics in RF and Microwave Systems 
MKT,6337,001,,1,4,10,3,,,,,,,,,0,,,,,"Murthi, B P","Kamatham, Sriharsha",,,,,murthi,b p murthi,Predictive Analytics Using SAS 
PSCI,6319,001,,2,5,8,1,2,,,,,,,,0,,,,,"Diehl, Paul",,,,,,pxd153230,paul diehl,Proseminar in International Relations 
ACCT,3100,501,8,4,1,1,1,1,,,1,,1,,,0,,,,,"Newcomb, Rebecca G",,,,,,rgn100020,rebecca newcomb,Professional Development 
CS,6328,501,,18,,,,,,,,,,,,0,,,,,"Fishwick, Paul",,,,,,pxf130430,paul fishwick,Modeling and Simulation 
SE,3340,002,1,2,3,1,,3,1,,3,2,,,2,0,,,,,"Mazidi, Karen J",,,,,,kjm160430,karen mazidi,Computer Architecture 
HIST,4345,001,1,6,3,6,1,,,,1,,,,,0,,,,,"Ring, Natalie",,,,,,njr041000,natalie ring,Origins of the Jim Crow South 
PHYS,2303,001,2,2,3,4,3,1,1,1,,,,,1,0,,,,,"Khan, Amena","Stoikos, Evangelos",,,,,axk140130,amena khan,Contemporary Physics 
MIS,6332,501,,17,,,1,,,,,,,,,0,,,,,"Thompson, Luell O",,,,,,lot013000,luell thompson,ERP Configurations and Implementation 
EERF,6311,001,,10,2,2,2,2,,,,,,,,0,,,,,"Saad, Ricardo E","Ghosh, Suprovo",,,,,rsaad,ricardo saad,RF and Microwave Circuits 
RHET,1302,0H1,2,7,3,3,2,1,,,,,,,,0,,,,,"Riley, Kristin N",,,,,,knr091000,kristin riley,Rhetoric 
GISC,6384,001,,11,2,3,1,,,,,,,,1,0,,,,,"Qiu, Fang","Shah, Muna",,,,,ffqiu,fang qiu,Advanced Geographic Information Systems 
