Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ARTS,3383,0W1,,3,4,3,4,2,,,,,,,1,,,,,,"Higgins-Stirrup, Brynn",,,,,,bxh230012,brynn higgins stirrup,Digital Drawing 
ATCM,2300,0W1,1,3,3,3,,3,1,,1,,,1,1,,,,,,"Rahman, Mohammad K",,,,,,mkr200003,mohammad rahman,Introduction to TechnoCulture 
ATCM,2300,0W2,2,4,1,1,,1,1,1,2,1,2,,,,,,,,"Cole, Abby",,,,,,axc210171,,Introduction to TechnoCulture 
ATCM,2300,0W3,8,2,,,1,,2,3,,,,2,1,,,,,,"Ayodabo, Sunday J",,,,,,sja220000,,Introduction to TechnoCulture 
ATCM,2301,0U1,,5,2,1,2,,1,1,1,,,,2,,,,,,"Vo, Baotran N",,,,,,bnv230000,baotran vo,Digital Art and Design Foundations 
ATCM,2302,0U1,2,6,1,,,1,,,,,,,2,,1,,,,"Behr, Kris",,,,,,dal658363,kris behr,Design I 
ATCM,2321,0W1,,2,9,4,,1,3,,,,,,,,,,,,"Whitlock, Kathryn",,,,,,kgw150030,,Reading Media Critically 
ATCM,2350,0U1,5,4,1,,,,,,,,1,,,,,,,,"Yu, Yiding",,,,,,yxy180033,yiding yu,Time-Based Media 
ATCM,3301,0W1,1,3,2,1,2,,,2,,,,1,2,,,,,,"Rahman, Maruf",,,,,,mxr220000,,Writing for ATEC 
ATCM,3301,0W2,1,2,7,1,1,1,,,2,,,,3,,,,,,"Hernandez, Luke A",,,,,,lah190004,,Writing for ATEC 
ATCM,3337,0W1,7,1,3,2,1,1,3,,,1,,,2,,,,,,"Budd, Jessie C",,,,,,jcp101020,jessie budd,Interaction Design I 
ATCM,3350,0W1,4,1,6,5,4,,1,1,1,,,,2,,,,2,,"Hewitt, Sharon A",,,,,,sxh090220,sharon hewitt,Digital Video Production I 
ATCM,3388,0W1,5,4,3,,2,1,1,,,,1,,,,,,,,"Fraley, James M",,,,,,jmf210007,james fraley,Social Influence and Persuasive Design 
ATCM,4326,0W1,7,5,1,2,,,,,,,1,1,1,,,,,,"Heaslip, Audra","Vo, Angelene H",,,,,axh027000,audra heaslip,Mediated Textuality 
ATCM,4330,0W1,1,3,2,4,1,1,,,1,,1,,4,,,,,,"Nielsen, Christina R",,,,,,crn022000,christina nielsen,Culture Jamming 
AUD,6216,0U1,,13,1,,,,,,,,,,,,,,,,"Cokely, Carol G","Mundayoor, Saranya A",,,,,cgc016200,,Audiologic Rehabilitation for Adults 
AUD,6352,5U1,,13,,1,,,,,,,,,,,,,,,"Clark, Jackie L","Keywork, Sophia B",,,,,jclark,jackie clark,Audiology in the Medical and Public Health Systems 
AUD,7325,5U1,,13,1,,,1,,,,,,,,,,,,,"Thibodeau, Linda K","Mosley, Cornetta","Alvarez, Lindee A",,,,thib,linda thibodeau,Intensive Auditory Rehabilitation for Adult Hearing Loss 
AUD,7V80,067,,,,,,,,,,,,,,,,,,14,"Fowler-Brookman, Stephanie L","Mosley, Cornetta","Woodford, Allison S","Crow, Sarah E",,,,stephanie fowler brookman,
AUD,7V80,070,,,,,,,,,,,,,,,,,,16,"Fowler-Brookman, Stephanie L","Woodford, Allison S","Crow, Sarah E",,,,,stephanie fowler brookman,
AUD,7V82,0U3,,15,,,,,,,,,,,,,,,,,"Clark, Jackie L","Rahimi Ghooradel, Farshid",,,,,jclark,jackie clark,Special Topics in Hearing Science and Audiology 
AUD,7V82,0U4,,14,,,1,,,,,,,,,,,,,,"Shoup, Angela G",,,,,,ags017000,angela shoup,Special Topics in Hearing Science and Audiology 
AUD,8V97,064,,,,,,,,,,,,,,,,,,11,"Cokely, Carol G",,,,,,cgc016200,carol cokely,
BA,1320,0U1,1,2,1,,3,1,1,1,,,1,,,,,,,,"Blueshtein, Moran","Wu, Jie",,,,,mxb135230,moran blueshtein,Business in a Global World  (3 Semester Credit Hours)
BA,4090,091,,,,,,,,,,,,,,36,,,,,"Henderson, Thomas C",,,,,,,thomas henderson,
BA,4090,092,,,,,,,,,,,,,,25,,,,,"Dam, Van C",,,,,,,van dam,
BA,4090,0U1,,,,,,,,,,,,,,29,,,1,,"Henderson, Thomas C",,,,,,,thomas henderson,
BA,4090,0U2,,,,,,,,,,,,,,16,,1,,,"Dam, Van C",,,,,,,van dam,
BA,4095,0W1,,,,,,,,,,,,,,71,,,,,"Owens, Dawn M","Granger, Angela L",,,,,dmo130130,dawn owens,
BA,4V90,0U3,,,,,,,,,,,,,,21,,,,,"Henderson, Thomas C",,,,,,,thomas henderson,
BA,4V90,593,,,,,,,,,,,,,,16,,,,,"Henderson, Thomas C",,,,,,,thomas henderson,
BCOM,3300,052,,2,8,4,2,2,1,,,,,,,,,,,,"Pitchford, Bethany",,,,,,bxp230018,bethany pitchford,Business Communication 
BCOM,4300,0U1,3,6,7,5,1,1,1,,1,,,,,,,,1,,"Ali, Shazia",,,,,,shazia,ali shazia,Advanced Professional Communication 
BCOM,4300,0U2,4,12,14,4,1,1,1,,,,,,,,,,,,"Ali, Shazia",,,,,,shazia,ali shazia,Advanced Professional Communication 
BCOM,4300,5U1,,2,9,6,4,2,1,1,,,,,,,,,,,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Advanced Professional Communication 
BCOM,4300,5U2,,6,10,9,6,5,,,,1,,,,,,,1,,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Advanced Professional Communication 
BIOL,2111,0U1,15,5,2,4,,1,,1,,,,,,,,,,,"Sarcar, Subha",,,,,,sns064000,subha sarcar,Introduction to Modern Biology Workshop I 
