Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ATCM,3301,0W3,,6,2,1,2,,2,,,,,,5,,,,1,"Field, Jamie M",,,,,,jmf094020,jamie field,Writing for ATEC 
ATCM,3301,0W4,,1,6,2,1,1,,,,,,,,,,,1,"Ramakrishnan, Sharathchandra",,,,,,sxr178530,sharathchandra ramakrishnan,Writing for ATEC 
ATCM,3306,0U1,4,1,4,3,3,4,1,,1,,2,,1,,,,2,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Modeling and Texturing I 
ATCM,3307,0U1,1,3,10,4,,1,1,,3,1,,,5,,,,0,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition I 
ATCM,3315,0W1,,7,13,4,3,1,1,1,,,,,,,,,0,"Veras de Souza, Christine",,,,,,cxv180000,christine veras de souza,Animation Studies 
ATCM,3336,0U1,,8,7,5,5,2,2,,,,,,1,,,,0,"McKinney, Mark",,,,,,mxm190029,mark mckinney,Design Research Methods 
ATCM,3337,0U1,8,10,2,6,1,,,2,,,,,,,,,0,"Wood, Harold G",,,,,,hgw021000,harold wood,Interaction Design I 
ATCM,3338,0U1,9,1,3,2,5,1,1,2,,,1,,3,,,,1,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho,Motion Graphics I 
ATCM,3338,0U2,5,2,2,4,1,1,2,4,,,2,,3,,,,1,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho,Motion Graphics I 
ATCM,3350,051,16,2,4,1,1,,,,,,,,2,,,,2,"Trosper, Elizabeth M",,,,,,emt130130,elizabeth trosper,Digital Video Production I 
ATCM,3367,0U1,1,1,4,2,1,2,,,,,,,2,,,,1,"Chandler, Adam W",,,,,,awc051000,adam chandler,Level Design I 
ATCM,4330,051,4,8,4,,1,,,,2,,,1,2,,,,0,"Nielsen, Christina R",,,,,,crn022000,christina nielsen,Culture Jamming 
ATCM,4350,0W1,8,5,6,3,1,1,1,,2,,,,3,,,,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt,Digital Video Production II 
ATCM,4384,0W1,1,8,12,7,1,,,,1,,,,,,,,0,"Rheams, David C",,,,,,dcr093020,david rheams,Ethics in New Media  Technology  and Communication 
AUD,6216,0U1,,7,3,,,,,,,,,,,,,,0,"Cokely, Carol G",,,,,,cgc016200,,Audiologic Rehabilitation for Adults 
AUD,7240,5U1,,13,,,,,,,,,,,,,,,0,"Griffiths, Scott K",,,,,,skg180000,,Auditory Processing Disorders and other Advanced Topics in Audiology 
AUD,7310,5U1,,23,,,,,,,,,,,,,,,0,"Clark, Jackie L",,,,,,jclark,jackie clark,Professional Issues in Audiology 
AUD,7325,0W1,,8,,,2,,,,,,,,,,,,0,"Thibodeau, Linda K","Warner-Czyz, Andrea D","Havens, Rebekah",,,,thib,linda thibodeau,Intensive Auditory Rehabilitation for Adult Hearing Loss 
BA,1320,5U1,,2,1,2,3,1,,4,,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,,plewin,peter lewin,Business in a Global World  (3 Semester Credit Hours)
BCOM,3300,0U1,,4,4,4,4,6,3,,4,1,3,2,9,,,,1,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Professionalism and Communication in Business 
BCOM,3300,0U2,,1,7,3,2,1,4,4,1,1,,1,3,,,,2,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Professionalism and Communication in Business 
BCOM,3310,0U2,1,2,3,3,4,2,7,5,,3,,,3,,,,0,"Walton, Michaella",,,,,,mrw170730,,Business Communication 
BCOM,4300,0U1,,,1,1,7,7,5,3,2,2,4,3,2,,,,1,"Lookadoo, Kathryn","Ward, Hannah",,,,,kxl164330,kathryn lookadoo,Managing Communications in Business 
BCOM,4300,0U2,,5,8,5,6,12,3,4,3,1,1,1,1,,,,0,"Smallwood, Margaret G","Ward, Hannah",,,,,meg012400,margaret smallwood,Managing Communications in Business 
