Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,10,9,5,,3,5,4,2,2,2,1,8,6,,,,2,,"Kobilov, Botir","Kwon, Yeongmin",,,,
ACCT,2301,002,12,5,11,2,,,2,,1,2,,,3,,,,1,,"Kim, Jongha",,,,,
ACCT,2301,003,16,7,4,4,5,,2,1,,,,1,,,,,,,"Kim, Jongha",,,,,
ACCT,2301,004,5,6,4,6,5,3,2,1,,,2,1,1,,,,3,,"Ai, Lanru",,,,,
ACCT,2301,005,3,5,8,11,7,10,,11,,,3,,1,,,,1,,"Loumioti, Maria","Tazhibayev, Galymzhan",,,,
ACCT,2301,006,15,8,6,11,5,6,6,4,,4,1,1,,,,,,,"Huang, Junfan","Vedala, Meghana Sri",,,,
ACCT,2301,007,3,4,4,17,7,8,,11,,,2,,1,,,,3,,"Loumioti, Maria","Tazhibayev, Galymzhan",,,,
ACCT,2301,008,15,12,6,14,4,3,5,1,,4,,1,1,,,,2,,"Huang, Junfan","Vedala, Meghana Sri",,,,
ACCT,2301,009,8,8,3,7,7,5,12,5,1,2,2,1,2,,,,4,,"Siano, Federico","Han, Zhe",,,,
ACCT,2301,010,4,8,7,13,5,12,,5,,,1,,,,,,5,,"Loumioti, Maria","Tazhibayev, Galymzhan",,,,
ACCT,2301,011,6,3,9,12,7,11,7,2,4,1,1,,3,,,,2,,"Siano, Federico","Han, Zhe",,,,
ACCT,2301,012,14,2,4,14,10,3,5,2,3,2,2,,4,,,,2,,"Huang, Junfan","Vedala, Meghana Sri",,,,
ACCT,2301,013,15,2,5,10,5,6,7,5,3,1,1,2,3,,,,3,,"Kobilov, Botir","Kwon, Yeongmin",,,,
ACCT,2301,014,6,9,12,8,4,4,5,5,2,1,2,3,2,,,,4,,"Siano, Federico","Han, Zhe",,,,
ACCT,2301,016,19,6,3,3,4,6,5,4,1,3,5,,,,,,,,"Yayvak, Berk",,,,,
ACCT,2301,501,11,,6,6,6,3,9,7,4,2,2,1,2,,,,2,,"Gu, Dongdi","Dang, Tam-Nhu",,,,
ACCT,2301,502,2,5,6,9,6,6,4,3,1,,1,,1,,,,,,"Solcher, Steven J","Iype, Isabelle J",,,,
ACCT,2302,001,3,11,,,13,,1,6,,2,1,,4,,,,6,,"Zolton, Kathy","Stanton, Nicholas",,,,
ACCT,2302,002,9,21,,,9,,1,12,,1,1,,2,,,,1,,"Zolton, Kathy","Stanton, Nicholas",,,,
ACCT,2302,003,12,17,4,6,9,1,2,3,1,1,1,,1,,,,2,,"Copat, Rafael","Chen, Hangu",,,,
ACCT,2302,004,13,11,11,5,6,2,,2,3,1,1,3,,,,,2,,"Copat, Rafael","Chen, Hangu",,,,
ACCT,2302,005,2,14,,4,10,5,2,5,4,,,,2,,,,1,,"Natarajan, Ramachandran","Stanton, Nicholas",,,,
ACCT,2302,006,7,10,5,4,8,4,5,6,2,3,3,1,,,,,1,,"Copat, Rafael","Chen, Hangu",,,,
ACCT,2302,007,6,9,2,5,14,4,2,10,3,,2,,1,,,,2,,"Natarajan, Ramachandran","Stanton, Nicholas",,,,
ACCT,2302,501,4,6,7,3,5,6,3,3,2,6,,,2,,,,6,,"Hes, Christopher","Martin, Stephanie",,,,
ACCT,2302,502,2,2,11,8,4,7,3,2,1,,,3,8,,,,4,,"Hes, Christopher","Martin, Stephanie",,,,
ACCT,3101,PSA,,,,,,,,,,,,,,100,,,,,"Bortz, Tiffany A","Springer, Rohan",,,,
ACCT,3312,001,16,16,8,5,10,,1,5,1,,,,,,,,,,"Goodrich, Mary Beth W","Prabhu, Sushanth Rajesh",,,,
ACCT,3322,001,3,6,5,1,11,1,5,7,1,,1,,4,,,,1,,"Goodrich, Mary Beth W","Prabhu, Sushanth Rajesh",,,,
ACCT,3331,001,8,4,3,9,6,9,6,10,,,,1,1,,,,1,,"Zhou, Yibin","Ranganath, Vittal",,,,
ACCT,3331,002,10,9,4,9,8,3,5,4,1,,,,2,,1,,3,,"Zhou, Yibin","Ranganath, Vittal",,,,
ACCT,3331,003,6,4,7,8,4,8,6,4,5,3,3,,,,,,2,,"Zhou, Yibin","Ranganath, Vittal",,,,
ACCT,3331,501,2,2,7,4,6,8,3,9,2,,2,,1,,,,4,,"Solcher, Steven J","Iype, Isabelle J",,,,
ACCT,3332,001,2,5,2,2,12,3,8,11,1,4,9,4,2,,,,5,,"Bortz, Tiffany A","Springer, Rohan",,,,
ACCT,3332,501,,2,,2,2,6,1,2,8,,6,3,4,,,,3,,"Hes, Christopher","Martin, Stephanie",,,,
ACCT,3332,PPA,7,18,6,6,11,4,1,8,1,1,6,3,1,,,,,,"Bortz, Tiffany A","Springer, Rohan",,,,
ACCT,3341,001,3,9,5,8,8,9,2,1,,3,,,1,,,,2,,"Natarajan, Ramachandran","Stanton, Nicholas",,,,
ACCT,3341,501,2,2,3,2,1,6,1,3,1,,3,,4,,,,3,,"Goodrich, Mary Beth W","Prabhu, Sushanth Rajesh",,,,
ACCT,3350,001,3,5,14,11,8,3,,2,1,,,,,,,,,,"Solcher, Steven J","Iype, Isabelle J",,,,
ACCT,3350,501,,6,8,16,9,6,5,4,,,,,2,,,,,,"Frost, Sandra M","Iype, Isabelle J",,,,
ACCT,4301,501,1,,7,4,3,6,4,,5,3,,,3,,,,2,,"Hagen, John","Kotecha, Vishwa Rakesh",,,,
ACCT,4334,001,5,6,10,15,11,1,10,9,2,,1,,,,,,,,"Paske, Matthew A",,,,,
ACCT,4334,501,,9,12,27,,1,8,9,3,,,,,,,,,,"Paske, Matthew A",,,,,
ACCT,4336,001,,1,4,5,8,16,10,2,2,,,,,,,,,,"Ballew, Gregory","Shivaani, MV",,,,
ACCT,4337,501,,,4,3,11,4,6,3,,2,,,,,,,,,"Ballew, Gregory","Shivaani, MV",,,,
ACCT,4342,001,6,10,9,8,2,2,4,2,,,,1,,,,,,,"Gu, Dongdi","Dang, Tam-Nhu",,,,
ACCT,4342,501,1,6,5,8,6,2,2,3,4,2,,1,1,,,,,,"Gu, Dongdi","Dang, Tam-Nhu",,,,
ACCT,4342,PPA,22,17,13,9,3,,2,1,,,,,,,,,,,"Gu, Dongdi","Dang, Tam-Nhu",,,,
ACCT,6202,0W1,,16,10,7,5,4,,2,,,,,1,,,,6,,"Janakiraman, Surya N","Liu, Ruichao",,,,
ACCT,6202,CH1,,10,3,,5,,,1,,,,,,,,,,,"Sadka, Gil",,,,,
ACCT,6202,GW1,,10,1,4,1,1,1,,,,,,,,,,,,"Sadka, Gil",,,,,
ACCT,6292,S91,,58,,,31,,,1,,,,,,,,,,,"Mauriello, Joseph A","Kim, Heejin",,,,
ACCT,6301,001,,10,6,11,6,4,4,,,,,,,,,,,,"Li, Ningzhong","Kwon, Yeongmin",,,,
ACCT,6301,0W1,,15,8,8,6,6,,3,,,,,1,,,,2,,"Ali, Ashiq","Liu, Ruichao",,,,
ACCT,6301,501,,12,7,14,4,5,5,,,,,,,,,,2,,"Li, Ningzhong","Kwon, Yeongmin",,,,
ACCT,6301,GW1,,35,2,1,1,,,,,,,,,,,,,,"Barden, John P",,,,,
ACCT,6301,MBC,,18,16,8,3,2,,,,,,,,,,,1,,"Radhakrishnan, Suresh","Weber, Josiah C",,,,
