Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
MATH,2418,002,10,8,5,6,3,4,5,4,4,2,,2,5,2,"Pereira, Luis Felipe F",,,,,,lfp140030,luis pereira,Linear Algebra 
MATH,2418,501,13,7,1,6,11,2,8,2,3,1,1,2,2,1,"Dahal, Rabin",,,,,,rxd153030,rabin dahal,Linear Algebra 
PHIL,2316,001,2,9,17,11,6,3,,,2,,,,8,3,"Dennis, Patrick W",,,,,,pdennis,patrick dennis,History of Philosophy I 
CLDP,3310,001,,47,,,10,1,,2,,,,1,,0,"Touchstone, Emily W","Poudel, Sonali",,,,,exw010200,emily touchstone,Child Development 
NSC,4362,001,6,12,6,6,5,1,3,4,3,,4,,6,5,"Ploski, Jonathan E",,,,,,jep101000,jonathan ploski,Molecular Neuroscience 
CS,2305,504,7,14,4,5,5,5,5,7,2,,3,,4,0,"Soncodi, Adrian C",,,,,,acs151130,adrian soncodi,Discrete Mathematics for Computing I 
CS,2337,501,30,10,1,2,3,,,4,,1,3,,6,1,"Sims, David",,,,,,dxs190044,dave sims,Computer Science II 
CS,3354,001,2,27,9,5,12,5,,1,,,,,,0,"Cankaya, Ebru C","Li, Xiao",,,,,exc067000,ebru cankaya,Software Engineering 
OPRE,3333,003,4,11,7,4,4,3,7,3,2,,3,5,2,6,"Enayaty Ahangar, Negin","Cha, Junwoo",,,,,nxe180001,negin enayaty ahangar,Quantitative Business Analysis 
CLDP,3303,001,4,13,,7,17,,5,4,,3,5,,3,1,"Maguire, Mandy","Moustafa, Rana",,,,,mjm053000,mandy maguire,Normal Language Development 
CS,3340,002,,27,,,21,,,7,,,4,,3,0,"Goodrum, Richard A",,,,,,rag150330,richard goodrum,Computer Architecture 
CS,4337,003,1,4,3,2,7,12,10,9,4,1,4,,2,3,"Salazar, Elmer E","Spence, Jackie C",,,,,ees101020,elmer salazar,Organization of Programming Languages 
CS,4341,501,20,7,8,8,6,3,,3,,,4,,2,1,"Becker, Eric W",,,,,,ewb160130,eric becker,Digital Logic and Computer Design 
CS,4347,502,17,25,15,5,,,,,,,,,,0,"Culver, Timothy L","Sahoo, Pracheta",,,,,tlc130230,timothy culver,Database Systems 
CS,6363,002,,11,30,7,6,4,2,1,,,,,1,0,"Chandrasekaran, Ramaswamy","De, Partha",,,,,chandra,ramaswamy chandrasekaran,Design and Analysis of Computer Algorithms 
ACCT,2301,001,9,7,4,9,3,6,8,7,1,2,3,3,,0,"Chu, Yu Fang",,,,,,yxc154730,,Introductory Financial Accounting 
ACCT,2301,007,5,1,13,4,11,6,4,6,1,2,2,,4,3,"Sandhu, Gurvinder",,,,,,gxs162530,gurvinder sandhu,Introductory Financial Accounting 
ACCT,2301,008,3,8,6,4,7,7,10,5,1,2,1,,3,5,"Markov, Stanimir","Ajayi, Olamiposi O",,,,,sxm079200,stanimir markov,Introductory Financial Accounting 
CE,1202,001,9,5,2,10,6,4,3,4,2,5,1,3,6,2,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical Engineering II 
ACCT,2301,501,12,3,3,4,5,6,2,4,2,2,8,,8,3,"Tatiparti, Venu Madhav",,,,,,vxt161930,,Introductory Financial Accounting 
CS,4347,501,13,19,5,4,11,4,4,,,,,,2,1,"Khan, Ziaullah","Yu, Xinyue",,,,,kkhan,ziaullah khan,Database Systems 
CS,6320,501,,5,24,15,18,1,,,,,,,,0,"Balakrishna, Mithun","Desai, Takshak","Hosseini, Seyyed Mohammadsaleh",,,,mxb026000,mithun balakrishnan,Natural Language Processing 
CS,6375,501,,15,11,12,12,,,12,,,,,1,0,"Nagar, Anurag","Kaur, Navdeep",,,,,axn112530,anurag nagar,Machine Learning 
EE,4310,001,,19,2,4,12,2,2,11,7,,,,3,1,"Skinner, Neal G","Pu, Shi","Noor Shoudha, Shamman",,,,skinner,neal skinner,Systems and Controls 
EPCS,2200,001,,38,5,6,13,1,,,,,,,,0,"Bennett, Terrell R",,,,,,trb052000,terrell bennett,Engineering Projects in Community Service 
ACCT,2301,002,6,4,4,5,7,5,2,7,,5,5,3,9,1,"Zhou, Yibin","Ajayi, Olamiposi O",,,,,yxz066000,yibin zhou,Introductory Financial Accounting 
ACCT,2301,003,6,6,6,8,7,7,6,6,6,1,,,2,2,"Gencer, Nur Pinar",,,,,,png160030,nur pinar gencer,Introductory Financial Accounting 
ACCT,2301,004,9,7,5,11,6,4,4,11,,,1,4,,1,"Li, Chenchen",,,,,,cxl151030,,Introductory Financial Accounting 
