Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,Total W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
PPPE,6343,501,,5,3,,,,,,,,,,1,0,"Boots, Denise P","Saucedo De La Fuente, David",,,,,dpb062000,denise boots,Global Health Policy 
OPRE,7310,001,,4,4,1,,,,,,,,,,0,"Cakanyildirim, Metin",,,,,,metin,metin cakanyildirim,Probability and Stochastic Processes 
HUAS,7360,001,,8,,,,,,,,,,,,0,"Warren, Shilyh J",,,,,,sjw120030,shilyh warren,Advanced Topics in Film  Television  and Digital Media 
HUAS,6345,501,,7,,1,,,,1,,,,,,0,"Curchack, Fred",,,,,,curchack,fred curchack,Shakespeare in Performance 
BMEN,4388,005,,1,4,,1,,1,1,,,,,1,0,"Meyer, Clark A","Pacheco, Joe","Polk, Todd W","Upasham, Sayali S",,,cam140130,clark meyer,Senior Design Project I 
SE,4347,501,1,5,1,1,1,,,,,,,,,0,"Khan, Ziaullah","Yu, Xinyue",,,,,kkhan,ziaullah khan,Database Systems 
ED,4344,502,,2,1,3,1,1,,,,,,,1,0,"Huisman, Ingrid",,,,,,ibh013000,ingrid huisman,Mathematics Methods for Elementary Teachers 
MKT,6338,001,,5,,2,2,,,,,,,,,0,"Islam, Naser","Muthukrishnan, Bharathi",,,,,nxi110630,naser islam,Enterprise Systems and CRM 
ARTS,2316,501,2,7,1,,,,,,,,,,,0,"Egan, Trey T",,,,,,tte150130,trey egan,Painting Foundations 
CHIN,3365,001,6,3,1,,,,,,,,,,,0,"Zhang, Lei",,,,,,lxz190010,lei zhang,Advanced Chinese I 
COMM,1311,510,6,,2,,,1,,,,,,,1,0,"Davis, Letitia",,,,,,laa104020,letitia davis,Survey of Oral and Technology-based Communication 
JAPN,3311,501,1,1,,3,1,2,,1,,,,,1,0,"Kroska, Nami",,,,,,nxk167330,nami kroska,Advanced Japanese I 
LANG,4348,001,6,3,1,,,,,,,,,,,0,"Camacho-Guardado, Lorena",,,,,,lxc163230,amalia lorena camacho guardardo,Advanced Topics in Language 
LIT,3319,001,,,5,3,,,,,,,,,1,1,"Cohen, Milton",,,,,,mcohen,milton cohen,Contexts 
LIT,3337,501,,4,,1,4,,,1,,,,,,0,"Schulte, Rainer",,,,,,schulte,rainer schulte,Comparisons 
LIT,4329,002,,10,,,,,,,,,,,,0,"Redman, Timothy P","Rosen, Mark S",,,,,redman,tim redman,Single Author 
RHET,4303,501,,3,1,,4,1,,,,,,,1,0,"Gooch, John C",,,,,,jcg053000,john gooch,Advanced Editing 
THEA,2372,002,,5,,,3,1,,,,,,,1,0,"Lingo, Kathy A",,,,,,klingo,kathy lingo,Improvisation 
ATCM,4397,002,,2,3,2,2,,,,,,,,,1,"Schich, Maximilian",,,,,,mxs135130,maximilian schich,Senior Seminar 
ATCM,6380,001,,4,3,2,1,,,,,,,,,0,"Sung, Wendy",,,,,,wxs172630,wendy sung,Histories of Emerging Media 
COMD,7305,001,,9,,,1,,,,,,,,,0,"Ulatowska, Hanna K",,,,,,hanna,hanna ulatowska,Communication and the Aging Brain 
COMD,7309,001,,8,,,2,,,,,,,,,0,"Hart, John",,,,,,jxh057100,,Neural Correlates of Human Cognition  Lesion-Deficit Models 
HCS,6350,001,,8,,,2,,,,,,,,,0,"Holub, Shayla C",,,,,,sch052000,shayla holub,Social Development 
HCS,7310,001,,6,1,2,1,,,,,,,,,0,"Ackerman, Robert A",,,,,,raa110030,robert ackerman,Advanced Research Methods 
HCS,7310,002,,8,1,1,,,,,,,,,,0,"Abdi, Herve","Yu, Ju-Chi",,,,,herve,herve abdi,Advanced Research Methods 
HCS,7V71,001,,10,,,,,,,,,,,,0,"Dollaghan, Christine",,,,,,cxd062000,,Topics in Communication Sciences and Disorders 
BMEN,4388,004,1,2,1,1,2,1,2,,,,,,,0,"Pacheco, Joe","Meyer, Clark A","Polk, Todd W","Upasham, Sayali S",,,jxp142030,,Senior Design Project I 
BMEN,6345,001,,7,,3,,,,,,,,,,0,"Schmidtke, David W",,,,,,dws140430,david schmidtke,Self-Assembly of Biomaterials 
CE,4390,502,1,1,,1,1,6,,,,,,,,0,"Hao, Shuang","Li, Shuo",,,,,sxh178730,shuang hao,Computer Networks 
EE,3301,001,1,1,1,,2,1,,1,2,,,,1,0,"Helms, Robert","Wang, Yifan",,,,,rxh033000,,Electrical Network Analysis 
EEDG,5325,501,,10,,,,,,,,,,,,0,"Swartz, William P","Huang, Qiongdan",,,,,wps100020,william swartz,Hardware Modeling Using HDL 
EEMF,7V82,001,,5,5,,,,,,,,,,,0,"Iyer, Mahadevan Krishna",,,,,,mxi190015,mahadevan krishna iyer,Special Topics in Microelectronics 
EEPE,7354,501,,10,,,,,,,,,,,,0,"Gohil, Ghanshyamsinh","Nguyen, Van Thuan",,,,,gxg172530,ghanshyamsinh gohil,Advanced Power Converters 
MECH,4381,010,,3,1,2,1,3,,,,,,,,0,"Hart, Robert A","Little, Ryan C","Upasham, Sayali S",,,,rxh124630,robert hart,Senior Design Project I 
MECH,6337,501,,7,3,,,,,,,,,,,0,"Reynolds, Samuel E",,,,,,ser180002,,Systems Engineering  Architecture and Design 
MSEN,3301,001,6,2,,1,,,,,,,,,,1,"Quevedo-Lopez, Manuel","Mosur Saravana Murthy, Lakshmi Narayanan",,,,,mxq071000,manuel quevedo lopez,Introduction to Nanoscience and Nanotechnology 
MSEN,5300,001,,3,1,2,3,,,,,,,,,1,"Gelb, Lev D","Mosur Saravana Murthy, Lakshmi Narayanan",,,,,ldg102020,lev gelb,Introduction to Materials Science 
SE,3340,001,,4,,1,1,,1,,3,,,,,0,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen,Computer Architecture 
SE,3340,004,,2,1,,1,1,2,1,,1,1,,,0,"Mazidi, Karen J",,,,,,kjm160430,karen mazidi,Computer Architecture 
SE,3354,003,3,1,,2,1,1,,2,,,,,,0,"Wei, Shiyi","Zhang, Zenong",,,,,sxw174630,shiyi wei,Software Engineering 
SE,3377,0W2,1,3,3,1,2,,,,,,,,,0,"Kapoor, Bhanu",,,,,,bxk101000,bhanu kapoor,C C  Programming in a UNIX Environment 
ECON,6302,501,,6,,2,,,,2,,,,,,0,"Panovska, Irina","Han, Minyu",,,,,ixp190001,irina panovska,Macroeconomics Theory I 
GISC,4381,001,1,4,1,2,1,,,1,,,,,,0,"Yuan, May","Karale, Yogita Y",,,,,mxy141230,,Spatial Data Science 
GISC,6301,501,,3,6,,,,,,,,,,,1,"Tiefelsdorf, Michael","Yang, Yalin",,,,,mrt052000,michael tiefelsdorf,GIS Data Analysis Fundamentals 
GISC,6363,001,,6,2,,1,,,,,,,,1,0,"Qiu, Fang","Venigalla, Lasya",,,,,ffqiu,fang qiu,Internet Mapping and Information Processing 
PA,7306,001,,5,4,1,,,,,,,,,,0,"Gorina, Evgenia",,,,,,exg131830,evgenia gorina,Foundations of Public Affairs 
ED,3371,501,7,,1,1,,,,,,,,,1,0,"Mahmoud, Ramy A",,,,,,mahmoudr,ramy mahmoud,Curriculum and Instruction in the Natural Sciences 
BUAN,6346,001,,3,2,4,1,,,,,,,,,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,,jdb101000,judd bradbury,Big Data 
BUAN,6346,003,,1,1,,6,,2,,,,,,,0,"Bradbury, Judd D","Singh, Ayush K","Shah, Bhavin A",,,,jdb101000,judd bradbury,Big Data 
ENTP,3360,001,,,3,2,1,1,1,2,,,,,,0,"Murray, Jennifer R",,,,,,jrm160330,jennifer murray,Entrepreneurial Finance 
ENTP,6360,501,,3,7,,,,,,,,,,,0,"Chambers, Bryan D",,,,,,bdc160330,,Startup Launch I 
FIN,7335,001,,10,,,,,,,,,,,,0,"Zhao, Feng",,,,,,fxz082000,feng zhao,Topics in Empirical Asset Pricing 
MECO,6318,501,,5,5,,,,,,,,,,,0,"Sibley, Daniel C",,,,,,dcs170002,daniel sibley,Energy Economics and The Cost of Regulation 
REAL,3305,001,1,1,,,5,,,1,,,2,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery,Real Estate Principles 
BIOL,4356,001,4,3,3,,,,,,,,,,,0,"Du, Heng","Srikanth, Uma","Tian, Jing",,,,hxd131030,heng du,Molecular Neuropathology 
GEOS,2409,001,,2,,1,,1,2,2,1,,,,,1,"Manton, William I",,,,,,manton,william manton,Rocks and Minerals 
PHYS,2422,HN1,3,3,3,1,,,,,,,,,,0,"Zhang, Fan","Cheung, Patrick K",,,,,fxz140930,fan zhang,Honors Physics II - Electromagnetism and Waves 
STAT,6341,001,,5,2,1,1,,,1,,,,,,0,"Chiou, Sy Han",,,,,,sxc172931,sy han steven chiou,Numerical Linear Algebra and Statistical Computing 
CS,6352,001,,6,1,1,,,,1,,,,,,0,"Jue, Jason","Guo, Jinghui",,,,,jjue,jason jue,Performance of Computer Systems and Networks 
HUSL,6312,002,,6,1,1,1,,,,,,,,,1,"Towner, Theresa",,,,,,tmtowner,theresa towner,Major Authors 
STAT,6390,001,,5,4,,,,,,,,,,,0,"Shin, Sunyoung",,,,,,sxs177233,sunyoung shin,Topics in Statistics - Level 6 
HUHI,7315,001,,8,1,,,,,,,,,,,0,"Channell, David",,,,,,channell,david channell,Advanced Topics in Thought  Culture  and Society 
ARTS,3372,002,,3,3,3,1,,,,,,,,1,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer,Photography  Color Concepts 
ARTS,3379,001,,1,2,3,,2,,1,,,,,2,0,"Palmer, Marcy A",,,,,,mxp070100,marcy palmer,Photography  New Media 
DANC,2333,001,10,1,,,,,,,,,,,,0,"Owens, Misty",,,,,,mxo122530,misty owens,Jazz Dance 1 
HIST,4359,002,5,2,3,1,,,,,,,,,,0,"Gonzalez Corona, Pedro Jose",,,,,,pjg130230,,Topics in Latin American History 
HUSL,6312,001,,6,3,,1,,,1,,,,,,0,"Greer, Erin",,,,,,exg180013,erin greer,Major Authors 
MUSI,3112,001,,11,,,,,,,,,,,,0,"Rodriguez, Robert X",,,,,,rxr014610,robert rodriguez,Advanced Orchestra Chamber Music Ensemble I 
AUD,6V20,102,,11,,,,,,,,,,,,0,"Lobarinas, Edward","Warner-Czyz, Andrea D","Wiseman, Kathryn","Trevino, Monica",,,exl152130,,Laboratory Procedures in Audiology and Hearing Science 
AUD,7338,001,,2,8,,1,,,,,,,,,0,"Cokely, Carol G","Fowler, Stephanie L",,,,,cgc016200,,Research in Audiology 
CGS,4359,501,1,7,,,2,,,,,,1,,,0,"Rypma, Bart P","Himes, Lyndahl M",,,,,bpr061000,bart rypma,Cognitive Neuroscience 
HDCD,6315,001,,10,1,,,,,,,,,,,0,"Ewing, Donna M",,,,,,dme061000,donna ewing,Assessment Theory 
HDCD,6360,001,,11,,,,,,,,,,,,0,"Anderson, Carol A",,,,,,caa010400,,Behavior Management 
NSC,4V90,004,3,3,1,,2,1,,,,,,,1,0,"Krawczyk, Daniel C",,,,,,dck061000,daniel krawczyk,Special Topics in Neuroscience 
CE,2305,003,1,4,,1,2,2,,,,1,,,,0,"Willson, James K",,,,,,jkw053000,james willson,Discrete Mathematics for Computing I 
CE,4390,002,,3,8,,,,,,,,,,,0,"Farago, Andras","Gour, Riti",,,,,farago,andras farago,Computer Networks 
CE,4390,501,,2,,1,2,1,2,1,,1,,1,,0,"Cobb, Jorge","Dakle, Parag Pravin",,,,,jcobb,jorge cobb,Computer Networks 
CS,6301,003,1,10,,,,,,,,,,,,0,"Thuraisingham, Bhavani",,,,,,bxt043000,bhavani thuraisingham,Special Topics in Computer Science 
EE,3111,104,,8,,,,,1,,,,,,2,0,"Lee, Gil S","Chen, Chen",,,,,gslee,gill lee,Electronic Circuits Laboratory 
EE,3150,104,1,2,3,1,1,,1,1,,,,,1,0,"Bhatt, Tanay M","Helwa, Sherief M",,,,,tmb018000,tanay bhatt,Communications Systems Laboratory 
EESC,6366,001,,7,1,,2,1,,,,,,,,0,"Hansen, John",,,,,,jxh052100,john hansen,Speech and Speaker Recognition 
MECH,6308,001,,9,2,,,,,,,,,,,0,"Fey, Ann Majewicz",,,,,,axm141231,,Haptics and Teleoperated Systems 
SE,3340,501,,3,1,2,1,1,2,,,,,,1,0,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen,Computer Architecture 
SE,3345,004,1,1,2,,3,,1,,,1,,,1,1,"Chappidi, Sruthi",,,,,,sxc105920,sruthi chappidi,Data Structures and Introduction to Algorithmic Analysis 
SE,3354,002,1,1,,,2,1,,3,1,1,,1,,0,"Paulk, Mark C","Sarwat, Maliha",,,,,mcp130030,mark paulk,Software Engineering 
CRIM,6303,001,,6,,3,1,1,,,,,,,,0,"Jacobs, Bruce A",,,,,,baj034000,bruce jacobs,Etiology of Crime and Criminality 
GISC,4385,001,4,5,2,,,,,,,,,,,0,"Gearey, Wayne",,,,,,wxg130930,wayne gearey,Advanced Applications in GIS 
PA,3310,001,2,2,3,3,,1,,,,,,,,0,"Rabbi, Md. Fazle",,,,,,mxr163630,md fazle rabbi,Managing Government Organizations 
PA,6399,501,,11,,,,,,,,,,,,0,"McCaskill, John R",,,,,,jrm094020,john mccaskill,Capstone in Public Affairs 
AMS,4305,501,,2,4,3,,1,1,,,,,,,0,"Cotton, Scott C",,,,,,sxc024200,scott cotton,World History for Teachers 
ED,4359,0W1,,2,1,,,2,1,1,,,,,4,0,"Root, Alexey",,,,,,aroot,alexey root,Chess II  Institutional and Cultural Contexts of Chess 
BA,4V00,001,,7,2,2,,,,,,,,,,0,"Lewin, Peter",,,,,,plewin,peter lewin,Special Topics 
ENGY,3301,001,,5,3,1,1,,,,,,,,1,0,"Sibley, Daniel C",,,,,,dcs170002,daniel sibley,Managing Carbon Assets  Oil  Gas  and Coal 
ENGY,6330,501,,5,5,1,,,,,,,,,,0,"Sibley, Daniel C",,,,,,dcs170002,daniel sibley,Energy Law and Contracts 
FIN,6321,501,,3,,,6,2,,,,,,,,0,"Guttery, Randall",,,,,,rxg112530,randall guttery,Introduction to Real Estate 
FIN,7330,001,,6,1,4,,,,,,,,,,0,"Zhang, Huibing",,,,,,hxz054000,huibing harold zhang,Topics in Theoretical Asset Pricing 
OB,6301,PS1,,5,2,1,2,1,,,,,,,,0,"Hicks, Jeffrey N",,,,,,jnh061000,jeffrey hicks,
OB,6332,001,,8,,2,1,,,,,,,,,0,"Ziegler, Laurie","Boncoeur, Olivier D",,,,,ziegler,laurie ziegler,Negotiation and Dispute Resolution 
OPRE,6301,SS1,,5,2,2,2,,,,,,,,,0,"Sethi, Awanti",,,,,,asethi,awanti sethi,
OPRE,6382,0W1,,9,1,1,,,,,,,,,,0,"Vicario, Joe","Divin, Diane",,,,,jav170030,,Import and Export Trade Compliance 
MATH,3305,501,1,10,,,,,,,,,,,,0,"Andreescu, Titu",,,,,,txa051000,titu andreescu,Foundations of Measurement and Informal Geometry 
MATH,6301,501,,2,4,2,3,,,,,,,,,0,"Balanov, Zalman",,,,,,zxb105020,zalman balanov,Real Analysis 
MATH,6390,501,,8,1,1,,1,,,,,,,,0,"Akbar, Mohammad M",,,,,,mma110020,mohammad akbar,Topics in Mathematics - Level 6 
NATS,4141,501,,7,,2,1,,,,,,,,,1,"Gammons Jr, Billy G","McConnell, James S",,,,,bgg021000,,UTeach Apprentice Teaching Seminar 
PHYS,2126,608,3,6,,,,,,1,,,,,,1,"Macalevey, Paul J","Saleh, Lamya","Azhiri, Reza B",,,,paulmac,paul macalevey,Physics Laboratory II 
CRIM,4396,002,,6,3,1,,,,,,,,,,1,"Piquero, Alexis M",,,,,,axp116030,,Selected Topics in Criminology 
PA,7320,501,,11,,,,,,,,,,,,0,"Battaglio, Randy P",,,,,,rpb071000,jr r paul battaglio,Advanced Human Capital Research and Theory 
MATH,6303,001,,4,2,2,,2,,,,,,,1,0,"Dragovic, Vladimir",,,,,,vxd123630,,Theory of Complex Functions I 
HUSL,6308,501,,5,2,,2,,,,,,,,,1,"Prieto, Rene",,,,,,rxp113230,rene prieto,Studies in Literary Forms and Genres 
HIST,4360,001,,7,,1,1,,,,,,,,1,1,"Fischer, Anne G",,,,,,agf190000,anne fischer,Topics in American Women s History 
HUSL,7309,001,,3,5,2,1,,,,,,,,,0,"Gu, Ming D",,,,,,mdg073000,ming dong gu,Advanced Studies in Literary Movements 
ARTS,3371,001,,4,2,2,1,1,1,,1,,,,,0,"Miller, Cynthia M",,,,,,cmm016900,cynthia miller,Photography  Black White 
ARTS,3376,001,,3,5,,1,,,,,,,,2,1,"Carter, Rebecca S",,,,,,rsc150030,,Time-Based Art 
CHIN,2311,001,4,1,3,3,1,,,,,,,,,0,"Chen, Bei",,,,,,bxc152730,bei chen,Intermediate Chinese I 
HIST,2370,001,6,3,1,1,,,,,,,,,1,0,"Roemer, Nils H","Valente, Sarah d","Gonzalez Corona, Pedro Jose",,,,nhr061000,nils roemer,The Holocaust 
HUSL,6324,501,,10,1,,1,,,,,,,,,0,"Greene, Kendra",,,,,,kxg180038,kendra greene,Creating Short Fictions 
LIT,1301,502,2,3,2,2,,2,,,,,,,,1,"Mariboho, Rachael A",,,,,,rxm190045,,Introduction to Literature 
MUSI,2315,501,1,6,2,,,,,1,,,,,,2,"Hodan, Daniel M",,,,,,dmh017000,daniel hodan,Guitar I 
MUSI,3380,001,1,8,1,2,,,,,,,,,,0,"Madriguera, Enric F",,,,,,efm011000,,Guitar II 
MUSI,4322,001,,9,1,1,,1,,,,,,,,0,"Evans, Kathryn C",,,,,,kcevans,kathryn evans,Vocal Instruction III 
SPAN,1312,001,1,4,1,,3,,,1,1,,1,,,0,"Leverone, Julia",,,,,,jxl162631,julia leverone,Beginning Spanish II 
ACN,6312,001,,1,1,,4,3,2,,,,,,,1,"Juhn, Nancy H","Meldrum, Shelia","Austin, Kathryn A",,,,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part I 
ACN,6V81,002,,9,2,,,,,,,,,,,1,"Jahangiri, Faisal R",,,,,,frj190000,faisal jahangiri,Special Topics in Applied Cognition and Neuroscience 
AUD,7324,001,,6,4,2,,,,,,,,,,0,"Warner-Czyz, Andrea D","Wiseman, Kathryn",,,,,adw052000,andrea warner czyz,Seminar in Cochlear Implants and Technology for Persons with Hearing Impairments 
AUD,7327,001,,10,1,,1,,,,,,,,,0,"Lobarinas, Edward",,,,,,exl152130,,Evaluation and Fitting of Amplification Systems 
NSC,3344,001,,5,1,2,2,1,1,,,,,,,0,"Powers, Katharine A","Eppes, Anna A",,,,,kap130730,katharine powers,Anatomy and Physiology of Speech and Hearing 
PSYC,6312,001,,5,1,,2,4,,,,,,,,0,"Juhn, Nancy H","Meldrum, Shelia","Austin, Kathryn A",,,,njuhn,nancy juhn,Research Methods in Behavioral and Brain Sciences - Part I 
CE,3320,002,,1,2,1,2,2,,1,1,2,,,,0,"Balsara, Poras","Goswami, Pingakshya",,,,,poras,poras balsara,Digital Circuits 
CE,3354,003,,1,2,1,3,,1,1,1,1,,1,,0,"Wei, Shiyi","Zhang, Zenong",,,,,sxw174630,shiyi wei,Software Engineering 
CS,6328,001,,12,,,,,,,,,,,,0,"Fishwick, Paul",,,,,,pxf130430,paul fishwick,
MSEN,5310,001,,2,3,2,2,,1,1,,,,,,1,"Hsu, Julia","Badhe, Yutika Ravindra",,,,,jxh101000,julia hsu,Thermodynamics of Materials 
SE,3162,054,6,4,,1,,1,,,,,,,,0,"Smith, Klyne",,,,,,kxs180052,klyne smith,Professional Responsibility in Computer Science and Software Engineering 
SE,3162,555,8,,1,,2,1,,,,,,,,0,"Debroy, Vidroha",,,,,,vxd024000,vidroha debroy,Professional Responsibility in Computer Science and Software Engineering 
SE,3345,002,1,3,2,3,,,2,1,,,,,,0,"Ozbirn, Greg A",,,,,,ozbirn,greg ozbirn,Data Structures and Introduction to Algorithmic Analysis 
SE,3377,0W4,,2,,,2,,1,3,,1,,,3,0,"Belkoura, Mohamed Amine",,,,,,mxb135330,mohamed amine belkoura,C C  Programming in a UNIX Environment 
SYSM,6305,001,,10,,,1,1,,,,,,,,0,"Spong, Mark W",,,,,,mws081000,mark spong,Optimization Theory and Practice 
ECON,6306,502,,7,,3,1,,,,,,,,,1,"Beron, Kurt","Han, Minyu",,,,,kberon,kurt beron,Applied Econometrics 
EPPS,6302,001,,10,,,1,,,1,,,,,,0,"Ho, Karl",,,,,,kxh022100,karl ho,Methods of Data Collection and Production 
PA,7330,001,,8,4,,,,,,,,,,,0,"Harrington, James",,,,,,jxh134630,james harrington,Research Design in Public Affairs 
SOC,6350,001,,11,1,,,,,,,,,,,0,"Scotch, Richard",,,,,,scotch,richard scotch,Social Stratification 
ED,3342,001,,12,,,,,,,,,,,,0,"Parker, Teresa L",,,,,,tparker,teresa parker,Classroom Management Grades EC - 6 
ED,4345,001,3,4,1,1,1,,,,,,,,2,0,"Haun, Julia T",,,,,,jlb018300,julia haun,Social Studies Methods for Grades EC - 6 
ED,4353,501,,12,,,,,,,,,,,,0,"Brooks, Lori L",,,,,,lxb180004,lori brooks,Reading in Secondary Content 
HONS,3199,HN4,1,11,,,,,,,,,,,,0,"Davies, Katherine",,,,,,kxd180013,,Collegium V Honors Readings 
BA,4101,001,3,9,,,,,,,,,,,,0,"Knox, Alan R",,,,,,alan1,,Careers in Management 
ENTP,4340,001,5,6,,,,1,,,,,,,,0,"Goodrich, Mary Beth W","Khasacha, Sidney O",,,,,goodrich,mary beth goodrich,Social Sector Entrepreneurship and Community Engagement 
FIN,4334,001,4,,,2,,2,1,1,,,1,,1,0,"Kaplan, Larry S",,,,,,lsk140130,larry kaplan,Insurance Law and Contracts 
MKT,6337,001,,2,2,4,4,,,,,,,,,0,"Murthi, B P","Roshangarzadeh, Reza",,,,,murthi,b p murthi,Predictive Analytics Using SAS 
OPRE,6302,PS1,,12,,,,,,,,,,,,0,"Widdifield, David S",,,,,,dsw180001,david widdifield,
SYSM,6313,SS1,,3,1,5,1,1,,1,,,,,,0,"Ziegler, Laurie","Boncoeur, Olivier D",,,,,ziegler,laurie ziegler,
SYSM,6318,SS1,,6,3,3,,,,,,,,,,0,"Biswas, Abhijit","Iyer, Smruti Viswanath","Shetty, Reema R","Kulkarni, Chinmayi S",,,axb019100,abhijit biswas,
BIOL,3455,802,1,2,1,2,3,,,,,1,,1,1,0,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,4380,301,2,4,2,,3,,1,,,,,,,0,"Sadat, Eva","Ghosh, Poorva G",,,,,exs190014,eva sadat,Cell and Molecular Biology Laboratory 
GEOS,2306,001,,2,,2,5,,1,1,,,,,1,0,"Mueller, Nicholas J","Akatakpo, Solomon O",,,,,njm043000,,Essentials of Field Geologic Methods 
GEOS,5315,001,,7,1,3,1,,,,,,,,,0,"Manton, William I",,,,,,manton,william manton,The Earth  An Overview 
STAT,6331,001,,1,1,1,4,2,1,,,,,,1,1,"Choudhary, Pankaj K",,,,,,pkc022000,pankaj choudhary,Statistical Inference I 
COMM,3342,002,1,3,1,,,2,,1,1,,,,2,0,"King, Carie S",,,,,,cxl085200,carie king,Advanced Topics in Communication 
CRWT,3351,501,,5,4,1,1,1,,,,,,,,0,"Stone, Nomi",,,,,,nxs190033,nomi stone,Creating Poetry 
PPPE,6359,001,,5,1,,5,,,,,,,,1,0,"Hicks, Donald",,,,,,dahicks,donald hicks,Political Economy of Economic Development 
ARTS,3315,001,7,5,,,,,,1,,,,,,0,"Curry, Val",,,,,,vxc110930,val curry,The Art of Tinkering  Creating at the intersection of Art  Science and Technology 
CHIN,1312,001,6,1,2,,2,1,,,,,1,,,0,"Chen, Bei",,,,,,bxc152730,bei chen,Beginning Chinese II 
COMM,3342,001,7,2,1,2,,,,1,,,,,,0,"Schlobohm, Maribeth L",,,,,,mls077000,maribeth (betsy) schlobohm,Advanced Topics in Communication 
COMM,4314,001,4,,2,,3,1,,1,,,,,,2,"King, Carie S",,,,,,cxl085200,carie king,Persuasion and Interpersonal Influence 
CRWT,2301,001,1,7,2,,2,,,,,,,,,1,"Greene, Kendra",,,,,,kxg180038,kendra greene,Introductory Creative Writing 
CRWT,3307,HN1,9,2,2,,,,,,,,,,,0,"Watkins, Latoya S",,,,,,lws031000,latoya watkins,Creating Short Stories 
CRWT,4354,501,,5,3,4,1,,,,,,,,,0,"Goldberg, Paula",,,,,,pxg180023,paula goldberg,Creating Scripts 
HIST,6360,501,,6,4,3,,,,,,,,,,0,"Rankin, Monica A",,,,,,mar046000,monica rankin,Latin American History 
ATCM,4305,001,,3,2,5,2,1,,,,,,,,0,"Caldwell, Bryon A",,,,,,bac190003,bryon caldwell,
AUD,7253,001,,11,1,1,,,,,,,,,,0,"Griffiths, Scott K",,,,,,skg180000,,Clinical Electrophysiology 
AUD,7310,001,,13,,,,,,,,,,,,0,"Clark, Jackie L",,,,,,jclark,jackie clark,Professional Issues in Audiology 
HCS,7309,001,,8,2,,3,,,,,,,,,0,"Hart, John",,,,,,jxh057100,,Neural Correlates of Human Cognition  Lesion-Deficit Models 
NSC,4353,102,,2,3,4,1,1,,,,,1,,1,0,"McWilliams, Steven P","Duong, Nhy Y","Wilhelm, Rachel",,,,sxm127330,steven mcwilliams,Neuroscience Laboratory Methods 
NSC,4353,103,,5,4,,,1,2,,,,1,,,0,"McWilliams, Steven P","Brougher, Jackson J",,,,,sxm127330,steven mcwilliams,Neuroscience Laboratory Methods 
PSY,3393,004,2,5,2,3,,,1,,,,,,,0,"Shirvani, Forouz","Hafiz, Mariam",,,,,fxk024000,forouz shirvani,Experimental Projects in Psychology 
BMEN,6366,001,,12,,,,1,,,,,,,,0,"Sirsi, Shashank R",,,,,,srs151630,shashank sirsi,Image-Guided Drug Delivery 
CE,2305,504,1,,1,1,1,2,1,2,,1,1,,2,0,"Soncodi, Adrian C",,,,,,acs151130,adrian soncodi,Discrete Mathematics for Computing I 
CE,2336,005,,2,2,2,2,2,1,1,,,,,1,0,"Feng, Ranran",,,,,,rxf090020,ranran feng,Computer Science II 
CE,6301,001,,11,2,,,,,,,,,,,0,"Swartz, William P","Huang, Qiongdan",,,,,wps100020,william swartz,Advanced Digital Logic 
CS,6304,001,,,1,3,2,5,1,,,,,,,1,"Carrion Schaefer, Benjamin",,,,,,bxc162630,benjamin carrion schaefer,Computer Architecture 
CS,7301,003,,13,,,,,,,,,,,,0,"Natarajan, Sriraam",,,,,,sxn177430,sriraam natarajan,Recent Advances in Computing 
EE,3110,101,1,2,1,,1,1,1,3,1,,1,,1,0,"Lee, Jeong-Bong","Liu, Jinbo",,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
EE,3202,001,,6,1,1,1,3,,1,,,,,,0,"Kiasaleh, Kamran","Shankar, Nikhil",,,,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
EE,4388,004,,10,,2,1,,,,,,,,,0,"Skinner, Neal G",,,,,,skinner,neal skinner,Senior Design Project I 
SE,3341,002,2,,1,2,2,2,1,,,,1,,2,0,"Whalen, Tristan G","Zimmer, Kevin C",,,,,tgw100020,tristan whalen,Probability and Statistics in Computer Science and Software Engineering 
SE,4348,001,,1,1,3,2,1,1,1,,3,,,,0,"Ozbirn, Greg A","Mai, Kelvin K",,,,,ozbirn,greg ozbirn,Operating Systems Concepts 
GISC,2305,001,1,2,4,1,,1,1,1,,,,,2,0,"Dell, Brent",,,,,,bxd160430,brent dell,Spatial Thinking and Data Analytics 
PSCI,6311,001,,4,4,4,,,,,,,,,,1,"Miller, Banks",,,,,,bxm093000,banks miller,Proseminar in Law and Courts 
AMS,4300,5H1,3,6,2,,1,,,,,,,,1,0,"Ross, Alyssa N",,,,,,anr161130,alyssa ross,Oral and Written Communication for the Classroom 
