Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2302,5U1,2,4,,4,10,,4,9,,2,1,,,,,,1,,"Zolton, Kathy","Johnson, Jennifer G","Zhou, Junfei",,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,3312,5U1,4,9,4,9,1,4,,,1,,,,,,,,,,"Johnson, Jennifer G","Zhou, Junfei",,,,,jxj091000,jennifer johnson,Fundamentals of Accounting Analytics 
ACCT,3331,5U1,3,2,1,1,1,,5,,1,2,1,,1,,,,1,,"Zhou, Yibin","Chen, Hangu",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3350,5U1,4,5,3,,3,3,4,4,1,2,,,,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,4334,5U1,,1,4,3,6,1,3,1,1,,,,1,,,,,,"Hes, Christopher","Zhou, Junfei",,,,,cah041000,christopher hess,Auditing 
ACCT,6202,0W1,,13,12,15,13,6,3,2,,,,,2,,,,1,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman,Accounting for Managerial Decision Making and Control 
ACCT,6301,5U1,,9,1,,,,,,,,,,,,,,,,"Solcher, Steven J",,,,,,sjs107020,steven solcher,Financial Accounting 
ACCT,6305,0W1,,3,5,4,2,1,1,,,,,,,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,,suryaj,surya janakiraman,Accounting for Managers 
ACCT,6338,0W1,,6,,1,10,,,4,,,,,,,,,4,,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
ACCT,6344,0W1,,14,22,4,6,6,1,,,,,,,,,,1,,"Gurun, Umit G","Yayvak, Berk",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6353,PPA,,7,9,7,1,2,,,,,,,,,,,,,"Solcher, Steven J",,,,,,sjs107020,steven solcher,
ACCT,6365,5U1,,8,5,13,7,4,8,2,,,,,1,,,,,,"Cheng, Samuel",,,,,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
ACCT,6367,5U1,,23,12,1,6,1,,1,,,,,1,,,,,,"Gamino, John P","Frost, Sandra M",,,,,jpg140630,john gamino,Multijurisdictional Taxation 
ACCT,6377,5U1,,45,9,1,1,,,,,,,,,,,,,,"Ballew, Gregory","Liu, Ruichao",,,,,geb011100,gregory ballew,Corporate Governance 
ACCT,6384,0W1,,39,10,3,4,2,,2,,,,,1,,,,,,"Kromer, Jeffrey R","Chen, Hangu",,,,,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
ACCT,6392,5U1,,5,25,5,17,10,6,2,,,,,,,,,,,"Hes, Christopher",,,,,,cah041000,christopher hess,Advanced Auditing 
ACCT,6394,XH1,,20,,,,,,,,,,,,,,,,,"McNulty, Diane S","Hemmig, Ray",,,,,dmcnulty,diane mcnulty,
ACN,6395,0W1,,20,,,,,,,,,,,,,,,,,"Hooge, Kimberley D",,,,,,koh170030,kimberley orsten hooge,Cognitive Psychology 
AMS,2300,091,4,2,,,,,,3,,,1,,2,,,,,,"Hammonds, Kyle",,,,,,kxh230016,kyle hammonds,American Popular Culture 
AMS,3316,0W1,11,6,1,1,,,1,,,,,,,,,,2,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,3350,0W1,6,2,1,2,,,,,,,,,,,,,3,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Crisis Communication 
ANGM,2309,0W1,1,11,1,,2,,,,2,,,,2,,,,,,"Fechter, Todd A","Khamsehnezhad, Mozhdeh",,,,,taf051000,todd fechter,Drawing for Animation 
ANGM,3305,0W1,,2,1,4,2,3,2,3,2,,,,5,,,,,,"Manriquez, Robert J",,,,,,rjm107020,,Computer Animation I 
ANGM,3306,0W1,1,5,8,3,4,2,1,1,,,,,1,,,,1,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Modeling and Texturing I 
ANGM,3307,0W1,,4,4,,2,2,,2,,,,,1,,,,,,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition I 
ANGM,3308,0W1,7,5,1,1,3,4,1,2,,1,,,2,,,,1,,"Porritt, Joseph L",,,,,,jxp154530,,Rigging I 
ANGM,3338,0W1,7,3,7,2,1,,,1,1,,,,3,,,,,,"Griffin, Troy",,,,,,txg121730,troy griffin,Motion Design I 
ANGM,3367,0W1,2,5,7,2,3,,2,,1,,1,,1,,,,,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Level Design I 
ANGM,3368,0W1,5,4,2,4,2,2,2,1,1,1,,2,1,,,,1,,"Chandler, Adam W",,,,,,awc051000,adam chandler,Scripting for Games I 
ARTS,1301,0W1,34,5,1,2,,1,1,1,,1,,,1,,,,,,"Wilder, James E","Daneshvarkashkooli, Marjan","Takaloubighash, Maryam",,,,jew042000,james wilder,Exploration of the Arts 
ARTS,3379,0W1,,5,2,1,3,,,,,,,,4,,,,,,"Loving, Emily A",,,,,,exl097120,emily loving,Photography  New Media 
ARTS,3383,0W1,,3,2,2,,,1,,,1,,,1,,,,,,"Higgins-Stirrup, Brynn",,,,,,bxh230012,brynn higgins stirrup,Digital Drawing 
ATCM,2300,0W1,7,3,3,3,,3,2,2,2,,,1,,,,,,,"Martinez Ochoa, Angelica M","Welwood, Samantha F",,,,,amm180028,,Introduction to TechnoCulture 
ATCM,2300,0W2,11,9,3,,1,,,,,,,,1,,,,1,,"Khatri, Hamida","Rahman, Mohammad K",,,,,hxk200055,,Introduction to TechnoCulture 
ATCM,2302,0U1,2,3,2,2,,2,,,1,,,,,,,,,,"Ashouri, Shaghayegh",,,,,,sxa210030,shaghayegh ashouri,Design I 
ATCM,2321,0W1,,,7,3,4,2,1,,1,,,,,,,,,,"Whitlock, Kathryn","Vo, Angelene H",,,,,kgw150030,,Reading Media Critically 
ATCM,2330,0W1,,,1,,2,3,,,2,,,,2,,,,,,"Nielsen, Christina R","Ayodabo, Sunday J",,,,,crn022000,christina nielsen,Digital Art and Social Practice 
ATCM,2350,0U1,3,4,2,,1,,,,,,,,,,,,,,"Yu, Yiding",,,,,,yxy180033,yiding yu,Time-Based Media 
ATCM,3301,0W2,,6,3,,1,,2,1,,,,,3,,,,,,"Chowdhury, Nusrat Zahan","Rahman, Maruf",,,,,nxc190022,,Writing for ATEC 
ATCM,3337,0W1,7,,,1,,,,,2,,,,1,,,,1,,"Wood, Harold G",,,,,,hgw021000,harold wood,Interaction Design I 
ATCM,3350,0W1,4,3,3,,2,,1,1,,,,1,1,,,,,,"Hewitt, Sharon A",,,,,,sxh090220,sharon hewitt,Digital Video Production I 
ATCM,3388,0W1,5,5,7,,,1,,,,,,,,,,,,,"Fraley, James M","Hernandez, Luke A",,,,,jmf210007,james fraley,Social Influence and Persuasive Design 
ATCM,4319,0S1,,23,1,,2,,,,,,,,1,,,,,,"McComber, Sean J",,,,,,sxm129130,sean mccomber,Topics in Animation 
ATCM,4326,0W1,8,4,1,2,,,1,,1,,,,1,,,,,,"Heaslip, Audra","Cole, Abby",,,,,axh027000,audra heaslip,Mediated Textuality 
ATCM,4330,0W1,,3,3,2,1,,,1,,1,1,,1,,,,,,"Nielsen, Christina R","Amartey, Belinda",,,,,crn022000,christina nielsen,Culture Jamming 
ATCM,4350,0W1,2,1,2,2,1,1,1,,1,,,,2,,,,,,"Hewitt, Sharon A",,,,,,sxh090220,sharon hewitt,Digital Video Production II 
ATCM,4384,551,4,12,,,,,,,,,,,,,,,,,"Sen Gupta, Karl S",,,,,,kss140330,karl sengupta,Ethics in New Media  Technology  and Communication 
AUD,6216,0U1,,10,3,1,1,,,,,,,,,,,,,,"Cokely, Carol G",,,,,,cgc016200,,Audiologic Rehabilitation for Adults 
AUD,6352,0U1,,27,,,2,,,,,,,,,,,,,,"Clark, Jackie L","Crow, Sarah E",,,,,jclark,jackie clark,Audiology in the Medical and Public Health Systems 
AUD,7240,5U1,,3,3,4,3,,,,,,,,,,,,,,"Griffiths, Scott K",,,,,,skg180000,,Auditory Processing Disorders and other Advanced Topics in Audiology 
AUD,7280,064,,,,,,,,,,,,,,,,,,15,"Fowler-Brookman, Stephanie L","Mosley, Cornetta",,,,,slr150030,,Doctoral Practicum in Audiology 
AUD,7280,070,,,,,,,,,,,,,,,,,,14,"Clark, Jackie L",,,,,,jclark,jackie clark,Doctoral Practicum in Audiology 
AUD,7325,5U1,,14,,,,,,,,,,,,,,,,,"Thibodeau, Linda K","Mosley, Cornetta","Qi, Shuang",,,,thib,linda thibodeau,Intensive Auditory Rehabilitation for Adult Hearing Loss 
AUD,8V97,064,,,,,,,,,,,,,,,,,,14,"Cokely, Carol G",,,,,,cgc016200,carol cokely,
BA,1320,0U1,2,3,3,2,3,2,,,,,,,,,,,,,"Blueshtein, Moran","Zhang, Qiyan",,,,,mxb135230,moran blueshtein,Business in a Global World 
BA,4090,091,,,,,,,,,,,,,,35,,,,,"Henderson, Thomas C",,,,,,,thomas henderson,
BA,4090,092,,,,,,,,,,,,,,23,,,,,"Gamino, John P",,,,,,jpg140630,john gamino,
BA,4090,0U1,,,,,,,,,,,,,,24,,1,,,"Henderson, Thomas C",,,,,,,thomas henderson,
BA,4090,0U2,,,,,,,,,,,,,,19,,2,1,,"Gamino, John P",,,,,,jpg140630,john gamino,
BA,4095,0W1,,,,,,,,,,,,,,37,,,,,"Owens, Dawn M",,,,,,dmo130130,dawn owens,
BA,4095,0W2,,,,,,,,,,,,,,10,,,,,"Owens, Dawn M",,,,,,dmo130130,dawn owens,
BA,4V90,0U3,,,,,,,,,,,,,,28,,,,,"Henderson, Thomas C",,,,,,,thomas henderson,
BA,4V90,593,,,,,,,,,,,,,,20,,,,,"Henderson, Thomas C",,,,,,,thomas henderson,
BCOM,3300,051,1,6,12,3,8,3,,1,1,,,,3,,,,,,"Ali, Shazia",,,,,,shazia,ali shazia,Business Communication 
BCOM,4300,0U2,,2,6,3,5,2,,1,1,,,,,,,,,,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Advanced Professional Communication 
BCOM,4300,0U4,1,,4,5,6,2,2,1,1,2,,,,,,,1,,"Harrison, Megan",,,,,,mkh160330,megan harrison,Advanced Professional Communication 
BCOM,4300,5U1,4,5,3,1,,,,,,,,,,,,,1,,"McCrady, Victoria D",,,,,,vdm130030,victoria mccrady,Advanced Professional Communication 
BCOM,4300,5U2,2,8,9,8,4,5,1,,1,,,,,,,,,,"Moore, Sarah E",,,,,,sem054000,sarah moore,Advanced Professional Communication 
BIOL,2111,0U1,19,3,4,4,3,3,2,,,,,,1,,,,1,,"Sarcar, Subha",,,,,,sns064000,subha sarcar,Introduction to Modern Biology Workshop I 
BIOL,2112,0U1,13,11,3,,8,4,2,2,,1,1,1,6,,,,,,"Wu, Zhuoru","Xu, Linyi",,,,,zxw190014,,Introduction to Modern Biology Workshop II 
BIOL,2281,3U1,3,4,5,2,,1,1,,,,,,,,,,1,,"Lin, Wen J","Briggs, Alyssa A","Dalvi, Hrishikesh H","Liu, Junyu","Liu, Yihan","Maity, Tuhina",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,3U2,,3,,3,1,3,,,,,,,,,,,,,"Lin, Wen J","Briggs, Alyssa A","Liu, Junyu","Liu, Yihan","Maity, Tuhina","Basu, Ujjaini",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2281,3U3,2,1,1,2,3,2,1,,2,,1,,1,,,,,,"Lin, Wen J","Briggs, Alyssa A","Dalvi, Hrishikesh H","Liu, Junyu","Liu, Yihan","Maity, Tuhina",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,2311,0U1,19,3,4,4,3,3,2,,,,,,1,,,,1,,"Sarcar, Subha","Camp, John M",,,,,sns064000,subha sarcar,Introduction to Modern Biology I 
BIOL,2312,0U1,13,11,3,,8,4,2,2,,1,1,1,6,,,,,,"Wu, Zhuoru","Tiwari, Suman","Thomas, Nathaniel","Xu, Linyi",,,zxw190014,,Introduction to Modern Biology II 
BIOL,3101,0U1,49,37,18,43,22,16,11,9,4,2,1,3,1,,,,,,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3102,0U1,2,1,1,2,4,2,1,,,,,,,,,,,,"Sarcar, Subha",,,,,,sns064000,subha sarcar,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,3161,0U1,7,7,15,11,10,7,2,2,,2,,,1,,,,,,"Candas, Mehmet","Boyd, Stefanie D",,,,,candas,mehmet candas,Biochemistry Workshop I 
BIOL,3162,0U1,,5,3,3,8,3,,1,1,,,,1,,,,,,"Candas, Mehmet","Boyd, Stefanie D",,,,,candas,mehmet candas,Biochemistry Workshop II 
BIOL,3203,1U1,9,3,,,,,,,,,,,,,,,,,"Gomez, Amy Jo M","Bonde, Namrata Dinesh","Wickramasinghe, Piumi B",,,,amh240001,amy macbey gomez,Introduction to Microbiology Lab 
BIOL,3203,1U2,8,3,,,,,,,,,,,,,,,,,"Gomez, Amy Jo M","Wickramasinghe, Piumi B","Bonde, Namrata Dinesh",,,,amh240001,amy macbey gomez,Introduction to Microbiology Lab 
BIOL,3301,0U1,49,37,18,43,22,16,11,9,4,2,1,3,1,,,,1,,"Srikanth, Uma","Afolami, Olufemi Ifeoluwa","Salaudeen, Ibrahim O","Maiti, Dibyo","Patel, Umar J","Maity, Subhajit",ukrish,uma srikanth,Classical and Molecular Genetics 
BIOL,3302,0U1,2,1,1,2,4,2,1,,,,,,,,,,,,"Sarcar, Subha","Yamauchi, Stephanie A",,,,,sns064000,subha sarcar,Eukaryotic Molecular and Cell Biology 
BIOL,3303,0U1,,6,7,4,7,4,4,2,,1,,,,,,,,,"Boyd, Stefanie D",,,,,,sdb074000,stefanie boyd,Introduction to Microbiology 
BIOL,3318,0U1,15,16,9,1,,1,,1,,,,,,,,,,,"Gomez, Amy Jo M","Chacon Castro, Maria Del Carmen","Elhawary, Ezzeldin N",,,,amh240001,amy macbey gomez,Forensic Biology 
BIOL,3361,0U1,6,5,11,9,9,7,2,2,,2,,,1,,,,1,,"Boyd, Stefanie D","Candas, Mehmet",,,,,sdb074000,stefanie boyd,Biochemistry I 
BIOL,3362,0U1,,4,1,3,8,3,,1,1,,,,1,,,,,,"Boyd, Stefanie D","Candas, Mehmet","Petter, Andrew T","Sunder Singh, Jacqulene Preethi",,,sdb074000,stefanie boyd,Biochemistry II 
BIOL,3380,3U1,1,2,4,2,2,1,1,2,2,,,,2,,,,,,"Rippel, Scott A","Pickett, Elizabeth A","Shi, Zhan",,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,3U3,1,1,2,,3,,1,,1,1,2,1,1,,,,,,"Rippel, Scott A","Pickett, Elizabeth A","Zhi, Jiahe",,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,3U4,,1,4,2,1,1,,1,1,1,1,1,1,,,,,,"Pickett, Elizabeth A","Rippel, Scott A","Falah, Rafah M",,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
BIOL,3455,3U1,,1,3,3,4,3,,4,3,2,1,1,,,,,2,,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,3456,3U1,,2,1,1,3,3,3,,,,,,,,,,,,"Yu, Wen-Ho","Zhang, Nan",,,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3V00,0W1,9,16,7,1,2,,,,,,,1,,,,,,,"Candas, Mehmet",,,,,,candas,mehmet candas,Topics in Biological Sciences 
BIOL,4380,3U1,3,3,2,2,2,1,1,1,,,,,,,,,,,"Sadat, Eva L","Konakalla, Anisha Reddy","Joshi, Ketki","Shryock, Douglas G","Hari Prasad, Vineeth",,exs190014,eva sadat,Cell and Molecular Biology Laboratory 
BIS,2190,0W1,1,3,2,2,2,5,,,,,,,2,,,,,,"Dornback, Sarah",,,,,,sxd220144,sarah dornback,Library Research Skills 
BIS,3320,0U1,3,5,2,1,1,3,,,,,,,,,,,,,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BLAW,2301,5U1,,6,2,2,4,4,4,1,5,,2,,,,,,2,,"Betanzos, Christina L",,,,,,clb120030,christina betanzos,Business and Public Law 
BMEN,3200,0U1,,18,1,2,1,1,,,1,,,,,,,,,,"Rivera, Christian","Kang, Gu Eon","Stout, Angeloh M",,,,cxr210008,christian rivera,Biomedical Engineering Fundamentals and Design 
BMEN,3302,051,1,2,,2,1,3,3,2,,,,,,,,,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali,Bioengineering Signals and Systems 
BMEN,3320,051,1,2,2,2,,2,1,1,,,,,,,,,,,"Ali, Tariq M","Kian Pour, Bahareh",,,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering 
BMEN,4388,0U1,,4,6,4,8,5,2,,1,,,,,,,,,,"Polk, Todd W",,,,,,twp017000,todd polk,Senior Design Project I 
BPS,4305,5U1,1,9,6,4,,,,,,,,,,,,,,,"Song, You-Xiang",,,,,,yxs190035,,Strategic Management 
BPS,4395,5U1,5,35,,5,,,,,,,,,,,,,,,"Henderson, Thomas C",,,,,,txh093000,tom henderson,Capstone Senior Project - Business 
BPS,4395,5U2,32,10,5,,,,,,,,,,,,,,,,"Stogsdill, Robert",,,,,,rws180002,robert stogsdill,Capstone Senior Project - Business 
