Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,NC,P,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
OPRE,6364,0W1,,12,8,5,3,3,1,,,,,,,,,,0,"Ramanathan, Kannan","Lyu, Junjia",,,,,kxr087000,kannan ramanathan,Lean Six Sigma 
OPRE,6366,0W1,,5,,1,2,2,,,,,,,,,,2,0,"Leach, Sonia E","Shi, Lingling",,,,,sel120030,sonia leach,Global Supply Chain Management 
OPRE,6366,501,,13,10,2,6,3,,1,,,,,,,,10,1,"Leach, Sonia E","Shi, Lingling",,,,,sel120030,sonia leach,Global Supply Chain Management 
OPRE,6367,002,,33,,,,,,,,,,,,,,,0,"Parks, David",,,,,,dxp153830,david parks,Capstone Projects in Supply Chain Management 
OPRE,6369,501,,9,8,3,3,,,,,,,,,,,5,0,"Subramoniam, Ramesh","Dedhia, Yash K",,,,,rxs179630,ramesh subramoniam,Supply Chain Software with SAP 
OPRE,6370,001,,9,,8,3,1,,,,,,,,,,4,1,"Frazelle, Andrew E","Mobini Dehkordi, Zahra",,,,,aef180002,andrew frazelle,Global Logistics and Transportation 
OPRE,6370,501,,37,5,6,1,,,,,,,,,,,1,0,"Sabri, Ehap H","Shi, Lingling",,,,,exs055000,ehap sabri,Global Logistics and Transportation 
OPRE,6371,0W1,,5,3,4,3,,,,,,,,,,,2,0,"Hu, Bin","Zhang, Minmin",,,,,bxh180009,bin hu,Purchasing  Sourcing and Contract Management 
OPRE,6371,501,,16,11,11,11,3,,,,,,,,,,7,0,"Hu, Bin","Zhang, Minmin",,,,,bxh180009,bin hu,Purchasing  Sourcing and Contract Management 
OPRE,6378,001,,54,,4,1,,,,,,,,1,,,,0,"Widdifield, David S",,,,,,dsw180001,david widdifield,Supply Chain Strategy 
OPRE,6379,501,,9,10,6,4,1,,,,,,,,,,7,0,"Rajamani, Divakar","Kuppagoundanpalayam Nallasivam, Vikram",,,,,dxr020100,divakar rajamani,Product Lifecycle Management 
OPRE,6393,501,,12,1,,,,,,,,,,,,,1,0,"Atabansi, Lloyd A","Shah, Dhruv Rakesh",,,,,laa190003,lloyd atabansi,Database Foundations 
OPRE,6398,003,,9,,1,1,,,,,,,,,,,6,0,"Alimirzaei, Athena","Armaghan, Milad",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
OPRE,6398,501,,6,1,3,4,,,1,,,,,,,,3,0,"Alimirzaei, Athena","Armaghan, Milad",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
OPRE,7051,001,,,,,,,,,,,,,,,,17,0,"Sethi, Suresh",,,,,,sethi,,Seminar in Operations Management 
OPRE,7353,001,,4,4,4,2,,,,,,,,,,,,1,"Dawande, Milind","Manchiraju, Chandrasekhar Seetharama",,,,,milind,milind dawande,Optimization 
PA,2325,001,,13,5,2,,,,1,,,,,1,,1,,0,"Harrington, James","Rafi, Ahmed",,,,,jxh134630,james harrington,Introduction to Public and Nonprofit Management 
PA,3310,001,,3,3,1,2,,1,,,1,,,1,,,,0,"Rabbi, Md. Fazle",,,,,,mxr163630,md fazle rabbi,Managing Government Organizations 
