Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2301,001,2,7,5,8,8,7,3,6,1,3,3,,9,,,,1,,"Zhang, Jieying","Ozel, Naim Bugra","Tazhibayev, Galymzhan","Banik, Dipta",,
ACCT,2301,002,4,9,8,9,4,9,9,6,2,3,3,1,,,,,,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,
ACCT,2301,003,9,9,4,6,4,5,12,3,1,3,1,,4,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,
ACCT,2301,004,5,9,7,8,3,11,10,4,2,1,2,,3,,,,2,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,
ACCT,2301,005,7,5,5,6,8,6,4,3,6,5,,2,6,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,
ACCT,2301,006,3,4,8,10,2,4,4,6,6,6,4,4,2,,,,3,,"Ozel, Naim Bugra","Zhang, Jieying","Tazhibayev, Galymzhan","Banik, Dipta",,
ACCT,2301,007,14,6,6,4,2,5,,,,,,,1,,,,2,,"Liu, Ruichao",,,,,
ACCT,2301,501,7,3,4,7,3,2,3,2,,,1,,5,,,,2,,"Chen, Hangu",,,,,
ACCT,2301,HON,17,11,5,5,7,5,2,7,,,1,1,2,,,,1,,"Bortz, Tiffany A","Goel, Simran",,,,
ACCT,2302,001,22,3,5,11,2,4,1,2,1,,5,2,,,,,2,,"Kim, Tae Wook","Ai, Lanru",,,,
ACCT,2302,002,2,4,6,8,10,4,10,5,2,5,,,4,,,,,,"Sinha, Kirti","Kwon, Yeongmin",,,,
ACCT,2302,003,3,7,9,4,4,11,6,5,2,2,4,1,1,,,,1,,"Sinha, Kirti","Kwon, Yeongmin",,,,
ACCT,2302,004,2,5,1,4,6,1,3,7,7,2,5,,11,,,,5,,"Dai, Zhonglan","Zhou, Junfei",,,,
ACCT,2302,005,1,7,5,8,8,8,6,7,2,2,2,,3,,,,1,,"Sinha, Kirti","Kwon, Yeongmin",,,,
ACCT,2302,006,20,10,7,1,8,4,,5,2,,1,,1,,,,1,,"Zolton, Kathy","Shivaani, MV",,,,
ACCT,2302,007,22,2,10,13,1,3,,1,1,,,4,,,,,1,,"Kim, Tae Wook","Ai, Lanru",,,,
ACCT,2302,008,1,6,,1,6,,4,4,2,1,6,,9,,,,6,,"Dai, Zhonglan","Zhou, Junfei",,,,
ACCT,2302,009,2,7,1,4,5,6,5,8,,,3,2,6,,,,4,,"Dai, Zhonglan","Zhou, Junfei",,,,
ACCT,2302,010,6,3,7,8,5,5,6,5,4,1,2,,4,,,,1,,"Janakiraman, Surya N","Ai, Lanru",,,,
ACCT,2302,501,8,9,5,5,8,3,6,6,1,3,1,2,,,,,,,"Pereira Pinto, Jedson","Kim, Jongha",,,,
ACCT,3312,001,35,5,5,4,5,3,1,,,,,,1,,,,1,,"Pereira Pinto, Jedson","Kim, Jongha",,,,
ACCT,3312,002,16,4,3,16,6,5,4,3,1,,,2,,,,,,,"Pereira Pinto, Jedson","Kim, Jongha",,,,
ACCT,3322,001,2,11,5,2,10,4,2,2,2,,2,,2,,,,1,,"Goodrich, Mary Beth W","Patne, Saylee Pramod",,,,
ACCT,3331,001,6,7,2,2,5,5,3,8,3,,2,2,,,,,1,,"Zhou, Yibin","Mariano, Dylan N",,,,
ACCT,3331,002,7,6,6,10,5,2,4,5,2,1,,,,,,,,,"Zhou, Yibin","Mariano, Dylan N",,,,
ACCT,3331,501,2,2,4,4,6,5,4,6,,,,,2,,,,3,,"Solcher, Steven J","Mariano, Dylan N",,,,
ACCT,3332,001,5,9,2,5,8,1,3,5,1,5,5,6,3,,,,8,,"Bortz, Tiffany A","Goel, Simran",,,,
ACCT,3332,501,,1,1,2,6,7,4,2,1,,3,,2,,,,3,,"Cheng, Samuel",,,,,
ACCT,3341,001,6,5,5,7,7,6,2,4,6,,,,,,,,,,"Sadka, Gil","Parupati, Sunil K",,,,
ACCT,3341,501,3,5,4,8,12,7,1,2,4,,,,2,,,,,,"Sadka, Gil","Parupati, Sunil K",,,,
ACCT,3341,PPA,8,2,5,15,8,3,4,1,,,,,,,,,,,"Sadka, Gil","Parupati, Sunil K",,,,
ACCT,3350,501,1,5,12,11,9,9,5,5,2,,,,,,,,1,,"Frost, Sandra M","Mariano, Dylan N",,,,
ACCT,3350,PPA,4,2,4,7,13,10,9,14,4,1,4,,1,,,,,,"Gamino, John P",,,,,
ACCT,4301,501,3,4,5,7,11,6,4,3,2,1,,,,,,,1,,"Hagen, John","Shelke, Abhishek Anil",,,,
ACCT,4334,501,2,3,3,3,4,9,1,5,7,1,1,1,,,,,1,,"Hes, Christopher","Goel, Simran",,,,
ACCT,4337,501,2,7,4,5,8,5,3,3,,2,1,,1,,,,1,,"Ballew, Gregory","Radhakrishnan, Shivani",,,,
ACCT,4340,001,14,8,3,3,4,2,,2,,1,,,2,,,,,,"Johnson, Jennifer G","Surani, Sanya R",,,,
ACCT,4342,501,6,7,16,11,5,4,8,2,1,,,,,,,,1,,"Johnson, Jennifer G","Surani, Sanya R",,,,
ACCT,4342,PP1,10,12,6,6,2,2,,,,,,,,,,,,,"Johnson, Jennifer G","Surani, Sanya R",,,,
ACCT,4342,PP2,8,12,10,4,3,,1,,,,,,,,,,,,"Johnson, Jennifer G","Surani, Sanya R",,,,
ACCT,4V80,003,,,,,,,,,,,,,,13,,,,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,
ACCT,4V80,PPA,,,,,,,,,,,,,,69,,,,,"Bortz, Tiffany A","Radhakrishnan, Shivani",,,,
ACCT,6202,501,,22,,4,8,,2,5,,,,,2,,,,1,,"Zolton, Kathy","Shivaani, MV",,,,
ACCT,6202,GW1,,11,5,4,,,,,,,,,1,,1,,,,"Sadka, Gil",,,,,
ACCT,6202,MBC,,28,,4,7,,2,1,,,,,,,2,,,,"Zolton, Kathy","Shivaani, MV",,,,
ACCT,6202,MBP,,17,,4,3,,1,1,,,,,,,,,,,"Zolton, Kathy","Shivaani, MV",,,,
ACCT,6202,XH1,,10,3,3,1,,,1,,,,,,,,,,,"Sadka, Gil",,,,,
ACCT,6292,S91,,43,,,24,,,4,,,,,,,,,,,"Mauriello, Joseph A",,,,,
ACCT,6293,S51,,37,,,34,,,,,,,,,,,,1,,"Betanzos, Christina L","Solcher, Steven J",,,,
ACCT,6301,501,,7,11,13,13,5,3,,,,,,3,,,,3,,"Ali, Ashiq","Kwon, Yeongmin",,,,
ACCT,6301,5W1,,17,17,9,2,,,,,,,,,,,,2,,"Solcher, Steven J","Mariano, Dylan N",,,,
ACCT,6301,CH1,,19,,,1,,,,,,,,,,,,,,"Barden, John P",,,,,
ACCT,6305,001,,20,,,4,,,3,,,,,,,,,2,,"Loumioti, Maria","Shivaani, MV",,,,
ACCT,6305,002,,9,,,4,,,1,,,,,,,,,,,"Loumioti, Maria","Shivaani, MV",,,,
ACCT,6305,501,,6,,,3,,,1,,,,,,,,,2,,"Loumioti, Maria","Shivaani, MV",,,,
ACCT,6313,0W1,,10,2,3,3,,,1,,,,,,,,,,,"Cavusoglu, Huseyin","Li, Baorui",,,,
ACCT,6330,0W1,,13,,3,16,,,14,,,,,1,,,,4,,"Cready, William M","Yayvak, Berk",,,,
ACCT,6331,5W1,,7,9,6,6,3,2,1,,,,,,,,,1,,"Janakiraman, Surya N","Ai, Lanru",,,,
ACCT,6332,501,,17,,,8,,1,6,,,,,1,,,,1,,"Zolton, Kathy","Shivaani, MV",,,,
