Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CS,4347,0U2,2,1,2,1,,2,,1,,,,,2,0,"Christiansen, Michael G","Patel, Dhruvkumar R",,,,,mgc013000,michael christiansen,Database Systems 
CS,4375,0U1,,2,2,2,,1,1,,1,,,1,1,0,"Mazidi, Karen J","Lin, Yu",,,,,kjm160430,karen mazidi,Introduction to Machine Learning 
CS,4390,0U2,,4,1,1,2,1,,,2,,,,,0,"Nguyen, Nhut","Mi, Feng",,,,,nhutnn,nhut nguyen,Computer Networks 
CS,4393,0U1,,1,3,1,1,1,1,3,,,,,,0,"Nguyen, Nhut","Chen, Simin",,,,,nhutnn,nhut nguyen,Computer and Network Security 
CS,5375,0W1,,9,1,1,,,,,,,,,,0,"Min, Richard K","Lee, Yi-Hui",,,,,rkm010300,richard min,Principles of UNIX 
ECS,3390,0U1,4,3,1,,1,1,,,,1,,,,0,"King, Carie S",,,,,,cxl085200,carie king,Professional and Technical Communication 
EE,3111,1U2,2,6,1,1,,,,,,,1,,,0,"Lee, Hoi","Liang, Jingchen",,,,,hxl054000,hoi lee,Electronic Circuits Laboratory 
EE,3320,0U2,,2,3,,4,1,1,,,,,,,0,"Shakhakarmi, Niraj","Wang, Yifan",,,,,nxs190009,,Digital Circuits 
MECH,7393,0U1,,5,4,1,,1,,,,,,,,0,"Thamban, P.L.Stephan",,,,,,stephan,p l stephan thamban,Advanced Mathematics for Mechanical Engineers II 
SE,4352,0U1,1,,3,1,,2,1,,1,1,,,,1,"Chung, Lawrence",,,,,,chung,lawrence chung,Software Architecture and Design 
FIN,3350,0U1,,5,,,2,,3,,,,,,,1,"Richards, James R",,,,,,jrr013500,james richards,Financial Markets and Institutions 
FIN,3380,0U1,,5,,2,2,,2,,,,,,,0,"Richards, James R",,,,,,jrr013500,james richards,International Financial Management 
MIS,6323,5U1,,3,,,6,,,1,,,,,1,0,"Thomas, Sunela","Tunc, Murat M",,,,,sxt167730,sunela thomas,Object Oriented Programming in Java 
OPRE,6398,5U2,,7,1,,1,,,2,,,,,,0,"Alimirzaei, Athena","Ho, Yi-Ju",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BIOL,4366,5U1,1,3,1,3,1,1,,,1,,,,,0,"Burr, John G",,,,,,burr,john burr,Molecular Biology of Cancer 
CHEM,2401,1U1,1,1,3,3,1,,1,,,,1,,,0,"Dissanayake, Dushanthi S","Perera, Alahendra Arachchige Sachini .","Remy, Ashele K",,,,dxd122030,dushanthi dissanayake,Introductory Quantitative Methods in Chemistry 
MATH,1306,0U1,,2,2,2,2,1,1,1,,,,,,0,"Mussa, Derege",,,,,,dxm146130,derege mussa,College Algebra for the Non-Scientist 
ARTS,2316,0U1,,6,1,1,3,1,,,,,,,,0,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Painting Foundations 
ARTS,3379,591,,6,5,,,,,,,,,,1,0,"Loving, Emily",,,,,,exl097120,emily loving,Photography  New Media 
FILM,1303,091,,3,3,2,,1,1,,,,,,2,0,"Al-Habashneh, Eman Bahjat",,,,,,eba130130,eman al habashneh,Transnational Film and Video  (3 Semester Credit Hours)
LIT,2331,091,,6,4,1,1,,,,,,,,,0,"Stout, Patricia J",,,,,,pjs140230,,Masterpieces of World Literature 
AUD,6352,5U1,,3,8,1,,,,,,,,,,0,"Golboro, Andrew",,,,,,axg165431,,Medical Audiology 
CLDP,3310,5U1,,3,2,2,2,2,,1,,,,,,0,"Bonner, Deborah L","Zhu, Yiyi",,,,,dbonner,deborah bonner,Child Development 
PSY,3338,0U1,,3,1,2,,2,,1,,1,1,,,1,"Burnell, Kaitlyn P",,,,,,kpb160330,,Adolescence 
SPAU,3342,0U1,2,4,3,2,,,1,,,,,,,0,"Barfoot, John W","Peskova, Olga",,,,,jwb043000,john barfoot,Exceptional Children 
BMEN,3150,001,,4,2,4,,2,,,,,,,,0,"Ali, Tariq M","Abraham, Alejandro",,,,,tma051000,tariq ali,Biomedical Engineering Laboratory 
CE,4389,0U1,1,7,,,1,1,,1,1,,,,,0,"Bhatia, Dinesh","Nourmohamadi, Hesam","Goswami, Pingakshya",,,,dinesh,dinesh bhatia,Senior Design Project II 
CS,6359,0U1,,4,2,2,3,1,,,,,,,,0,"Zhang, Kang","Shahbazi, Nima",,,,,kzhang,kang zhang,Object-Oriented Analysis and Design 
EEOP,6314,0H1,,11,,,,,,,,,,,,1,"Tamil, Lakshman",,,,,,laxman,lakshman tamil,Principles of Fiber and Integrated Optics  (3 Semester Credit Hours)
BUAN,6320,0U1,,3,4,,2,2,,,,,,,,1,"Narayan, Ravishankar L","Srivastava, Smriti",,,,,rln130030,ravishankar narayan,Database Foundations for Business Analytics 
FIN,3395,5U1,,4,2,1,5,,,,,,,,,0,"Noland, Jeff",,,,,,jxn125330,jeff noland,Financial Modeling and Valuation 
MIS,6344,0U1,,11,1,,,,,,,,,,,0,"Beauchamp, Joe P","Singh, Ayush K",,,,,jpb016300,joe beauchamp,Web Analytics 
SYSM,6335,SS1,,12,,,,,,,,,,,,0,"Narayan, Ravishankar L",,,,,,rln130030,ravishankar narayan,
BIOL,4380,1U1,,1,2,,3,2,1,2,,1,,,,0,"Borovkov, Irina G",,,,,,ixb053000,irina borovkov,Cell and Molecular Biology Laboratory 
CHEM,1112,1U1,1,5,2,1,,,1,1,,,,1,,0,"Qin, Yanping","Abeyrathna, Nisansala S","Morakabi, Katayoun",,,,yxq083000,yanping qin,General Chemistry Laboratory II 
CHEM,2125,1U3,4,5,,2,1,,,,,,,,,0,"Tran, Daniel N","Hernandez, Jayoh A","Franciskovich, Matthew R",,,,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory II 
MATH,2413,0S1,1,1,5,,3,,1,,,,1,,,0,"Alvarado, Iris",,,,,,ila180000,iris alvarado,
MATH,4301,0U1,1,1,,,3,3,1,,,,1,,2,0,"Dabkowski, Mieczyslaw K","Rakotomalala, Diarisoa Mihaja Andriamanisa",,,,,mkd034000,mieczyslaw dabkowski,Mathematical Analysis I 
COMD,7V82,0U1,,6,6,,,,,,,,,,,0,"Cokely, Carol G","Escabi, Celia D",,,,,cgc016200,,Special Topics in Communication Disorders 
ATCM,2302,051,2,5,,3,2,,,1,,,,,,0,"Minnish, Roxanne W",,,,,,rwm061000,roxanne minnish,Design I 
