Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,6388,5U1,,16,,,1,,,1,,,,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Accounting Communications 
FIN,6318,5U1,,5,7,6,,,,,,,,,,0,"Ma, Liping",,,,,,lxm133730,liping ma,Analytics of Finance 
MKT,6V99,5U1,,14,1,1,2,,,,,,,,,0,"Tirone, Guido",,,,,,gxt170001,guido tirone,Special Topics in Marketing 
OPRE,3330,5U1,,2,7,4,,4,,1,,,,,,0,"Janke, Scott M","Qu, Zihao",,,,,smj160830,scott janke,Project Management 
OPRE,3360,0U1,3,4,,2,1,3,1,,3,1,,,,0,"Enayaty Ahangar, Negin","Qu, Zihao",,,,,nxe180001,negin enayaty ahangar,Managerial Methods in Decision Making Under Uncertainty 
BIOL,2281,1U3,2,5,,2,1,3,1,3,,,,,,1,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Easterwood, Shayne","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing",wenju,wen ju lin,Introductory Biology Laboratory 
CHEM,2125,1U1,6,12,,,,,,,,,,,,0,"Tran, Daniel N","Ma, Ziyuan","Lumata, Jenica",,,,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory II 
MATH,1326,0U1,2,2,1,1,,1,,2,2,1,,,3,3,"Li, Changsong","Haq, Moutaz E",,,,,cxl109120,changsong li,Applied Calculus II 
PHYS,1302,1U1,3,2,4,1,2,2,1,1,,,1,,,1,"Sun, Kuei","Mahmud, Mohammad M",,,,,kxs147030,kuei sun,College Physics II 
PHYS,2126,1U3,10,7,,,,1,,,,,,,,0,"Macalevey, Paul J","Koirala, Pawan",,,,,paulmac,paul macalevey,Physics Laboratory II 
SMED,5301,0W1,,14,2,,1,,,,,,,,1,0,"Taylor, Stephanie M",,,,,,smt031000,stephanie taylor,Science  Mathematics  and Society  (3 Semester Credit Hours)
COMM,1311,0H3,,3,,2,3,4,2,1,,,1,,3,0,"Moss, Daniel J",,,,,,djm161130,daniel moss,Survey of Oral and Technology-based Communication 
LANG,2V42,0S1,,19,,,,,,,,,,,,0,"Gonzalez, Cristina M",,,,,,cxg042000,cristina gonzalez,
RHET,1302,051,10,4,2,1,,1,,,,,,,,1,"Shierry, Addison",,,,,,axs084500,addison shierry,Rhetoric 
RHET,1302,052,,12,1,,2,,,1,,,,,1,2,"Kirk, Kristina E",,,,,,kek160430,kristina kirk,Rhetoric 
PSY,3392,0U1,,2,3,,4,4,,2,1,1,,,2,0,"Austin, Kathryn A","Terry, Courtney",,,,,kaw170230,,Research Design and Analysis 
CS,6375,MU1,,11,7,1,,,,,,,,,,0,"Nagar, Anurag",,,,,,axn112530,anurag nagar,
EE,3302,0U1,4,2,3,3,3,2,,2,,,,,,0,"Kehtarnavaz, Nasser","Wei, Haoran",,,,,nxk019000,nasser kehtarnavaz,Signals and Systems 
SE,6388,MU1,,15,3,,1,,,,,,,,,0,"Smith, Klyne",,,,,,kxs180052,klyne smith,
BIS,4306,0W1,5,2,2,1,3,1,,1,,,,,3,1,"Simpson, Carrie M",,,,,,cms131030,carrie simpson,Strategies for Diversity in Education 
ISIS,4304,051,,4,4,4,2,1,,1,1,,1,,1,0,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak,Trials in American Culture 
ENTP,6375,0W1,,12,1,1,2,,1,,,,,,1,1,"Bochsler, Daniel C",,,,,,dcb091000,daniel bochsler,Technology and New Product Development 
FIN,6352,5U1,,9,2,3,4,1,,,,,,,,0,"Springate, David J",,,,,,spring8,david springate,Financial Modeling For Corporate Analysis 
MIS,6308,0W2,,1,6,3,7,2,,,,,,,,0,"Raghunathan, Srinivasan","Srivastava, Smriti","Xie, Si",,,,sraghu,srinivasan raghunathan,System Analysis and Project Management 
MATH,1326,0U2,3,1,2,,2,1,2,,,,,1,5,2,"Li, Changsong",,,,,,cxl109120,changsong li,Applied Calculus II 
CS,4301,0U1,6,3,2,,2,1,1,,1,,3,,1,0,"Karami, Gity","Dakshit, Sagnik",,,,,gxk180009,gity karami,Special Topics in Computer Science 
HLTH,1301,0W1,1,2,3,3,2,5,1,,1,2,,,,0,"Baetge, Claire",,,,,,cxb170330,claire baetge,Introduction to Kinesiology 
ACCT,6305,5U1,,9,4,4,1,2,,,,,,,,0,"Kromer, Jeffrey",,,,,,jrk013000,jeffrey kromer,Accounting for Managers 
FIN,3360,0U1,1,1,3,3,2,4,4,2,,,,,,0,"Murray, Jennifer R",,,,,,jrm160330,jennifer murray,Entrepreneurial Finance 
FIN,4300,0U1,2,2,1,1,4,2,1,,3,,2,,1,1,"Kim, Sang Hyun",,,,,,sxk158231,sang hyun kim,Investment Management 
MIS,6356,5U2,,9,4,1,4,1,,,,,,,,1,"Parker, Jason A","Zhu, Wangsheng",,,,,jap090020,jason parker,Business Analytics With R 
MKT,6339,0W1,,2,4,3,11,,,,,,,,,0,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Capstone Marketing Decision Making 
OB,6332,5U1,,13,5,2,,,,,,,,,,0,"Ritchey, Kemberly A",,,,,,kar014400,kemberly ritchey,Negotiation and Dispute Resolution 
BIOL,2281,1U2,1,1,5,2,4,4,1,1,1,,,,,0,"Lin, Wen J","Shashikanth Raj Urs, Karthik Urs Bangalore","Easterwood, Shayne","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing",wenju,wen ju lin,Introductory Biology Laboratory 
BIOL,3380,1U1,1,1,3,2,,3,4,3,2,,,1,,0,"Rippel, Scott A","Mazambani, Simbarashe",,,,,rippel,scott rippel,Biochemistry Laboratory 
CHEM,1111,1U1,7,6,,1,1,,,3,,,,,1,1,"Sra, Amandeep K","Shahrivarkevishahi, Arezoo","Firouzi, Hamid Reza",,,,aks057000,amandeep sra,General Chemistry Laboratory I 
MATH,2419,0U1,1,1,1,2,4,1,,6,1,,,,1,2,"Eydelzon, Anatoly","Islambekov, Umar","Gudoshnikov, Ivan",,,,axe031000,anatoly eydelzon,Calculus II 
OPRE,6362,5U1,,12,5,2,,,,,,,,,,0,"Janke, Scott M","Qu, Zihao",,,,,smj160830,scott janke,Project Management in Engineering and Operations 
COMM,1311,0H2,10,8,2,1,,,,,,,,,,0,"Tanner, Lari J",,,,,,ljt130130,lari tanner,
COMM,1311,0W1,8,4,3,4,,,,,,,1,,1,0,"Vazzi, Lisa",,,,,,lxv160630,lisa vazzi,Survey of Oral and Technology-based Communication 
COMM,1311,0W2,4,9,1,1,3,,,,,,,,1,2,"Gregory, Mona Y",,,,,,myg140030,mona gregory,Survey of Oral and Technology-based Communication 
ATCM,3305,0U1,,,2,,1,3,3,3,2,3,1,1,1,1,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho,Computer Animation I 
ATCM,3337,091,5,8,3,2,1,1,,,,,,,1,0,"Wood, Harold G",,,,,,hgw021000,harold wood,Interaction Design I 
ATCM,3340,051,13,,4,1,1,1,,1,,,,,,0,"Veras de Souza, Christine",,,,,,cxv180000,christine veras de souza,Design II 
PSY,3342,0U1,4,4,7,2,3,,,1,,,,,,0,"Barfoot, John W","Peskova, Olga",,,,,jwb043000,john barfoot,Exceptional Children 
CS,1337,0U2,5,4,1,1,4,1,1,,,,,,4,0,"DeGroot, Doug",,,,,,dxd180020,doug degroot,Computer Science I 
CS,3305,0U2,,5,2,3,1,3,1,1,,1,,1,2,1,"Ishigaki, Genya","Lee, Yi-Hui",,,,,gxi160230,genya ishigaki,Discrete Mathematics for Computing II 
CS,3354,0U2,5,8,6,2,,,,,,,,,,0,"Smith, Klyne","Tian, Zijing",,,,,kxs180052,klyne smith,Software Engineering 
CS,5343,0U1,,12,3,2,2,,,,,,,,2,0,"Gupta, Neeraj K","Samiei, Aliehsan",,,,,nkg140130,neeraj gupta,Algorithm Analysis and Data Structures 
MECH,3105,0U1,2,7,4,6,1,,,1,,,,,,0,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios,Computer Aided Design Laboratory 
MECH,3305,0U1,1,4,1,1,3,4,1,3,,,1,,2,0,"Rios, Oziel","Sadeh, Sepehr",,,,,oxr106020,oziel rios,Computer Aided Design 
CRIM,3302,0W1,11,5,2,1,1,,,,,,,1,,0,"Polk, Elmer O",,,,,,peo091000,elmer polk,Advanced Criminology 
FIN,3340,0U1,5,3,5,3,3,1,,,,,,,,1,"Molina, Stephen",,,,,,sxm163630,stephen molina,Regulation of Business and Financial Markets 
FIN,6321,5U1,,8,,,8,2,,2,,,,,,1,"Guttery, Randall",,,,,,rxg112530,randall guttery,Introduction to Real Estate 
ITSS,3300,0U1,,4,7,,4,2,,2,,,,,1,1,"Owens, Dawn M","Bhansali, Akanksha",,,,,dmo130130,dawn owens,Information Technology for Business 
BIOL,3380,1U2,4,1,4,1,3,4,1,1,1,1,,,,0,"Pickett, Elizabeth A","Hulyalkar, Neha V",,,,,eaw016100,elizabeth pickett,Biochemistry Laboratory 
PHYS,2126,1U2,12,6,1,,,,,,,,,,1,1,"Macalevey, Paul J","Parajuli, Santosh",,,,,paulmac,paul macalevey,Physics Laboratory II 
ATCM,3306,0U1,1,1,5,2,1,5,,,2,,1,,4,0,"McCord, Peter A",,,,,,pam062000,peter mccord,Modeling and Texturing I 
ATCM,3368,0U1,2,2,4,,2,3,2,2,1,3,,,1,0,"Chandler, Adam W",,,,,,awc051000,adam chandler,Scripting for Games I 
ACN,6338,0U1,,13,,,8,,,1,,,,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana,Functional Neuroanatomy 
ACN,6V81,0U1,,19,2,,,1,,,,,,,,0,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams,Special Topics in Applied Cognition and Neuroscience 
BMEN,4388,0U1,,5,10,6,1,,,,,,,,,0,"Polk, Todd W",,,,,,twp017000,todd polk,Senior Design Project I 
CS,1337,0U1,1,1,2,1,7,3,1,1,,,,,2,3,"Shields, Charles O","Guo, Jianxiong",,,,,cshields,charles shields,Computer Science I 
CS,2336,5U1,6,11,2,,3,,,,,,,,,0,"Khan, Ziaullah","Li, Fang",,,,,kkhan,ziaullah khan,Computer Science II 
CS,3340,0U1,1,1,3,2,2,7,,3,2,,,,1,0,"Mazidi, Karen J","Mi, Feng",,,,,kjm160430,karen mazidi,Computer Architecture 
CS,3345,0U1,2,4,2,,4,2,,3,3,,1,,,1,"Ozbirn, Greg A","Ahn, Sung Soo",,,,,ozbirn,greg ozbirn,Data Structures and Introduction to Algorithmic Analysis 
PSCI,4396,0U1,,8,2,3,1,4,,1,3,,,,,0,"Gathman, Adrienne E",,,,,,aeg140130,adrienne gathman,Selected Topics in Government and Politics 
ACCT,6305,SS1,,7,6,2,2,4,1,,,,,,,0,"Zhang, Jieying",,,,,,jxz146230,jieying zhang,
ACCT,6331,0W1,,8,,,6,,,5,,,,,,3,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready,Cost Accounting 
BPS,7303,0U1,,22,,,,,,,,,,,,0,"Watson, John M",,,,,,jmw077000,john watson,Doctoral Teaching and Writing Seminar 
BUAN,6357,0U1,,12,5,4,1,,,,,,,,,0,"Chatterjee, Sourav","Mehta, Sameer",,,,,sxc180075,sourav chatterjee,Advanced Business Analytics Using R 
FIN,6301,SS1,,8,2,3,6,3,,,,,,,,0,"Xu, Yexiao",,,,,,yexiaoxu,yexiao xu,
FIN,6307,5U1,,6,8,,4,1,2,1,,,,,,0,"Ma, Liping",,,,,,lxm133730,liping ma,Mathematical Methods for Finance 
ITSS,4330,5U1,1,1,,3,7,2,4,2,,,,,1,1,"Islam, Naser","Bhansali, Akanksha",,,,,nxi110630,naser islam,Systems Analysis and Design 
ITSS,4V95,5U1,16,3,2,,,1,,,,,,,,0,"Khan, Taimur A","Mehta, Sameer",,,,,txk123530,taimur khan,Seminar Series in Information Systems 
MIS,6319,0W1,,9,,,12,,,,,,,,1,0,"Thompson, Luell O",,,,,,lot013000,luell thompson,Enterprise Resource Planning 
CHEM,1112,1U2,,4,4,4,4,1,,2,2,,,1,,0,"Qin, Yanping","Mortensen, Marie L","Graham, Robert L",,,,yxq083000,yanping qin,General Chemistry Laboratory II 
MATH,2417,0U1,2,3,2,2,1,1,,1,,,,,7,3,"Ahsan, Mohammad K","Sitaula, Hari P","Helal, Md Abu","Milogorodskii, Aleksandr","Zimmer, Kevin C",,mka120030,mohammad ahsan,Calculus I 
BIOL,3455,1U3,2,2,2,4,1,4,1,1,2,,1,,2,0,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
PSY,2317,0U1,2,2,3,1,5,2,,2,1,,,,1,4,"Pacheco, Daniel F","Carson, Kevin J",,,,,pdaniel,daniel pacheco,Statistics for Psychology 
CE,3301,0U1,3,5,1,,1,1,,1,1,,3,,6,1,"Tacca, Marco","Mitra, Arkadeep","Zhang, Tianliang","Gandluru, Veerabharathchandrareddy","Gharajeh, Abouzar",,mtacca,marco tacca,Electrical Network Analysis 
CS,1336,0U1,2,3,3,1,,1,3,,,1,3,2,2,2,"Arnold, Gordon L","Ocampo Diaz, Gerardo",,,,,gxa120930,gordon arnold,Programming Fundamentals 
CS,3340,0U2,5,5,2,1,1,2,3,2,1,,1,,,0,"Karami, Gity","Fang, Zhou",,,,,gxk180009,gity karami,Computer Architecture 
ENGR,2300,0U1,6,4,2,1,3,,2,,2,,,,2,1,"Ahmed, Shaheen","Vankayalapati, Bhanu Teja","Wang, Jianda",,,,sxa176730,shaheen ahmed,Linear Algebra for Engineers 
MECH,3150,0U1,1,12,6,1,1,1,,,1,,,,,0,"Park, Wooram","Yu, Haoliang",,,,,wxp103020,wooram park,Kinematics and Dynamics Laboratory 
MECH,4381,0U2,,2,5,9,5,,1,,,,,,1,0,"Hart, Robert A","Upasham, Sayali S",,,,,rxh124630,robert hart,Senior Design Project I 
BUAN,6346,5U2,,23,,,,,,,,,,,,0,"Elkhodari, Gasan","Srivastava, Smriti",,,,,gxe051000,gasan elkhodari,Big Data 
FIN,6360,5U1,,5,5,4,2,2,2,3,,,,,,0,"Kaur, Dupinderjeet",,,,,,dxk110730,dupinderjeet kaur,Derivatives Markets 
ITSS,4352,0U1,3,1,1,1,3,1,1,3,3,2,1,1,2,0,"Bradbury, Judd D","Singh, Ayush K",,,,,jdb101000,judd bradbury,Introduction to Web Analytics 
MIS,6309,5U1,,11,2,3,3,3,,,,,,,,1,"Islam, Naser","Bhansali, Akanksha",,,,,nxi110630,naser islam,Business Data Warehousing 
MKT,3340,5U1,,5,3,3,6,1,3,1,,,,,1,0,"Rajaratnam, Daniel",,,,,,dxr143430,daniel rajaratnam,Marketing Research 
BIOL,2281,1U1,3,3,4,4,4,2,2,,,,,,1,0,"Lin, Wen J","Easterwood, Shayne","Shashikanth Raj Urs, Karthik Urs Bangalore","Do, Hung P","Gadhvi, Jashkaran G","Xia, Jing",wenju,wen ju lin,Introductory Biology Laboratory 
CHEM,3361,0U1,3,4,4,1,3,1,3,,3,,1,,,0,"Candas, Mehmet","McDill, Parker M","Krishnamohan, Aishwarya","Song, Ming","Ray, Ashvini","Dey, Sanchareeka",candas,mehmet candas,Biochemistry I 
MATH,2451,0U1,,2,1,2,3,3,4,2,2,1,,,1,2,"Turi, Janos","Hervert Hernandez, Esau A","Albelo-Cortes, Josean",,,,turi,janos turi,Multivariable Calculus with Applications 
PHYS,2125,1U2,5,14,1,1,,1,,,,,,,,1,"Sun, Kuei","Ali, Saif","Feizi, Wirya",,,,kxs147030,kuei sun,Physics Laboratory I 
PHYS,2125,6U1,9,12,,2,,,,,,,,,,0,"Sun, Kuei","Sharon Felix, .","Dhale, Nikhil",,,,kxs147030,kuei sun,Physics Laboratory I 
LIT,3327,051,5,9,2,2,2,3,,1,,,,,,0,"Ingrao, Peter J",,,,,,jingrao,peter ingrao,Mid-Twentieth Century American Literature 
THEA,1310,051,,10,11,1,1,1,,,,,,,,0,"Hibbs, Shelby A",,,,,,sah140730,shelby hibbs,Understanding Theatre  (3 Semester Credit Hours)
NSC,4354,0U1,3,,7,2,5,6,1,,,,,,,0,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana,Integrative Neuroscience 
CS,2305,0U1,3,7,3,1,5,1,1,1,,,,,2,0,"Feng, Ranran","Li, Xuelin",,,,,rxf090020,ranran feng,Discrete Mathematics for Computing I 
BIS,3320,0U1,3,9,4,3,2,,2,1,,,,,,0,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BUAN,6312,SW1,,4,2,4,4,7,2,,,,,,,1,"Blueshtein, Moran","Lee, Pil-Seng",,,,,mxb135230,moran blueshtein,
FIN,6308,0W1,,10,2,3,5,1,1,2,,,,,,0,"Lewin, Peter","Zhao, Yabo",,,,,plewin,peter lewin,Regulation of Business and Financial Markets 
FIN,6316,SU1,,10,3,3,7,1,,,,,,,,0,"Springate, David J",,,,,,spring8,david springate,
FIN,6360,SU1,,8,2,2,11,1,,,,,,,,0,"Day, Theodore",,,,,,tday,theodore day,
MKT,6336,0W1,,8,8,6,,2,,,,,,,,0,"Rao, Ram C","Saremi, Ehsan",,,,,rrao,ram rao,Pricing Analytics 
OB,6348,CW1,,22,,,,,,,,,,,1,1,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan,
OPRE,3333,5U1,7,1,3,,4,,1,7,,,,,1,0,"Ahadi, Khatereh","Chen, Yuhang",,,,,kxa180010,khatereh ahadi,Quantitative Business Analysis 
OPRE,6302,PU1,,20,,,4,,,,,,,,,0,"Joiner, James C",,,,,,,james joiner,
BIOL,3101,0U3,5,4,2,4,1,2,1,2,,,2,,1,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Classical and Molecular Genetics Workshop 
BIOL,3455,1U1,,1,2,2,3,1,2,6,3,,,,3,1,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
BIOL,3520,3U1,4,5,8,4,1,1,1,,,,,,,0,"Mehta, Iti",,,,,,ixm121430,iti mehta,General Microbiology with Lab 
CHEM,2123,1U2,17,4,3,,,,,,,,,,,0,"Abeykoon, Nimali C","Tajik Asl, Masoumeh","Villones, Rhiza Lyne",,,,nxa124430,nimali abeykoon,Introductory Organic Chemistry Laboratory I 
MATH,1325,5U1,6,,1,3,2,1,1,1,1,1,2,2,2,1,"Dahal, Rabin","Iudaev, Sergei",,,,,rxd153030,rabin dahal,Applied Calculus I 
ARHM,3342,091,,9,2,,4,3,,1,2,,1,,2,1,"Goode, Dianne H",,,,,,dgoode,dianne goode,Advanced Interdisciplinary Studies in the Arts and Humanities 
ATCM,3350,0U1,8,7,4,,3,1,,1,,,,,1,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt,Digital Video Production I 
COMD,7V68,0U1,,25,,,,,,,,,,,,0,"Sale, Felicity F",,,,,,ffs013000,,Cognitive Rehabilitation 
CS,4347,0U1,4,7,3,2,2,1,1,4,,,,,1,0,"Cankaya, Ebru C","Zi, Yuxin",,,,,exc067000,ebru cankaya,Database Systems 
CS,6301,0U3,,22,3,,,,,,,,,,,0,"Thuraisingham, Bhavani","Chen, Simin",,,,,bxt043000,bhavani thuraisingham,Special Topics in Computer Science 
CS,6360,5U1,,6,5,8,2,3,,,,,,,1,0,"Davis, Chris I","Dakshit, Sagnik",,,,,cid021000,chris davis,Database Design 
ECS,3361,0U2,,12,4,5,,2,,,,,,,1,1,"Harrington, James","Johnson, Sara K",,,,,jxh134630,james harrington,Social Issues and Ethics in Computer Science and Engineering 
EE,3310,5U1,,6,3,3,2,6,1,2,1,,1,,,0,"Pourkamali, Siavash","Palit, Prithviraj","Sheikhlari, Sepehr",,,,sxp124631,siavash pourkamali,Electronic Devices 
PA,6369,5U1,,25,,,,,,,,,,,,0,"McCaskill, John R",,,,,,jrm094020,john mccaskill,Grant Writing and Management 
BCOM,4350,5E1,,14,6,1,1,,1,,,,1,,1,0,"Watson, John M","Shirvin, Mahdi",,,,,jmw077000,john watson,Advanced Business Communication 
FIN,6301,XS1,,19,2,2,2,,,,,,,,,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert,
HMGT,6320,CH1,,16,2,3,4,,,,,,,,,0,"Fleming, Forney F",,,,,,fwf081000,forney fleming,
IMS,6204,XS1,,15,7,1,1,1,,,,,,,,0,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,
MKT,6301,XS1,,24,,,1,,,,,,,,,0,"Albrecht, Maria",,,,,,mxa180037,maria albrecht,
BIOL,3102,0U1,3,3,2,4,,2,1,1,1,1,4,2,1,0,"Srikanth, Uma",,,,,,ukrish,uma srikanth,Eukaryotic Molecular and Cell Biology Workshop 
CHEM,2123,1U1,19,5,,,,,,,,,,,,1,"Abeykoon, Nimali C","Wang, Hanghang","Tian, Yafen",,,,nxa124430,nimali abeykoon,Introductory Organic Chemistry Laboratory I 
ECON,2301,0U1,1,8,3,5,3,3,,,,,,,1,1,"Chen, Zhengyang",,,,,,zxc151030,zhengyang chen,Principles of Macroeconomics 
ACCT,2302,5U1,1,2,2,1,2,5,3,1,2,2,1,2,1,1,"Hes, Christopher A",,,,,,cah041000,christopher hess,Introductory Management Accounting 
ACCT,6301,CH1,,24,2,,,,,,,,,,,0,"Barden, John P",,,,,,jpb063000,john barden,
IMS,6204,AW1,,12,,,12,,,,,,,,1,1,"Petrik, Peter","McCracken, John",,,,,,peter petrik,
ITSS,4360,5U1,,2,8,3,6,4,2,1,,,,,,0,"Thirumalai, Nambi","Luo, Ning",,,,,ndt180001,nambi thirumalai,Network and Information Security 
MECO,6303,5U1,,3,4,5,6,2,3,1,,,,,2,0,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,Business Economics 
MECO,6303,AW1,,17,3,3,,1,,,,,,,1,1,"Kiser, Stephen L",,,,,,slk012100,stephen kiser,
MIS,6320,0W1,,6,7,7,2,1,3,,,,,,,0,"Cavusoglu, Huseyin","Tunc, Murat M",,,,,huseyin,huseyin cavusoglu,Database Foundations 
PHYS,2125,1U1,2,15,4,1,,,1,1,,1,,,1,0,"Sun, Kuei","Ferguson, Sarah W","Dhawan, Ruchika",,,,kxs147030,kuei sun,Physics Laboratory I 
CRIM,3320,0U1,7,7,4,1,,4,,,,,,,1,2,"Huskey, Michael",,,,,,mxh160630,michael huskey,Homicide and Capital Punishment 
ATCM,3338,0U1,,4,8,2,3,2,1,1,3,1,,,1,1,"Chandler, Adam W",,,,,,awc051000,adam chandler,Motion Graphics I 
COMD,5340,0U1,,27,,,,,,,,,,,,0,"Aldridge, Michelle A",,,,,,aldridge,michelle aldridge,Articulation Disorders 
COMD,6320,0U1,,25,,,2,,,,,,,,,0,"Carter, Jessica A","Smith, Irma E",,,,,jar032000,,Motor Speech Disorders 
CS,2336,0U1,2,3,7,7,7,1,,,,,,,,0,"Khan, Ziaullah","Dong, Zheng",,,,,kkhan,ziaullah khan,Computer Science II 
CS,6375,5U1,,15,4,3,2,1,,1,,,,,1,0,"Schweitzer, Haim","Wan, Guihong",,,,,haim,haim schweitzer,Machine Learning 
MECH,4381,0U1,,9,5,6,6,1,,,,,,,,0,"Hart, Robert A","Upasham, Sayali S",,,,,rxh124630,robert hart,Senior Design Project I 
BIS,3320,091,3,5,8,3,2,1,1,2,1,,,1,,0,"Hudson, Jennifer M",,,,,,jxh100220,jennifer hudson,The Nature of Intellectual Inquiry 
FIN,6301,PU1,,15,9,,1,1,1,,,,,,,0,"Reichert, Carolyn A",,,,,,carolyn,carolyn reichert,
MKT,4330,0W1,4,6,4,,3,5,2,1,1,,,,,1,"Edsel, Alexander D","Subramanian, Thyagarajan",,,,,ade012000,alexander edsel,Digital and Internet Marketing 
OPRE,6390,0W1,,19,,,7,,,,,,,,,1,"Thompson, Luell O",,,,,,lot013000,luell thompson,Enterprise Resource Planning 
BIOL,2111,0U2,,6,7,4,2,2,,1,1,1,1,2,,0,"Candas, Mehmet",,,,,,candas,mehmet candas,Introduction to Modern Biology Workshop I 
PHYS,2126,1U1,12,14,1,,,,,,,,,,,0,"Macalevey, Paul J","Stoikos, Evangelos","Fernando, Bharana A",,,,paulmac,paul macalevey,Physics Laboratory II 
STAT,4351,0U1,3,3,4,3,6,1,,2,,,,,4,1,"Koshevnik, Yuly","Patwary, Mohammad S","Wu, Jiaju",,,,yxk055000,yuly koshevnik,Probability 
CS,4348,0U1,2,5,4,4,3,1,2,,1,1,1,2,1,1,"Christiansen, Michael G","Shahbazi, Nima",,,,,mgc013000,michael christiansen,Operating Systems Concepts 
CS,6363,0U1,,17,2,2,4,2,1,,,,,,,0,"Chandrasekaran, Ramaswamy","Gour, Riti",,,,,chandra,ramaswamy chandrasekaran,Design and Analysis of Computer Algorithms 
SOC,1301,0W1,2,10,5,1,,2,2,,,,,1,4,1,"Simoni, Zachary",,,,,,zrs160030,zachary simoni,Introduction to Sociology 
AMS,2341,0H2,,4,7,5,7,2,1,,2,,,,,0,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
ACCT,2301,5U1,1,2,4,1,4,1,6,3,3,,,,2,1,"Swaim, Stephanie R",,,,,,srp065000,stephanie poindexter swaim,Introductory Financial Accounting 
ACCT,6353,SW1,,8,18,,2,,,,,,,,,0,"Solcher, Steven J",,,,,,sjs107020,steven solcher,
BIOL,2112,0U1,1,4,3,6,4,1,3,2,1,1,,2,,0,"Candas, Mehmet",,,,,,candas,mehmet candas,Introduction to Modern Biology Workshop II 
BIOL,3455,1U2,2,1,2,1,9,2,1,2,4,1,1,,2,0,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Human Anatomy and Physiology with Lab I 
CHEM,2125,1U2,8,17,1,1,,,,,,1,,,,0,"Tran, Daniel N","Tague, Daniel W","Wunch, Melissa A",,,,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory II 
MATH,2414,0U1,3,2,1,5,2,5,2,1,4,1,,1,1,0,"Aman, Kelly",,,,,,kxa143530,kelly aman,Integral Calculus 
ATCM,3301,5U1,1,10,5,2,1,3,,1,2,1,,1,2,0,"Rheams, David C",,,,,,dcr093020,david rheams,Digital Content Design 
PSY,4343,0U1,,2,11,4,4,4,1,,,,,,3,0,"Kinney, Robert S","Adelson, Megan J",,,,,rsk130430,robert kinney,Abnormal Psychology 
CS,2305,5U1,6,7,4,1,3,1,1,,,,1,2,2,1,"Farage, Timothy P","Yu, Shimeng",,,,,tfarage,timothy farage,Discrete Mathematics for Computing I 
AMS,3316,0W1,11,5,6,2,1,,,1,1,,,,2,0,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
BIS,3190,0W1,10,8,2,,2,4,,1,,,1,,1,0,"Robinson, Katie L","Edwards, Christopher W",,,,,klr180002,katie robinson,Library Research Skills 
ACCT,4334,5U1,,,5,4,4,3,3,3,2,2,1,,,2,"Hes, Christopher A",,,,,,cah041000,christopher hess,Auditing 
BUAN,6312,0W1,,2,8,9,5,1,3,1,,,,,,0,"Blueshtein, Moran","Lee, Pil-Seng",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
HMGT,6332,5U1,,18,5,1,3,2,,,,,,,,0,"Ramanathan, Kannan",,,,,,kxr087000,kannan ramanathan,Quality Improvement in Healthcare  Six Sigma and Beyond 
MIS,6380,0W1,,5,3,9,6,3,,1,,,,,1,1,"Bradbury, Judd D","Singh, Ayush K",,,,,jdb101000,judd bradbury,Data Visualization 
OB,6352,CW1,,18,6,2,2,1,,,,,,,,0,"Plaisance Bryan, Suzette T",,,,,,,suzette plaisance bryan,
