Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6
ACCT,2302,5U1,2,4,,4,10,,4,9,,2,1,,,,,,1,,"Zolton, Kathy","Johnson, Jennifer G","Zhou, Junfei",,,
ACCT,3312,5U1,4,9,4,9,1,4,,,1,,,,,,,,,,"Johnson, Jennifer G","Zhou, Junfei",,,,
ACCT,3331,5U1,3,2,1,1,1,,5,,1,2,1,,1,,,,1,,"Zhou, Yibin","Chen, Hangu",,,,
ACCT,3350,5U1,4,5,3,,3,3,4,4,1,2,,,,,,,,,"Gamino, John P",,,,,
ACCT,4334,5U1,,1,4,3,6,1,3,1,1,,,,1,,,,,,"Hes, Christopher","Zhou, Junfei",,,,
ACCT,6202,0W1,,13,12,15,13,6,3,2,,,,,2,,,,1,,"Janakiraman, Surya N","Ai, Lanru",,,,
ACCT,6301,5U1,,9,1,,,,,,,,,,,,,,,,"Solcher, Steven J",,,,,
ACCT,6305,0W1,,3,5,4,2,1,1,,,,,,,,,,,,"Janakiraman, Surya N","Ai, Lanru",,,,
ACCT,6338,0W1,,6,,1,10,,,4,,,,,,,,,4,,"Goodrich, Mary Beth W",,,,,
ACCT,6344,0W1,,14,22,4,6,6,1,,,,,,,,,,1,,"Gurun, Umit G","Yayvak, Berk",,,,
ACCT,6353,PPA,,7,9,7,1,2,,,,,,,,,,,,,"Solcher, Steven J",,,,,
ACCT,6365,5U1,,8,5,13,7,4,8,2,,,,,1,,,,,,"Cheng, Samuel",,,,,
ACCT,6367,5U1,,23,12,1,6,1,,1,,,,,1,,,,,,"Gamino, John P","Frost, Sandra M",,,,
ACCT,6377,5U1,,45,9,1,1,,,,,,,,,,,,,,"Ballew, Gregory","Liu, Ruichao",,,,
ACCT,6384,0W1,,39,10,3,4,2,,2,,,,,1,,,,,,"Kromer, Jeffrey R","Chen, Hangu",,,,
ACCT,6392,5U1,,5,25,5,17,10,6,2,,,,,,,,,,,"Hes, Christopher",,,,,
ACCT,6394,XH1,,20,,,,,,,,,,,,,,,,,"McNulty, Diane S","Hemmig, Ray",,,,
ACN,6395,0W1,,20,,,,,,,,,,,,,,,,,"Hooge, Kimberley D",,,,,
AMS,2300,091,4,2,,,,,,3,,,1,,2,,,,,,"Hammonds, Kyle",,,,,
AMS,3316,0W1,11,6,1,1,,,1,,,,,,,,,,2,,"Winstead, Elizabeth L",,,,,
AMS,3350,0W1,6,2,1,2,,,,,,,,,,,,,3,,"Winstead, Elizabeth L",,,,,
ANGM,2309,0W1,1,11,1,,2,,,,2,,,,2,,,,,,"Fechter, Todd A","Khamsehnezhad, Mozhdeh",,,,
ANGM,3305,0W1,,2,1,4,2,3,2,3,2,,,,5,,,,,,"Manriquez, Robert J",,,,,
ANGM,3306,0W1,1,5,8,3,4,2,1,1,,,,,1,,,,1,,"Lewis, Timothy M",,,,,
ANGM,3307,0W1,,4,4,,2,2,,2,,,,,1,,,,,,"McCord, Peter A",,,,,
ANGM,3308,0W1,7,5,1,1,3,4,1,2,,1,,,2,,,,1,,"Porritt, Joseph L",,,,,
ANGM,3338,0W1,7,3,7,2,1,,,1,1,,,,3,,,,,,"Griffin, Troy",,,,,
ANGM,3367,0W1,2,5,7,2,3,,2,,1,,1,,1,,,,,,"Lewis, Timothy M",,,,,
ANGM,3368,0W1,5,4,2,4,2,2,2,1,1,1,,2,1,,,,1,,"Chandler, Adam W",,,,,
ARTS,1301,0W1,34,5,1,2,,1,1,1,,1,,,1,,,,,,"Wilder, James E","Daneshvarkashkooli, Marjan","Takaloubighash, Maryam",,,
ARTS,3379,0W1,,5,2,1,3,,,,,,,,4,,,,,,"Loving, Emily A",,,,,
ARTS,3383,0W1,,3,2,2,,,1,,,1,,,1,,,,,,"Higgins-Stirrup, Brynn",,,,,
ATCM,2300,0W1,7,3,3,3,,3,2,2,2,,,1,,,,,,,"Martinez Ochoa, Angelica M","Welwood, Samantha F",,,,
ATCM,2300,0W2,11,9,3,,1,,,,,,,,1,,,,1,,"Khatri, Hamida","Rahman, Mohammad K",,,,
ATCM,2302,0U1,2,3,2,2,,2,,,1,,,,,,,,,,"Ashouri, Shaghayegh",,,,,
ATCM,2321,0W1,,,7,3,4,2,1,,1,,,,,,,,,,"Whitlock, Kathryn","Vo, Angelene H",,,,
ATCM,2330,0W1,,,1,,2,3,,,2,,,,2,,,,,,"Nielsen, Christina R","Ayodabo, Sunday J",,,,
ATCM,2350,0U1,3,4,2,,1,,,,,,,,,,,,,,"Yu, Yiding",,,,,
ATCM,3301,0W2,,6,3,,1,,2,1,,,,,3,,,,,,"Chowdhury, Nusrat Zahan","Rahman, Maruf",,,,
ATCM,3337,0W1,7,,,1,,,,,2,,,,1,,,,1,,"Wood, Harold G",,,,,
ATCM,3350,0W1,4,3,3,,2,,1,1,,,,1,1,,,,,,"Hewitt, Sharon A",,,,,
ATCM,3388,0W1,5,5,7,,,1,,,,,,,,,,,,,"Fraley, James M","Hernandez, Luke A",,,,
ATCM,4319,0S1,,23,1,,2,,,,,,,,1,,,,,,"McComber, Sean J",,,,,
ATCM,4326,0W1,8,4,1,2,,,1,,1,,,,1,,,,,,"Heaslip, Audra","Cole, Abby",,,,
ATCM,4330,0W1,,3,3,2,1,,,1,,1,1,,1,,,,,,"Nielsen, Christina R","Amartey, Belinda",,,,
ATCM,4350,0W1,2,1,2,2,1,1,1,,1,,,,2,,,,,,"Hewitt, Sharon A",,,,,
ATCM,4384,551,4,12,,,,,,,,,,,,,,,,,"Sen Gupta, Karl S",,,,,
AUD,6216,0U1,,10,3,1,1,,,,,,,,,,,,,,"Cokely, Carol G",,,,,
AUD,6352,0U1,,27,,,2,,,,,,,,,,,,,,"Clark, Jackie L","Crow, Sarah E",,,,
AUD,7240,5U1,,3,3,4,3,,,,,,,,,,,,,,"Griffiths, Scott K",,,,,
AUD,7280,064,,,,,,,,,,,,,,,,,,15,"Fowler-Brookman, Stephanie L","Mosley, Cornetta",,,,
AUD,7280,070,,,,,,,,,,,,,,,,,,14,"Clark, Jackie L",,,,,
AUD,7325,5U1,,14,,,,,,,,,,,,,,,,,"Thibodeau, Linda K","Mosley, Cornetta","Qi, Shuang",,,
AUD,8V97,064,,,,,,,,,,,,,,,,,,14,"Cokely, Carol G",,,,,
BA,1320,0U1,2,3,3,2,3,2,,,,,,,,,,,,,"Blueshtein, Moran","Zhang, Qiyan",,,,
BA,4090,091,,,,,,,,,,,,,,35,,,,,"Henderson, Thomas C",,,,,
BA,4090,092,,,,,,,,,,,,,,23,,,,,"Gamino, John P",,,,,
BA,4090,0U1,,,,,,,,,,,,,,24,,1,,,"Henderson, Thomas C",,,,,
BA,4090,0U2,,,,,,,,,,,,,,19,,2,1,,"Gamino, John P",,,,,
BA,4095,0W1,,,,,,,,,,,,,,37,,,,,"Owens, Dawn M",,,,,
BA,4095,0W2,,,,,,,,,,,,,,10,,,,,"Owens, Dawn M",,,,,
BA,4V90,0U3,,,,,,,,,,,,,,28,,,,,"Henderson, Thomas C",,,,,
BA,4V90,593,,,,,,,,,,,,,,20,,,,,"Henderson, Thomas C",,,,,
BCOM,3300,051,1,6,12,3,8,3,,1,1,,,,3,,,,,,"Ali, Shazia",,,,,
BCOM,4300,0U2,,2,6,3,5,2,,1,1,,,,,,,,,,"Fry, Jennifer L",,,,,
BCOM,4300,0U4,1,,4,5,6,2,2,1,1,2,,,,,,,1,,"Harrison, Megan",,,,,
BCOM,4300,5U1,4,5,3,1,,,,,,,,,,,,,1,,"McCrady, Victoria D",,,,,
BCOM,4300,5U2,2,8,9,8,4,5,1,,1,,,,,,,,,,"Moore, Sarah E",,,,,
BIOL,2111,0U1,19,3,4,4,3,3,2,,,,,,1,,,,1,,"Sarcar, Subha",,,,,
BIOL,2112,0U1,13,11,3,,8,4,2,2,,1,1,1,6,,,,,,"Wu, Zhuoru","Xu, Linyi",,,,
BIOL,2281,3U1,3,4,5,2,,1,1,,,,,,,,,,1,,"Lin, Wen J","Briggs, Alyssa A","Dalvi, Hrishikesh H","Liu, Junyu","Liu, Yihan","Maity, Tuhina"
BIOL,2281,3U2,,3,,3,1,3,,,,,,,,,,,,,"Lin, Wen J","Briggs, Alyssa A","Liu, Junyu","Liu, Yihan","Maity, Tuhina","Basu, Ujjaini"
BIOL,2281,3U3,2,1,1,2,3,2,1,,2,,1,,1,,,,,,"Lin, Wen J","Briggs, Alyssa A","Dalvi, Hrishikesh H","Liu, Junyu","Liu, Yihan","Maity, Tuhina"
BIOL,2311,0U1,19,3,4,4,3,3,2,,,,,,1,,,,1,,"Sarcar, Subha","Camp, John M",,,,
BIOL,2312,0U1,13,11,3,,8,4,2,2,,1,1,1,6,,,,,,"Wu, Zhuoru","Tiwari, Suman","Thomas, Nathaniel","Xu, Linyi",,
BIOL,3101,0U1,49,37,18,43,22,16,11,9,4,2,1,3,1,,,,,,"Srikanth, Uma",,,,,
BIOL,3102,0U1,2,1,1,2,4,2,1,,,,,,,,,,,,"Sarcar, Subha",,,,,
BIOL,3161,0U1,7,7,15,11,10,7,2,2,,2,,,1,,,,,,"Candas, Mehmet","Boyd, Stefanie D",,,,
BIOL,3162,0U1,,5,3,3,8,3,,1,1,,,,1,,,,,,"Candas, Mehmet","Boyd, Stefanie D",,,,
BIOL,3203,1U1,9,3,,,,,,,,,,,,,,,,,"Gomez, Amy Jo M","Bonde, Namrata Dinesh","Wickramasinghe, Piumi B",,,
BIOL,3203,1U2,8,3,,,,,,,,,,,,,,,,,"Gomez, Amy Jo M","Wickramasinghe, Piumi B","Bonde, Namrata Dinesh",,,
