Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,I,NC,W,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,001,12,6,1,7,3,2,5,2,,4,1,,2,,,,1,,"Kobilov, Botir","Zhang, Ye",,,,,bxk240018,botir kobilov,Introductory Financial Accounting 
ACCT,2301,002,7,5,5,6,1,6,2,1,,2,,,1,,,,3,,"Chen, Hangu",,,,,,hxc200040,hangu chen,Introductory Financial Accounting 
ACCT,2301,003,11,4,4,6,4,4,2,2,,,,,3,,,,,,"Liu, Ruichao",,,,,,rxl200023,,Introductory Financial Accounting 
ACCT,2301,004,6,4,6,10,2,5,1,1,1,,,,1,,,,1,,"Ai, Lanru",,,,,,lxa200024,lanru ai,Introductory Financial Accounting 
ACCT,2301,005,8,8,9,1,11,8,5,5,,,3,2,3,,,,1,,"Huang, Ying","Tazhibayev, Galymzhan",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,006,28,7,5,6,3,5,,2,3,2,1,1,3,,,,1,,"Huang, Junfan","Lipinski, Alisa A",,,,,jxh230025,junfan huang,Introductory Financial Accounting 
ACCT,2301,007,8,6,7,4,4,,2,3,2,2,,,1,,,,1,,"Shivaani, MV",,,,,,fxm200017,mv shivanni,Introductory Financial Accounting 
ACCT,2301,008,24,7,10,6,3,4,4,2,,1,,1,3,,,,1,,"Huang, Junfan","Lipinski, Alisa A",,,,,jxh230025,junfan huang,Introductory Financial Accounting 
ACCT,2301,009,7,6,7,8,8,6,8,2,1,2,1,1,1,,,,1,,"Siano, Federico","Nguyen, Mary M",,,,,fxs220013,federico siano,Introductory Financial Accounting 
ACCT,2301,010,6,11,7,3,8,9,6,11,,,1,1,3,,,,1,,"Huang, Ying","Tazhibayev, Galymzhan",,,,,yxh124430,ying huang,Introductory Financial Accounting 
ACCT,2301,011,8,7,7,8,7,4,2,3,4,4,,2,2,,,,1,,"Siano, Federico","Nguyen, Mary M",,,,,fxs220013,federico siano,Introductory Financial Accounting 
ACCT,2301,012,26,11,8,5,1,3,4,3,,1,1,,2,,,,,,"Huang, Junfan","Lipinski, Alisa A",,,,,jxh230025,junfan huang,Introductory Financial Accounting 
ACCT,2301,013,9,10,4,6,6,1,5,3,1,3,3,2,4,,,,4,,"Kobilov, Botir","Zhang, Ye",,,,,bxk240018,botir kobilov,Introductory Financial Accounting 
ACCT,2301,014,9,6,8,13,5,3,6,,3,3,1,1,1,,,,1,,"Siano, Federico","Nguyen, Mary M",,,,,fxs220013,federico siano,Introductory Financial Accounting 
ACCT,2301,501,3,2,3,4,5,5,2,4,3,3,2,,1,,,,2,,"Zhou, Junfei",,,,,,jxz190034,,Introductory Financial Accounting 
