Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ARTS,4308,001,,3,2,,1,,,,,,1,,2,,"Durant, Stephanie D",,,,,,ddm043000,,Image Text 
CHIN,2311,001,5,1,1,,,1,,,,,1,,,,"Chen, Bei",,,,,,bxc152730,bei chen,Intermediate Chinese I 
COMD,7309,001,,6,,1,2,,,,,,,,,,"Hart, John",,,,,,jxh057100,,Neural Correlates of Human Cognition  Lesion-Deficit Models 
ECON,6352,501,,2,4,,,1,,2,,,,,,,"Dumas, Lloyd",,,,,,ljdumas,lloyd dumas,World Political Economy 
EEDG,6302,302,,1,1,1,1,1,4,,,,,,,,"Bennett, Terrell R","Birjandtalab Golkhatm, Javad","Wang, Xianan",,,,trb052000,terrell bennett,Microprocessor Systems 
MIS,6204,CW1,,3,,2,2,1,,1,,,,,,,"Hefley, William E",,,,,,weh150130,william hefley,
MUSI,4322,001,,7,,,1,2,,,,,,,,,"Evans, Kathryn C",,,,,,kcevans,kathryn evans,Vocal Instruction III 
CE,3110,103,1,5,,2,1,,,1,,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
CE,4390,001,1,,,2,2,,2,1,2,,,,,,"Nguyen, Nhut","Ozarslan, Omer F","Tran, Trung Hieu",,,,nhutnn,nhut nguyen,Computer Networks 
CS,6301,005,,10,,,,,,,,,,,,,"Thuraisingham, Bhavani","Belavadi, Vibha Chandramouli",,,,,bxt043000,bhavani thuraisingham,Special Topics in Computer Science 
EPPS,6302,001,,8,,,2,,,,,,,,,,"Ho, Karl","Li, Xiao",,,,,kxh022100,karl ho,Methods of Data Collection and Production 
EPPS,6311,001,,5,3,,1,,,,,,,,1,,"Fass, Simon",,,,,,fass,simon fass,Research Practice in the Social Sciences 
MIS,6346,002,,7,3,,,,,,,,,,,,"Henslee, Austin","Shankar, Santhosh",,,,,axh134230,austin henslee,Big Data 
REAL,3365,001,,,2,2,3,,1,1,,1,,,,,"DeCourcy, George A",,,,,,gad075000,george decourcy,Real Estate Finance and Principles 
BIOL,3102,008,,4,,1,1,2,2,,,,,,,,"Kim, Jung-Whan","Dahl, Haley C","Thomas-Jardin, Shayna E",,,,jxk132330,jung whan (jay) kim,Eukaryotic Molecular and Cell Biology Workshop 
BIOL,5376,501,,1,2,2,3,2,,,,,,,,,"Xuan, Zhenyu","Levene, Stephen",,,,,zxx091000,,Applied Bioinformatics 
STAT,6331,501,,5,2,1,2,,,,,,,,,,"Efromovich, Sam",,,,,,sxe062000,sam efromovich,Statistical Inference I 
DANC,2332,001,3,6,1,,,,,,,,,,,,"Saba, Monica",,,,,,msaba,monica saba,Modern Dance 1 
CE,3345,502,1,1,1,,5,,,2,,,,,,,"Khan, Ziaullah","Li, Fang",,,,,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
GISC,6382,001,,2,2,3,1,2,,,,,,,,,"Gearey, Wayne",,,,,,wxg130930,wayne gearey,Applied Geographic Information Systems 
ACCT,6320,0W1,,6,2,1,1,,,,,,,,,,"Cavusoglu, Huseyin","Pham, Trang T",,,,,huseyin,huseyin cavusoglu,Database Foundations 
MIS,6375,0W1,,4,4,,1,1,,,,,,,,,"Bochsler, Daniel C",,,,,,dcb091000,daniel bochsler,Technology and New Product Development 
EE,3120,103,,7,,,1,,,1,,,1,,,,"Zhou, Dian","Si, Qilin",,,,,zhoud,dian zhou,Digital Circuits Laboratory 
BUAN,6345,0W1,,3,4,1,2,,,,,,,,,,"Saeed, Kashif","Kumari, Riti",,,,,kxs147230,kashif saeed,High Performance Analytics 
MUSI,3342,001,7,3,,,,,,,,,,,,,"Mcvay, Michael",,,,,,mjm031000,michael mcvay,Advanced Topics in Music 
ACCT,6305,0W1,,4,2,1,,1,,1,,,,,1,,"Janakiraman, Surya","He, Jiapeng",,,,,suryaj,surya janakiraman,Accounting for Managers 
ARTS,3369,001,,9,,,1,,,,,,,,,,"Tady, Lorraine T",,,,,,ltt042000,lorraine tady,Intermediate Painting 
MUSI,3122,001,,10,,,,,,,,,,,,,"Salisbury, Linda J",,,,,,ljs130230,linda salisbury,Brass Ensemble I 
THEA,1352,501,4,,5,,1,,,,,,,,,,"Hennigan, Edward B",,,,,,ebh062000,edward hennigan,Acting 2 
ATCM,4397,002,,10,,,,,,,,,,,,,"Salter, Monika",,,,,,mxs176131,monika salter,Senior Seminar 
ATCM,6310,001,,3,3,2,1,1,,,,,,,,,"McComber, Sean",,,,,,sxm129130,sean mccomber,Animation Studio I 
COMD,5344,001,,10,,,,,,,,,,,,,"Powers, Katharine A","Evans, Delaney L",,,,,kap130730,katharine powers,Anatomy and Physiology of Speech and Hearing 
BMEN,4388,001,,3,5,1,1,,,,,,,,,,"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,,twp017000,todd polk,Senior Design Project I 
BMEN,4388,002,1,2,3,3,1,,,,,,,,,,"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,,twp017000,todd polk,Senior Design Project I 
BMEN,4388,003,,1,5,3,1,,,,,,,,,,"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,,twp017000,todd polk,Senior Design Project I 
BMEN,6315,001,,4,2,4,,,,,,,,,,,"Auciello, Orlando H",,,,,,oha120030,orlando auciello,Advanced Biomaterials Technologies and Applications to Medical Devices 
CE,3120,103,,7,,,3,,,,,,,,,,"Zhou, Dian","Si, Qilin",,,,,zhoud,dian zhou,Digital Circuits Laboratory 
CE,3354,0W2,,1,3,3,2,1,,,,,,,,,"Straach, Janell","Zeng, Wenxi","Maweu, Barbara M",,,,jxs017800,janell straach,Software Engineering 
EE,3120,102,,9,,,,,,,,,,,1,,"Zhou, Dian","Wang, Yifan",,,,,zhoud,dian zhou,Digital Circuits Laboratory 
EE,3120,106,,9,,,1,,,,,,,,,,"Skinner, Neal G","Goswami, Pingakshya",,,,,skinner,neal skinner,Digital Circuits Laboratory 
SE,3162,052,,8,,,,1,,,1,,,,,,"Smith, Klyne",,,,,,kxs180052,klyne smith,Professional Responsibility in Computer Science and Software Engineering 
SE,3354,003,,2,1,2,1,1,,1,,2,,,,,"Wei, Shiyi","Mordahl, Austin S","Vellingiri, Shanthi",,,,sxw174630,shiyi wei,Software Engineering 
SYSM,6310,SS1,,10,,,,,,,,,,,,,"Wong, Weichen E",,,,,,wew021000,weichen wong,
PA,3379,001,6,3,,,,,,1,,,,,,,"Arguelles, Ariel",,,,,,axa152731,ariel arguelles,Diversity in the Public Sector 
AMS,4379,001,1,,2,1,4,,,1,,,,,1,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,Special Topics in American Studies 
ED,4343,501,1,8,,1,,,,,,,,,,,"Friedman, Meredith K",,,,,,mxk116530,meredith friedman,Science Methods for Grades EC - 6 
ED,4344,502,,,6,1,1,,,,,,,,2,,"Huisman, Ingrid",,,,,,ibh013000,ingrid huisman,Mathematics Methods for Elementary Teachers 
BA,4V00,002,,10,,,,,,,,,,,,,"Lewin, Peter",,,,,,plewin,peter lewin,Special Topics 
FERM,6305,FS1,,8,,2,,,,,,,,,,,"Song, Kaisheng",,,,,,,kaisheng song,
FERM,6310,FS1,,3,2,4,1,,,,,,,,,,"Scott, James A",,,,,,jas076100,james scott,
MECO,6312,002,,2,3,1,4,,,,,,,,,,"Zentner, Alejandro","Rupp, Anin D",,,,,axz051000,alejandro zentner,Applied Econometrics and Time Series Analysis 
MECO,6352,0W1,,7,,3,,,,,,,,,,,"Ziegler, Laurie","Lu, Xi",,,,,ziegler,laurie ziegler,Financial Negotiation and Dispute Resolution 
OPRE,6390,501,,10,,,,,,,,,,,,,"Thompson, Luell O","Pearam, Swetha S",,,,,lot013000,luell thompson,Enterprise Resource Planning 
REAL,3305,001,,1,,,2,1,,3,,,2,,1,,"Guttery, Randall","Zhao, Yabo",,,,,rxg112530,randall guttery,Real Estate Principles 
GEOS,3304,001,1,3,1,,1,,1,2,,,,,1,,"Shah, Muna",,,,,,mxs137630,,Principles of Geospatial Information Sciences 
MATH,6325,501,,5,2,3,,,,,,,,,,,"Krawcewicz, Wieslaw Z",,,,,,wzk091000,wieslaw krawcewicz,Nonlinear Analysis I 
MILS,180,101,,10,,,,,,,,,,,,,,,,,,,,,
COMD,7V82,001,,8,,2,,,,,,,,,,,"Goffman, Lisa A",,,,,,lag160930,,Special Topics in Communication Disorders 
PHYS,4V11,001,,7,2,,1,,,,,,,,,,"Zhang, Chuanwei",,,,,,cxz124830,chuanwei zhang,Topics in Physics 
ATCM,3320,001,2,1,1,2,1,2,1,,,,,,,,"Llamas Rodriguez, Juan A",,,,,,jal171330,juan rodriguez,Critical Media Theories 
COMD,7336,001,,10,,,,,,,,,,,,,"Rollins, Pamela R",,,,,,rollins,pam rollins,Social Communication in Early Childhood Disorders 
PA,7305,001,,4,5,1,,,,,,,,,,,"Kiel, Lowell D",,,,,,dkiel,,Leadership and Change in Public and Nonprofit Organizations 
OPRE,6301,CW1,,3,4,1,,2,,,,,,,,,"Kim, Dohyeong",,,,,,dxk132530,dohyeong kim,
HDCD,6315,002,,7,4,,,,,,,,,,,,"Ewing, Donna M",,,,,,dme061000,donna ewing,Assessment Theory 
PSY,3362,001,,3,1,1,2,1,,1,,,1,,1,,"Mills, Candice M","Zhao, Yuguang",,,,,cxm056000,candice mills,Cognitive Development 
CS,6367,001,,4,5,2,,,,,,,,,,,"Wong, Weichen E",,,,,,wew021000,weichen wong,Software Testing  Validation and Verification 
EE,3110,101,3,6,,1,,,,,1,,,,,,"Lee, Jeong-Bong","Liu, Jinbo",,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
EE,3110,103,3,3,,,1,,1,1,2,,,,,,"Lee, Jeong-Bong","Choi, Ye I",,,,,jblee,jeong bong lee,Electronic Devices Laboratory 
EPCS,3100,001,,4,1,1,4,,,,,,1,,,,"Gans, Nicholas R",,,,,,nrg092000,nicholas gans,Engineering Project in Community Service II 
MSEN,5300,501,,5,3,1,1,1,,,,,,,,,"Kim, Jiyoung",,,,,,jxk041000,,Introduction to Materials Science 
SE,3340,002,,1,,,5,,,1,,,,,4,,"Goodrum, Richard A","Tran, Trung Hieu","Shahbazi, Nima",,,,rag150330,richard goodrum,Computer Architecture 
SE,3341,001,2,1,1,2,,,,,2,1,,1,1,,"Whalen, Tristan G","Thompson, Patrick A",,,,,tgw100020,tristan whalen,Probability and Statistics in Computer Science and Software Engineering 
AMS,4305,501,,3,,4,2,2,,,,,,,,,"Cotton, Scott C",,,,,,sxc024200,scott cotton,World History for Teachers 
MATH,3305,501,,9,1,,1,,,,,,,,,,"Andreescu, Titu",,,,,,txa051000,titu andreescu,Foundations of Measurement and Informal Geometry 
CS,6301,008,,6,5,,,,,,,,,,,,"Hao, Shuang",,,,,,sxh178730,shuang hao,Special Topics in Computer Science 
SE,3340,001,,1,,3,1,3,2,,,,,,1,,"Nguyen, Nhut",,,,,,nhutnn,nhut nguyen,Computer Architecture 
ECON,6332,001,,7,1,2,1,,,,,,,,,,"Andrews, Rodney J",,,,,,rja091000,rodney andrews,Labor Economics II 
ED,4359,0W1,1,4,1,1,1,,,,,,1,,2,,"Root, Alexey",,,,,,aroot,alexey root,Chess II  Institutional and Cultural Contexts of Chess 
RMIS,3370,001,2,3,2,1,,2,,,1,,,,,,"Richardson, Debra L",,,,,,dlr150330,debra richardson,Principles of Risk Management and Insurance 
HUMA,6300,501,,3,6,,2,,,,,,,,,,"Rodriguez, Robert X",,,,,,rxr014610,robert rodriguez,Interdisciplinary Approaches to the Arts and Humanities 
HONS,3199,HN4,,7,3,1,,,,,,,,,,,"Wickberg, Daniel",,,,,,wickberg,daniel wickberg,Collegium V Honors Readings 
BCOM,3310,008,4,3,1,,1,1,1,,,,,,,,"Marchant, Joe T",,,,,,jtm014200,joe marchant,Business Communication 
