Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,4342,PP1,7,4,6,4,1,1,,1,,,,,,,,,,0,"Johnson, Jennifer G","Fisch, Jacob D",,,,,jxj091000,jennifer johnson,
ACCT,4342,PP2,10,8,9,6,2,,,,,,,,,,,,,0,"Johnson, Jennifer G","Fisch, Jacob D",,,,,jxj091000,jennifer johnson,
ACCT,4342,501,6,9,7,4,3,4,6,4,2,2,,,3,,,,,0,"Johnson, Jennifer G","Fisch, Jacob D",,,,,jxj091000,jennifer johnson,Accounting Information Systems and Financial Reporting 
ACCT,6193,SS1,,32,,,45,,,1,,,,,1,,,,,0,"Betanzos, Christina L","Solcher, Steven J",,,,,clb120030,christina betanzos,
ACCT,6202,GW1,,18,4,,2,,,,,,,,,,,,,0,"Sadka, Gil","Holstead, Cameron",,,,,gxs143630,gil sadka,
ACCT,6202,XS1,,17,4,1,1,,,,,,,,,,,,,1,"Sadka, Gil","Holstead, Cameron",,,,,gxs143630,gil sadka,
ACCT,6202,501,,13,4,9,8,1,,1,,,,,,,,,,2,"Goodrich, Mary Beth W","Quinto, Christine D",,,,,goodrich,mary beth goodrich,Accounting for Managerial Decision Making and Control 
ACCT,6202,MBC,,26,8,4,3,1,,,,,,,,,,,,0,"Goodrich, Mary Beth W","Quinto, Christine D","Zhang, Ye",,,,goodrich,mary beth goodrich,
ACCT,6291,SS1,,29,,,44,,,5,,,,,,,,,,1,"Zolton, Kathy",,,,,,kxz121730,kathy zolton,
ACCT,6292,SS1,,38,,,33,,,6,,,,,,,,,,0,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt,
ACCT,6301,5W1,,28,11,4,4,,,,,,,,,,,,1,0,"Solcher, Steven J","Estevan, Ellery B",,,,,sjs107020,steven solcher,Financial Accounting 
ACCT,6301,CH1,,22,1,,,,,,,,,,,,,,,0,"Barden, John P",,,,,,jpb063000,john barden,
ACCT,6301,501,,17,28,12,6,2,,,,,,,,,,,,0,"Frost, Sandra M","Gonzalez, Jacob E",,,,,sms151730,sandra frost,Financial Accounting 
ACCT,6305,1,,6,5,4,21,4,,3,,,,,,,,,,0,"Loumioti, Maria","He, Jiapeng",,,,,mxl175830,maria loumioti,Accounting for Managers 
ACCT,6305,2,,10,8,12,21,1,,2,,,,,,,,,,1,"Loumioti, Maria","He, Jiapeng",,,,,mxl175830,maria loumioti,Accounting for Managers 
ACCT,6305,501,,6,10,13,23,,,1,,,,,4,,,,,0,"Loumioti, Maria","He, Jiapeng",,,,,mxl175830,maria loumioti,Accounting for Managers 
ACCT,6313,0W1,,7,1,2,1,1,1,,,,,,,,,,,0,"Cavusoglu, Huseyin","Padhiar, Meet Vinod",,,,,huseyin,huseyin cavusoglu,Cybersecurity Fundamentals 
ACCT,6320,0W1,,2,4,2,,1,1,,,,,,1,,,,,1,"Cavusoglu, Huseyin","Zhu, Yan",,,,,huseyin,huseyin cavusoglu,Database Foundations 
ACCT,6330,501,,8,,1,3,,,3,,,,,1,,,,,0,"Cready, William M","Zhou, Junfei",,,,,wmc041000,william cready,Intermediate Financial Accounting I 
ACCT,6331,501,,3,4,4,2,,,2,,,,,2,,,,,0,"Janakiraman, Surya N","Parupati, Sunil K",,,,,suryaj,surya janakiraman,Cost Accounting  Foundations and Evolutions 
ACCT,6332,501,,6,,,5,,,5,,,,,2,,,,,2,"Zolton, Kathy","Huang, Ziqi",,,,,kxz121730,kathy zolton,Intermediate Financial Accounting II 
ACCT,6333,501,,14,,,9,,,7,,,,,4,,,,,2,"Zolton, Kathy","Huang, Ziqi",,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
ACCT,6334,501,,10,,,3,1,,1,,,,,,,,,,0,"Linsteadt, Chris C","Gotham, Albert J",,,,,ccl019000,chris linsteadt,Auditing 
