Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BIOL,3361,1,6,9,5,5,6,7,7,4,7,3,3,2,14,,,,,1,"Jia, Lin","Boyd, Stefanie D",,,,,lxj200008,lin jia,Biochemistry I 
BIOL,3362,1,6,21,25,32,35,26,22,15,10,3,3,2,,,,,,2,"Candas, Mehmet","Reitzer, Lawrence J","Petter, Andrew T","Sunder Singh, Jacqulene Preethi","Soladogun, Adedamola S",,candas,mehmet candas,Biochemistry II 
BIOL,3370,1,16,5,3,2,2,,2,,2,,,1,3,,,,,0,"Wu, Zhuoru","Tiwari, Suman",,,,,zxw190014,,Exercise Physiology 
BIOL,3380,302,1,4,7,2,2,2,,,,2,1,,,,,,,1,"Rippel, Scott A","Falah, Rafah M",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,304,7,2,3,2,1,,4,1,,,1,1,,,,,,0,"Maynard, Caitlin S","Rappazzo, Jacob M",,,,,cmb170830,,Biochemistry Laboratory 
BIOL,3380,306,1,2,5,2,3,3,1,,1,,1,2,1,,,,,0,"Maynard, Caitlin S","Rappazzo, Jacob M",,,,,cmb170830,,Biochemistry Laboratory 
BIOL,3380,307,5,6,1,,3,,1,,2,,1,,2,,,,,1,"Rippel, Scott A","Zhi, Jiahe",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,309,2,1,2,1,3,6,2,,2,,1,,2,,,,,0,"Pan, Jing","Liu, Yihan",,,,,jxp134330,jing pan,Biochemistry Laboratory 
BIOL,3380,310,7,2,4,2,1,,3,2,,,1,,,,,,,0,"Maynard, Caitlin S","Zhi, Jiahe",,,,,cmb170830,,Biochemistry Laboratory 
BIOL,3380,305,,1,1,3,1,2,1,1,,,,3,,,,,,1,"Pan, Jing","Mazambani, Simbarashe",,,,,jxp134330,jing pan,Biochemistry Laboratory 
BIOL,3380,301,,2,3,3,,1,,1,2,1,2,,1,,,,,0,"Pan, Jing","Mazambani, Simbarashe",,,,,jxp134330,jing pan,Biochemistry Laboratory 
BIOL,3380,303,1,3,1,2,2,2,2,1,1,,,2,1,,,,,0,"Rippel, Scott A","Falah, Rafah M",,,,,rippel,scott rippel,Biochemistry Laboratory 
BIOL,3380,311,4,2,4,3,,4,1,1,1,1,,,,,,,,0,"Pan, Jing","Liu, Yihan",,,,,jxp134330,jing pan,Biochemistry Laboratory 
BIOL,3385,1,,11,2,1,5,,,5,,,3,,,,,,,0,"Murchison, David F",,,,,,dfm100020,david murchison,Medical Histology 
BIOL,3388,1,5,3,5,3,4,3,,1,2,2,,,,,,,,1,"Rippel, Scott A",,,,,,rippel,scott rippel,Honey Bee Biology 
BIOL,3455,801,8,3,4,1,2,1,1,2,3,,1,3,6,,,,,1,"Wu, Zhuoru","Ramirez, Ruben D","Gong, Hanling","Xu, Linyi",,,zxw190014,,Human Anatomy and Physiology with Lab I 
BIOL,3455,306,,,,1,1,1,,1,,1,4,,2,,,,,0,"Padmanabhan, Ramesh","Ramirez, Ruben D",,,,,rxp104120,ramesh padmanabhan,Human Anatomy and Physiology with Lab I 
BIOL,3455,305,1,,1,2,,,2,4,2,,2,1,1,,,,,0,"Padmanabhan, Ramesh","Ramirez, Ruben D",,,,,rxp104120,ramesh padmanabhan,Human Anatomy and Physiology with Lab I 
BIOL,3455,301,,,3,,,2,,4,1,2,1,,4,,,,,0,"Maitra, Meenakshi","Ramirez, Ruben D","Deese, Alexander R","Maity, Tuhina","Veera, Kavya",,mxm172731,meenakshi maitra,Human Anatomy and Physiology with Lab I 
BIOL,3455,307,,1,1,1,4,2,,,1,,2,,3,,,,1,1,"Maitra, Meenakshi","Ramirez, Ruben D",,,,,mxm172731,meenakshi maitra,Human Anatomy and Physiology with Lab I 
BIOL,3455,304,1,1,,1,1,3,4,5,1,2,1,1,7,,,,,0,"Maitra, Meenakshi","Ramirez, Ruben D",,,,,mxm172731,meenakshi maitra,Human Anatomy and Physiology with Lab I 
BIOL,3455,802,3,2,1,1,,4,2,3,3,1,,2,4,,,,,3,"Sarcar, Subha","Ramirez, Ruben D","Gong, Hanling",,,,sns064000,subha sarcar,Human Anatomy and Physiology with Lab I 
BIOL,3455,303,5,2,2,5,4,1,3,,2,1,,,7,,,,,0,"Wu, Zhuoru","Ramirez, Ruben D","Deese, Alexander R","Xu, Linyi",,,zxw190014,,Human Anatomy and Physiology with Lab I 
BIOL,3455,302,1,1,5,3,3,4,3,2,1,3,2,4,1,,,,,1,"Maitra, Meenakshi","Ramirez, Ruben D","Deese, Alexander R",,,,mxm172731,meenakshi maitra,Human Anatomy and Physiology with Lab I 
BIOL,3456,303,1,1,,4,4,3,1,1,,,,,1,,,,,0,"Sarcar, Subha","Yu, Wen-Ho","Balaji, Sharan Kumar",,,,sns064000,subha sarcar,Human Anatomy and Physiology with Lab II 
BIOL,3456,801,3,,2,1,1,1,3,3,,1,1,1,3,,,,,0,"Sarcar, Subha","Yu, Wen-Ho","Yaqub, Muneer O",,,,sns064000,subha sarcar,Human Anatomy and Physiology with Lab II 
BIOL,3456,305,1,5,4,4,2,4,1,3,,,1,,2,,,,,0,"Yu, Wen-Ho","Balaji, Sharan Kumar","Zhang, Nan",,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3456,304,6,4,5,5,2,2,1,2,1,2,,,1,,,,,0,"Yu, Wen-Ho","Balaji, Sharan Kumar","Zhang, Nan",,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3456,301,6,7,8,3,4,1,3,,1,,,,,,,,,0,"Yu, Wen-Ho","Balaji, Sharan Kumar","Zhang, Nan",,,,why061000,wen ho yu,Human Anatomy and Physiology with Lab II 
BIOL,3456,302,2,6,6,5,5,3,1,1,1,2,,,1,,,,,0,"Sarcar, Subha","Yu, Wen-Ho","Yaqub, Muneer O",,,,sns064000,subha sarcar,Human Anatomy and Physiology with Lab II 
BIOL,3520,301,3,7,5,4,4,1,,,,,,,,,,,,0,"Mehta, Iti","Dahl, Haley C","Bonde, Namrata Dinesh","Palmer, Kelli L",,,ixm121430,iti mehta,General Microbiology with Lab 
BIOL,4308,1,8,7,3,2,1,3,1,1,2,,,1,,,,,,0,"Maynard, Caitlin S",,,,,,cmb170830,,Developmental Biology 
BIOL,4310,1,5,10,16,23,12,12,7,7,2,2,,1,1,,,,,1,"Candas, Mehmet",,,,,,candas,mehmet candas,Cellular Microbiology 
BIOL,4330,1,4,10,,,,,,,1,,,,,,,,,0,"Zhang, Li","Berisha, Eranda","Salamat, Narges",,,,lxz075000,li zhang,Advanced Research in Molecular and Cell Biology 
BIOL,4345,1,,55,8,7,5,3,1,1,1,1,2,,2,,,,,1,"Wilson, Michelle M","Dong, Xintong","Ratevosyan, Richard","Zhabilov, Dannie",,,mxw084000,michelle wilson,Immunobiology 
BIOL,4350,501,,1,1,2,3,3,5,5,2,4,2,,5,,,,,1,"Ramirez, Ruben D",,,,,,rdr092000,ruben ramirez,Medical Microbiology 
BIOL,4357,1,17,4,3,3,,,,,,,,,,,,,,0,"Srikanth, Uma","Sapkota, Darshan","Shi, Zhan",,,,ukrish,uma srikanth,Molecular Neuropathology II 
BIOL,4360,1,6,5,2,1,2,,,,,,,,,,,,,0,"Pickett, Elizabeth A",,,,,,eaw016100,elizabeth pickett,Evolution and Development 
BIOL,4380,302,13,5,,2,1,,1,1,,,,,,,,,,0,"Sadat, Eva L","Zhang, Bei",,,,,exs190014,eva sadat,Cell and Molecular Biology Laboratory 
BIOL,4380,305,7,12,3,,,,,,1,,,,,,,,,0,"Huang, Yi","Sadat, Eva L","Dhar, Roopal",,,,yxh220019,yi huang,Cell and Molecular Biology Laboratory 
BIOL,4380,307,13,3,2,4,1,,,,,,,,,,,,,0,"Sadat, Eva L","Joshi, Ketki",,,,,exs190014,eva sadat,Cell and Molecular Biology Laboratory 
BIOL,4380,308,6,2,3,3,3,1,1,,,,,,,,,,,0,"Sadat, Eva L",,,,,,exs190014,eva sadat,Cell and Molecular Biology Laboratory 
BIOL,4380,303,5,2,6,2,1,2,1,,,,,,1,,,,,0,"Sadat, Eva L","Konakalla, Anisha Reddy",,,,,exs190014,eva sadat,Cell and Molecular Biology Laboratory 
BIOL,4380,301,11,5,1,2,,1,1,1,,,,,,,,,,0,"Sadat, Eva L",,,,,,exs190014,eva sadat,Cell and Molecular Biology Laboratory 
BIOL,4380,304,13,2,6,1,,,,,,,,,,,,,,0,"Huang, Yi","Sadat, Eva L","Shryock, Douglas G",,,,yxh220019,yi huang,Cell and Molecular Biology Laboratory 
BIOL,4380,306,11,6,4,,1,,,,,,,,,,,,,0,"Huang, Yi","Sadat, Eva L",,,,,yxh220019,yi huang,Cell and Molecular Biology Laboratory 
BIOL,4385,1,,13,3,1,6,1,1,3,2,,2,,,,,,,1,"Murchison, David F",,,,,,dfm100020,david murchison,Oral Histology and Embryology 
BIOL,4461,1,2,8,2,,10,,3,5,1,,3,,2,,,,,0,"Winkler, Duane D",,,,,,ddw130330,duane winkler,Biophysical Chemistry 
BIOL,5381,1,,34,,,6,,,2,,,,,,,,,,0,"Kim, Tae Hoon","Buyukkahraman, Gozde",,,,,txk142630,,Genomics 
BIOL,5410,1,,25,7,5,1,2,,1,,,,,,,,,,0,"DeNisco, Nicole J","Dillon, Nicholas","Cornelius, Samuel A",,,,njd160330,nicole de nisco,Biochemistry 
BIOL,5440,1,,10,6,12,8,,,,,,,,,,,,,0,"Delk, Nikki A",,,,,,nad140230,nikki delk,Cell Biology 
BIOL,6252,1,,,,,,,,,,,,,,11,,,,0,"Palmer, Kelli L","Xuan, Zhenyu","Kim, Tae Hoon",,,,txk142630,,Current Research in Molecular Biology 
BIOL,6385,1,,2,4,,1,1,,2,,,,,,,,,,1,"Zhang, Michael Q","Chen, Xingyu",,,,,mqz091000,michael zhang,Computational Biology 
BIOL,3V00,1,25,11,2,4,,1,,,,,,,1,,,,,0,"Sarcar, Subha","Dao, Alex",,,,,sns064000,subha sarcar,Topics in Biological Sciences 
BIOL,4V00,1,3,2,5,,,,,,,,,,,,,,,0,"Sanchez, Erica L",,,,,,exs220022,erica sanchez,Special Topics in Biology 
BIOL,6V02,1,,,,,,,,,,,,,,24,,,,0,"Jia, Lin",,,,,,lxj200008,lin jia,The Art of Scientific Presentation 
BIOL,6V29,1,,22,,,,,,,,,,,,,,,,0,"Palmer, Kelli L",,,,,,klp120030,kelli palmer,Topics in Molecular Biology 
BIS,2190,0W1,9,9,1,,,1,1,2,,,1,,,,,1,,2,"Dornback, Sarah","Edwards, Christopher W",,,,,sxd220144,sarah dornback,Library Research Skills 
BIS,2190,0W2,5,6,5,2,3,5,,1,,1,,,,,,,,0,"Dornback, Sarah","Henry, Loreen S",,,,,sxd220144,sarah dornback,Library Research Skills 
BIS,2190,0W3,9,12,4,3,,,,,1,,,,,,,,,0,"Henry, Loreen S","Dornback, Sarah",,,,,lsp014100,,Library Research Skills 
BIS,3320,0W2,,,1,1,1,2,,,,1,,,4,,,,,4,"Hudson, Jennifer M",,,,,,jxh100220,jennifer hudson,The Nature of Intellectual Inquiry 
BIS,3320,2,,3,5,,2,2,1,1,1,,2,,3,,,,,2,"Pogue, Neall W",,,,,,nxp174730,neall pogue,The Nature of Intellectual Inquiry 
BIS,3320,501,1,7,2,4,3,1,1,1,2,,,,,,,,,0,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BIS,3320,1,,1,4,3,7,1,3,1,1,,,,4,,,,,2,"Pogue, Neall W",,,,,,nxp174730,neall pogue,The Nature of Intellectual Inquiry 
BIS,3320,0W1,,2,1,2,,,3,3,1,,,1,8,,,,,8,"Hudson, Jennifer M",,,,,,jxh100220,jennifer hudson,The Nature of Intellectual Inquiry 
BIS,3320,3,7,13,6,2,2,,2,,,,,,,,,,,1,"Wright, David A",,,,,,wright,david wright,The Nature of Intellectual Inquiry 
BIS,4306,0W1,1,3,1,5,1,1,,2,1,,1,,3,,,,,2,"Simpson, Carrie M",,,,,,cms131030,carrie simpson,Strategies for Diversity in Education 
BLAW,2301,5,1,11,14,9,10,6,9,2,2,1,,,,,,,,0,"Sutton, Walter L","Gonzalez, Jacob E",,,,,wls015100,walter sutton,Business and Public Law 
BLAW,2301,1,,35,6,11,40,6,8,9,,3,2,,,,,,,0,"Polze, Matthew M",,,,,,mmp062000,matthew polze,Business and Public Law 
BLAW,2301,2,,45,10,7,28,11,12,6,1,,,,,,,,,0,"Polze, Matthew M",,,,,,mmp062000,matthew polze,Business and Public Law 
BLAW,2301,3,,45,3,11,35,15,8,1,1,1,,,,,,,,0,"Polze, Matthew M",,,,,,mmp062000,matthew polze,Business and Public Law 
BLAW,2301,4,24,12,3,4,13,10,6,7,3,1,,,,,,,,1,"Gamino, John P",,,,,,jpg140630,john gamino,Business and Public Law 
BLAW,2301,502,,14,6,10,10,9,7,9,5,,4,,12,,,,,1,"Betanzos, Christina L","Huang, Ziqi",,,,,clb120030,christina betanzos,Business and Public Law 
BLAW,2301,501,,18,11,9,10,10,10,9,8,,6,,6,,,,,1,"Betanzos, Christina L","Huang, Ziqi",,,,,clb120030,christina betanzos,Business and Public Law 
BLAW,4301,1,10,30,4,,,,,,,,,,1,,,,,1,"Molina, Stephen","Alborz, Shawn","Leal Valladares, Jorge A",,,,sxm163630,stephen molina,International Law 
BLAW,4310,HON,,26,,,,,,,,,,,,,,,,0,"Polze, Matthew M",,,,,,mmp062000,matthew polze,
BMEN,1208,301,2,6,1,2,4,1,1,2,,,,,,,,,,0,"Myers, Kathleen M","Nilavar, Anushree C","Wang, Miaomiao","Gautam, Anjila N",,,kxm156530,kathleen myers,Introduction to Bioengineering II 
BMEN,1208,302,,4,5,4,4,,1,,,,,,1,,,,,0,"Myers, Kathleen M","Nilavar, Anushree C","Wang, Miaomiao","Gautam, Anjila N",,,kxm156530,kathleen myers,Introduction to Bioengineering II 
BMEN,1208,3L1,2,2,4,1,,2,,,,,,,2,,,,,0,"Myers, Kathleen M","Nilavar, Anushree C","Wang, Miaomiao","Gautam, Anjila N",,,kxm156530,kathleen myers,Introduction to Bioengineering II 
BMEN,1208,303,4,1,6,2,,1,,,,,,,2,,,,,0,"Meyer, Clark A","Gautam, Anjila N","Wang, Miaomiao","Nilavar, Anushree C",,,cam140130,clark meyer,Introduction to Bioengineering II 
BMEN,1208,304,9,2,3,2,1,,1,,,,,,1,,,,,0,"Meyer, Clark A","Gautam, Anjila N","Wang, Miaomiao","Nilavar, Anushree C",,,cam140130,clark meyer,Introduction to Bioengineering II 
BMEN,1208,305,8,1,5,5,1,1,1,,,,,,,,,,,0,"Meyer, Clark A","Gautam, Anjila N","Wang, Miaomiao","Nilavar, Anushree C",,,cam140130,clark meyer,Introduction to Bioengineering II 
BMEN,1300,1,12,2,,3,4,,2,2,3,,,,1,,,,,0,"Ardestani Khoubrouy, Soudeh","Langmia, Belten L","Balaji, Kavya S",,,,sxa074200,soudeh khoubrouy,Introduction to Biomedical Engineering Computing 
BMEN,1300,2,9,2,1,1,3,3,1,3,2,,1,,,,,,,3,"Ardestani Khoubrouy, Soudeh","Langmia, Belten L","Balaji, Kavya S",,,,sxa074200,soudeh khoubrouy,Introduction to Biomedical Engineering Computing 
BMEN,3200,102,,23,,,1,,,,,,,,,,,,,0,"Rivera, Christian","Kubo, Soto","Stout, Angeloh M",,,,cxr210008,christian rivera,Biomedical Engineering Fundamentals and Design 
BMEN,3200,103,,8,,,1,,,1,,,,,,,,,,1,"Rivera, Christian","Stout, Angeloh M","Kubo, Soto",,,,cxr210008,christian rivera,Biomedical Engineering Fundamentals and Design 
BMEN,3200,101,,18,,,,,,,,,,,,,,,,0,"Rivera, Christian","Kang, Gu Eon","Stout, Angeloh M","Kubo, Soto",,,cxr210008,christian rivera,Biomedical Engineering Fundamentals and Design 
BMEN,3220,101,,6,,5,,2,1,1,,,,,1,,,,,0,"Ali, Tariq M","Sukumar, Suhashine","Bhide, Vedashree Umesh",,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering Lab 
BMEN,3220,102,3,5,,1,1,,3,1,,,,,3,,,,,0,"Ali, Tariq M","Sukumar, Suhashine","Bhide, Vedashree Umesh",,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering Lab 
BMEN,3302,501,3,4,,4,4,2,2,3,2,1,2,2,2,,,,1,0,"Ardestani Khoubrouy, Soudeh","Ramasubramanya, Annapoorna H",,,,,sxa074200,soudeh khoubrouy,Bioengineering Signals and Systems 
BMEN,3310,1,2,1,3,1,2,2,,4,,,,,,,,,,0,"Rivera, Christian","Glick, Andrew V",,,,,cxr210008,christian rivera,Fluid Mechanics and Transport Processes in Biomedical Engineering 
BMEN,3315,1,1,9,,3,8,2,3,11,2,,,,2,,,,,0,"Cogan, Stuart","Ramirez, Lucero",,,,,sxc149830,stuart cogan,Thermodynamics and Physical Chemistry in Biomedical Engineering 
BMEN,3320,1,2,4,1,5,4,2,2,1,,,,,6,,,,,0,"Ali, Tariq M","Sukumar, Suhashine",,,,,tma051000,tariq ali,Electrical and Electronic Circuits in Biomedical Engineering 
BMEN,3325,1,9,3,3,1,,,1,1,,,,,4,,,,,0,"Brown, Katherine G","Saberigarakani, Alireza",,,,,kgb170130,,Advanced Computational Tools for Biomedical Engineering 
BMEN,3331,1,9,9,3,4,5,2,3,3,2,,1,,,,,,,0,"Good, Levi B","Chaudhary, Sugandha",,,,,lbg170030,levi good,Cell and Molecular Engineering 
BMEN,3332,1,,2,4,1,1,,,,1,,,,2,,,,,0,"Hays, Seth A",,,,,,sxh129730,seth hays,Quantitative Physiology for Engineers 
BMEN,3332,2,1,3,1,,4,2,1,2,1,,,,1,,,,,0,"Sirsi, Shashank R","Chaudhary, Sugandha",,,,,srs151630,shashank sirsi,Quantitative Physiology for Engineers 
BMEN,3341,1,3,3,4,2,2,1,1,,1,,,1,2,,,,,0,"Myers, Kathleen M","Shihabeddin, Tarik",,,,,kxm156530,kathleen myers,Probability Theory and Statistics for Biomedical Engineers 
BMEN,3341,2,2,6,3,4,,2,1,1,,1,,,,,,,,0,"Myers, Kathleen M","Shihabeddin, Tarik",,,,,kxm156530,kathleen myers,Probability Theory and Statistics for Biomedical Engineers 
BMEN,3380,1,4,7,3,5,6,2,,2,1,,,,,,,,,0,"Good, Levi B","Molaei Imenabadi, Rouzbeh",,,,,lbg170030,levi good,Medical Imaging Systems and Methods 
BMEN,3399,2,8,3,2,4,5,,,,1,,,,1,,,,,0,"Kang, Gu Eon","Waldon, Ke'Vaughn T","Glick, Andrew V",,,,gxk210018,,Introductory Biomechanics 
BMEN,3399,1,13,8,5,,2,2,1,1,2,3,,1,1,,,,,1,"Rivera, Christian","Glick, Andrew V","Waldon, Ke'Vaughn T",,,,cxr210008,christian rivera,Introductory Biomechanics 
BMEN,4301,1,19,15,1,,1,1,,1,1,,,,,,,,,0,"Porter, Benjamin A",,,,,,bap061000,benjamin porter,Introduction to Medical Device Development 
BMEN,4310,501,22,11,4,4,3,4,5,4,1,,1,1,1,,,,,0,"Ardestani Khoubrouy, Soudeh","Pathak, Priyansh",,,,,sxa074200,soudeh khoubrouy,Feedback Systems in Biomedical Engineering 
BMEN,4360,1,21,33,12,10,4,3,1,2,1,,,,1,,,,,0,"Rodrigues, Danieli B","Guha, Sumedha","Kulkarni, Nikhil",,,,dxb127430,danieli b c rodrigues,Biomaterials and Medical Devices 
BMEN,4370,1,8,4,1,3,,1,,,,,1,,,,,,,0,"Brown, Katherine G","Kodali, Mounika Sai",,,,,kgb170130,,Biomedical Image Processing 
BMEN,4389,1,,10,6,8,1,1,,,,,,,,,,,,0,"Polk, Todd W",,,,,,twp017000,todd polk,Senior Design Project II 
BMEN,4389,3,,8,8,2,7,1,,1,,,,,,,,,,0,"Polk, Todd W",,,,,,twp017000,todd polk,Senior Design Project II 
BMEN,4389,2,,3,1,6,2,2,1,,,,,,,,,,,0,"Polk, Todd W",,,,,,twp017000,todd polk,Senior Design Project II 
BMEN,6338,1,,12,8,1,2,1,,,,,,,,,,,,0,"Porter, Benjamin A",,,,,,bap061000,benjamin porter,Six Sigma Yellow Belt for Biomedical Engineers 
BMEN,6342,1,,16,3,,,,,,,,,,,,,,,0,"Rodrigues, Danieli B",,,,,,dxb127430,danieli b c rodrigues,Biomaterials and Medical Devices 
BMEN,6366,1,,13,2,,4,,,,,,,,,,,,3,0,"Sirsi, Shashank R",,,,,,srs151630,shashank sirsi,Image-Guided Drug Delivery 
BMEN,6374,1,,14,6,1,1,,,,,,,,,,,,,1,"Dingal, Polimyr Caesar Dave P",,,,,,ppd210003,,Genes  Proteins and Cell Biology for Engineers 
BMEN,6382,1,,5,4,1,1,,,,,,,,,,,,,0,"Bleris, Leonidas",,,,,,lxb092000,leonidas bleris,Systems Biology 
BMEN,6394,0H1,,8,,1,2,,,,,,,,,,,,,0,"Ding, Yichen",,,,,,yxd200010,yichen ding,Medical Imaging Techniques and Image Processing 
BMEN,7088,1,,,,,,,,,,,,,,25,,,,0,"Rivera, Christian",,,,,,cxr210008,christian rivera,Departmental Seminar in Biomedical Engineering 
BMEN,7188,1,,17,,,,,,,,,,,,,,,,0,"Rivera, Christian",,,,,,cxr210008,christian rivera,Advanced Seminars in Biomedical Engineering 
BMEN,8188,1,,9,7,,,,,,,,,,,,,,,0,"Good, Levi B",,,,,,lbg170030,levi good,Advanced Seminars in Biomedical Engineering III 
BMEN,4V95,1,2,8,,1,2,1,,,,,,,,,,,,0,"Jones, Caroline",,,,,,cxj200007,caroline jones,Undergraduate Topics in Biomedical Engineering 
BMEN,6V87,5,,12,1,,,,,,,,,,,,,,,0,"Hill, Roger J",,,,,,rjh220000,roger hill,Special Topics in Biomedical Engineering 
BPS,4305,3,3,4,10,,4,4,3,2,,3,1,,1,,,,,1,"Markoczi, Livia","Akkaladevi, Pooja",,,,,lxm055000,livia markoczy,Strategic Management 
BPS,4305,4,1,11,12,7,2,1,2,,,,,,,,,,,0,"Lee, Jennifer","Lee, Minjung",,,,,jxl220041,jennifer lee,Strategic Management 
BPS,4305,501,3,9,12,11,5,1,2,1,1,,,,,,,,,0,"Lee, Jennifer","Lee, Minjung",,,,,jxl220041,jennifer lee,Strategic Management 
BPS,4305,2,3,10,21,18,9,8,1,2,1,,,,,,,,,1,"Markoczi, Livia","Akkaladevi, Pooja",,,,,lxm055000,livia markoczy,Strategic Management 
BPS,4395,2,,6,8,10,11,11,5,,,,,,,,,,,0,"Segelhorst, Jon P",,,,,,jps210007,,Capstone Senior Project - Business 
BPS,4395,3,,45,,,10,,,,,,,,,,,,,0,"Parks, David",,,,,,dxp153830,david parks,Capstone Senior Project - Business 
BPS,4395,6,,43,,2,10,,,,,,,,,,,,,0,"Henderson, Thomas C",,,,,,txh093000,tom henderson,Capstone Senior Project - Business 
BPS,4395,502,36,14,5,,,,,,,,,,,,,,,0,"Pandey, Naresh K",,,,,,nkp210001,naresh pandey,Capstone Senior Project - Business 
BPS,4395,1,,9,24,11,6,1,,2,,,,,,,,,,0,"An, Constance",,,,,,cfa220003,constance an,Capstone Senior Project - Business 
BPS,4395,501,29,15,7,3,,,,,,,,,,,,,,0,"Kitamura, Yuko",,,,,,yxk210025,yuko kitamura,Capstone Senior Project - Business 
BPS,6310,0W2,,12,2,2,,,1,3,,,,,1,,,,,0,"Kaplan, Marilyn R",,,,,,mkaplan,marilyn kaplan,Strategic Management 
BPS,6310,GW1,,5,13,6,,,,,,,,,,,,,,0,"Choi, Emily",,,,,,exc113230,emily choi,
BPS,6310,MBP,,14,11,1,,,,,,,,,,,,,,0,"Lin, Zhiang","Jiang, Rui",,,,,zlin,zhiang lin,
BPS,6310,0W1,,15,14,12,8,,,,,,,,,,,,,0,"Lin, Zhiang","Jiang, Rui",,,,,zlin,john zhiang lin,Strategic Management 
BPS,6332,CW1,,34,1,1,,,,,,,,,1,,,,,0,"Ghosh, Anne F",,,,,,,anne ghosh,
BPS,6360,501,,18,6,4,3,2,2,,,,,,,,,,,0,"Hicks, Jeffrey N","Frantz, Zachary A",,,,,jnh061000,jeffrey hicks,Management and Organizational Consulting  Theory and Practice 
BPS,6387,XS1,,13,,,5,,,2,,,,,,,,,,0,"Sachdeva, Deepak",,,,,,,deepak sachdeva,
BUAN,6311,S01,,2,2,8,3,,,,,,,,,,,,,0,"Scott, James",,,,,,jas076100,james scott,
BUAN,6312,3,,11,18,7,14,10,,,,,,,,,,,,0,"Joo, Joonhwi","Singh, Smita",,,,,jxj180020,joonhwi joo,Applied Econometrics and Time Series Analysis 
BUAN,6312,SW1,,2,,3,3,1,1,1,,,,,,,,,,1,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein,
BUAN,6312,S01,,5,3,3,2,1,2,3,,,,,,,,,,0,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein,
BUAN,6312,S02,,8,5,7,7,2,,,,,,,1,,,,,0,"Liu, Quanquan",,,,,,qxl220001,quanquan liu,
BUAN,6312,0W2,,6,6,5,4,7,3,5,,,,,1,,,,,1,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
BUAN,6312,0W1,,3,11,7,4,7,6,4,,,,,1,,,,,0,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
BUAN,6312,2,,12,8,8,3,8,1,5,,,,,2,,,,,1,"Blueshtein, Moran","Oyima-Antseleve, Ndackyssa",,,,,mxb135230,moran blueshtein,Applied Econometrics and Time Series Analysis 
BUAN,6312,1,,10,6,25,5,12,,,,,,,,,,,,0,"Joo, Joonhwi","Singh, Smita",,,,,jxj180020,joonhwi joo,Applied Econometrics and Time Series Analysis 
BUAN,6320,505,,44,16,3,1,,,1,,,,,,,,,,0,"Kamalzadeh, Hossein","Pal, Mayuri V",,,,,hxk210085,hossein kamalzadeh,Database Foundations for Business Analytics 
BUAN,6320,3,,45,20,4,1,,,,,,,,,,,,,0,"Kamalzadeh, Hossein","Sirsat, Disha",,,,,hxk210085,hossein kamalzadeh,Database Foundations for Business Analytics 
BUAN,6320,SW1,,5,6,3,1,,,,,,,,,,,,,1,"Mishra, Vivek",,,,,,vxm190016,vivek mishra,
BUAN,6320,504,,8,7,10,9,4,,,,,,,,,,,,0,"Saleh, Ahed F","Kaul, Karan",,,,,axs220309,ahed saleh,Database Foundations for Business Analytics 
BUAN,6320,S01,,35,5,1,,,,,,,,,,,,,,0,"Swamy, Venkat",,,,,,vxs220061,venkat swamy,
BUAN,6320,0W1,,18,4,6,4,4,5,3,,,,,1,,,,,1,"Cavusoglu, Huseyin","Zhu, Yan",,,,,huseyin,huseyin cavusoglu,Database Foundations for Business Analytics 
BUAN,6320,501,,29,13,6,6,3,,,,,,,,,,,,1,"Srikanth, Kannan","Anil Kumar, Athira",,,,,kxs018700,,Database Foundations for Business Analytics 
BUAN,6320,5,,12,13,14,10,5,,3,,,,,1,,,,,0,"Pandian, Thiru","Kaul, Karan",,,,,txp190010,thiru pandian,Database Foundations for Business Analytics 
BUAN,6320,1,,32,11,7,6,3,,1,,,,,,,,,,1,"Srikanth, Kannan","Anil Kumar, Athira",,,,,kxs018700,,Database Foundations for Business Analytics 
BUAN,6320,502,,18,26,15,3,,,1,,,,,,,,,,0,"Kaya, Cuneyd C","Sehgal, Shirin","Calisir, Engin",,,,cckaya,cuneyd kaya,Database Foundations for Business Analytics 
