Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
BUAN,6320,002,,16,14,9,3,,1,,,,,,1,15,,,1,"Calisir, Engin","Natarajan, Bharath Kumar",,,,,exc030100,engin calisir,Database Foundations for Business Analytics 
BUAN,6320,501,,23,9,4,,,,,,,,,,7,,,2,"Narayan, Ravishankar L","Kapoor, Ishita",,,,,rln130030,ravishankar narayan,Database Foundations for Business Analytics 
BUAN,6320,502,,7,9,2,1,,,,,,,,,2,,,0,"Pandian, Thiru",,,,,,txp190010,thiru pandian,Database Foundations for Business Analytics 
BUAN,6324,SW1,,14,1,,1,,,,,,,,,14,,,0,"Menon, Syam","Boyina, Krishna Sai",,,,,sxm021300,syam menon,
BUAN,6337,001,,7,14,8,,,,,,,,,,18,,,0,"Tehrani, Shervin S","Alavi, Seyyedeh Soogand","Roshangarzadeh, Reza",,,,sst180003,shervin tehrani,Predictive Analytics Using SAS 
BUAN,6337,002,,12,2,13,3,,,,,,,,,17,,,0,"Murthi, B P","Kamatham, Sriharsha",,,,,murthi,b p murthi,Predictive Analytics Using SAS 
BUAN,6337,004,,12,8,14,6,,,,,,,,,12,,,0,"Murthi, B P","Roshangarzadeh, Reza",,,,,murthi,b p murthi,Predictive Analytics Using SAS 
BUAN,6337,006,,7,4,5,3,,,,,,,,,15,,,0,"Murthi, B P","Kamatham, Sriharsha",,,,,murthi,b p murthi,Predictive Analytics Using SAS 
BUAN,6337,007,,12,13,8,4,1,,,,,,,,19,,,1,"Chatterjee, Sourav","Subramanian, Thyagarajan",,,,,sxc180075,sourav chatterjee,Predictive Analytics Using SAS 
BUAN,6337,0W1,,7,7,,,,,,,,,,,15,,,2,"Subramanian, Upender","Saremi, Ehsan",,,,,uxs092000,upender subramanian,Predictive Analytics Using SAS 
BUAN,6337,501,,4,5,10,,,,,,,,,,16,,,0,"Tehrani, Shervin S","Roshangarzadeh, Reza","Alavi, Seyyedeh Soogand",,,,sst180003,shervin tehrani,Predictive Analytics Using SAS 
BUAN,6340,001,,50,10,1,1,,,,,,,,,6,,,0,"Parker, Jason A","Barla, Himaja",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6340,002,,50,11,1,1,,,,,,,,,4,,,0,"Parker, Jason A","Barla, Himaja",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6340,003,,57,7,1,,,,,,,,,,3,,,1,"Parker, Jason A","Barla, Himaja",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6340,501,,43,14,3,1,,,,,,,,,3,,,2,"Parker, Jason A","Barla, Himaja",,,,,jap090020,jason parker,Programming for Data Science 
BUAN,6341,001,,14,24,6,1,1,,1,,,,,,7,,,0,"Singh, Harpreet","Sheraaz Soheil Ahmed, FNU",,,,,hxs104000,harpreet singh,Applied Machine Learning 
BUAN,6341,002,,33,6,,,,,,,,,,,3,,,0,"Sohaee, Nassim","Radmehr, Payam",,,,,nxs045000,nassim sohaee,Applied Machine Learning 
BUAN,6341,003,,31,9,3,,1,,,,,,,,8,,,0,"Sohaee, Nassim","Radmehr, Payam",,,,,nxs045000,nassim sohaee,Applied Machine Learning 
BUAN,6341,004,,12,7,3,3,2,,,,,,,,24,,,1,"Sabir, Muhammad F",,,,,,mfs170430,muhammad sabir,Applied Machine Learning 
BUAN,6341,0W1,,21,3,1,1,,,,,,,,,5,,,2,"Sohaee, Nassim","Radmehr, Payam",,,,,nxs045000,nassim sohaee,Applied Machine Learning 
BUAN,6341,501,,5,3,1,1,,,,,,,,,8,,,1,"Sabir, Muhammad F",,,,,,mfs170430,muhammad sabir,Applied Machine Learning 
BUAN,6346,002,,3,3,1,1,1,,,,,,,,2,,,0,"Bradbury, Judd D","Rajane, Revati V",,,,,jdb101000,judd bradbury,Big Data 
BUAN,6346,003,,4,3,,1,,,,,,,,,8,,,0,"Bradbury, Judd D","Rajane, Revati V",,,,,jdb101000,judd bradbury,Big Data 
BUAN,6346,0W1,,26,5,2,,,,,,,,,,2,,,0,"Perez, Jerry","Saxena, Ishita",,,,,jxp180019,jerry perez,Big Data 
BUAN,6346,501,,6,5,4,1,,,,,,,,,1,,,0,"Cankaya, Hakki C","Sheraaz Soheil Ahmed, FNU",,,,,hcc072000,hakki cankaya,Big Data 
BUAN,6346,502,,4,3,,,,,,,,,,,3,,,0,"Smashnov, Uri","Sheraaz Soheil Ahmed, FNU",,,,,uxs051000,uri smashnov,Big Data 
BUAN,6346,503,,36,,,,,,,,,,,,4,,,0,"Elkhodari, Gasan","Sultana, Yasmin",,,,,gxe051000,gasan elkhodari,Big Data 
BUAN,6347,501,,37,,,,,,,,,,,,,,,1,"Perez, Jerry","Saxena, Ishita",,,,,jxp180019,jerry perez,Advanced Big Data Analytics 
BUAN,6356,001,,14,6,3,3,2,1,,,,,,1,,,,1,"Thouin, Mark","Rawat, Manavi",,,,,mxt083000,mark thouin,Business Analytics With R 
BUAN,6356,002,,11,4,11,1,,,,,,,,2,4,,,0,"Chen, Jianqing","Zhang, Chenglong",,,,,jxc111031,jianqing chen,Business Analytics With R 
BUAN,6356,003,,10,1,5,2,1,,,,,,,,4,,,0,"Chatterjee, Sourav",,,,,,sxc180075,sourav chatterjee,Business Analytics With R 
BUAN,6356,004,,8,8,8,3,1,,,,,,,,8,,,2,"Chatterjee, Sourav","Jadhav, Sharvari Vikas",,,,,sxc180075,sourav chatterjee,Business Analytics With R 
BUAN,6356,501,,10,11,8,1,,,,,,,,,10,,,0,"Chatterjee, Sourav","Jadhav, Sharvari Vikas",,,,,sxc180075,sourav chatterjee,Business Analytics With R 
BUAN,6356,502,,6,9,2,,,,,,,,,,7,,,2,"Shrivastava, Prakash C","Sheraaz Soheil Ahmed, FNU",,,,,pcs130130,prakash shrivastava,Business Analytics With R 
BUAN,6356,SS1,,3,7,,,,,,,,,,,1,,,0,"Parker, Jason A","Verma, Vishal",,,,,jap090020,jason parker,
BUAN,6357,001,,5,6,4,3,,,,,,,,,7,,,2,"Chatterjee, Sourav","Jadhav, Sharvari Vikas",,,,,sxc180075,sourav chatterjee,Advanced Business Analytics with R 
BUAN,6357,002,,26,6,,,,,,,,,,,1,,,0,"Johnston, Walter L",,,,,,wlj031000,walter johnston,Advanced Business Analytics with R 
BUAN,6357,003,,20,3,,,,,,,,,,,,,,0,"Johnston, Walter L",,,,,,wlj031000,walter johnston,Advanced Business Analytics with R 
BUAN,6357,501,,5,3,2,,,,,,,,,,4,,,0,"Chatterjee, Sourav","Jadhav, Sharvari Vikas",,,,,sxc180075,sourav chatterjee,Advanced Business Analytics with R 
BUAN,6398,001,,12,,1,,,,,,,,,,6,,,1,"Sethi, Awanti","Venugopal, Diya",,,,,asethi,awanti sethi,Prescriptive Analytics 
BUAN,6398,002,,54,,1,2,,,,,,,,,5,,,0,"Alimirzaei, Athena","Kumar, Anil",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6398,003,,9,,6,3,,,,,,,,,22,,,0,"Sethi, Awanti","Venugopal, Diya",,,,,asethi,awanti sethi,Prescriptive Analytics 
BUAN,6398,004,,46,2,4,2,,,,,,,,,9,,,1,"Alimirzaei, Athena","Kumar, Anil",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6398,0W1,,31,2,3,3,,,,,,,,,3,,,0,"Alimirzaei, Athena","Kumar, Anil",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6398,501,,47,2,2,2,1,,,,,,,,6,,,1,"Alimirzaei, Athena","Kumar, Anil",,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
BUAN,6V99,001,,26,,,,,,,,,,,,,,,0,"Elkhodari, Gasan","Sultana, Yasmin",,,,,gxe051000,gasan elkhodari,Special Topics in Business Analytics 
CE,1202,001,5,4,1,1,1,1,1,,,,,,,,2,4,1,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical Engineering II 
CE,1202,002,7,1,3,2,1,2,1,2,,1,,1,1,,4,2,2,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical Engineering II 
CE,1202,003,6,2,3,,1,,1,1,,,,1,3,,5,1,0,"Cogan, Diana L","Chen, Pengyuan","Mohamed, Ahmed M","Pawaskar, Vaibhav Uttam",,,dcc095020,diana cogan,Introduction to Electrical Engineering II 
CE,1202,004,8,4,4,,2,,,,1,,,,2,,3,2,0,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical Engineering II 
CE,1337,001,1,2,1,1,1,,,1,,,,,1,,2,,1,"Arnold, Gordon L",,,,,,gxa120930,gordon arnold,Computer Science I 
CE,2310,001,19,2,2,,1,1,,,,,,,1,,12,3,0,"Dodge, Nathan B",,,,,,dodge,nathan dodge,Introduction to Digital Systems 
CE,2310,501,17,,1,1,1,2,,1,1,,,,2,,7,1,3,"Dodge, Nathan B",,,,,,dodge,nathan dodge,Introduction to Digital Systems 
CE,2336,001,1,1,1,1,,1,,1,,,,,,,3,1,1,"Nouroz Borazjany, Mehra","Srinivasan, Srimathi",,,,,mxn143230,mehra borazjany,Computer Science II 
CE,3201,001,1,13,10,5,1,,,,,,,,,,5,,0,"Nikoubin, Tooraj","Movahed Mohammadi, Seyed Ehsan","Steele, Alec M","Salimath, Vibhav Kumarswami","Li, Sen","Jain, Apurva",txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3201,002,2,13,5,1,,,,,,,,,,,4,,2,"Nikoubin, Tooraj","Li, Sen","Movahed Mohammadi, Seyed Ehsan","Salimath, Vibhav Kumarswami","Steele, Alec M","Jain, Apurva",txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3202,001,,16,4,,3,,,,,,,,,,4,,0,"Kiasaleh, Kamran","Shankar, Nikhil","Apalak, Merve","Helwa, Sherief M",,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
CE,3202,002,,8,1,,1,,,,,,,,,,2,,0,"Kiasaleh, Kamran","Shankar, Nikhil","Apalak, Merve","Helwa, Sherief M",,,kamran,kamran kiasaleh,Electrical and Computer Engineering Fundamentals-II Laboratory 
CE,3301,001,2,3,7,4,3,3,,1,,,,,,,8,,3,"Friedman, Joseph S","Hassan, Naimul","Hu, Xuan",,,,jsf160330,joseph friedman,Electrical Network Analysis 
CE,3301,002,,2,2,2,6,3,1,1,,,,,2,,17,,0,"Chiu, Yun","Palit, Prithviraj",,,,,yxc101000,yun chiu,Electrical Network Analysis 
CE,3302,002,1,7,2,2,,1,1,2,,,,,,,,,1,"Webb, Jennifer H","Lin, Wei-Cheng",,,,,jhw170130,jennifer webb,Signals and Systems 
CE,3302,501,1,4,,8,1,1,2,4,,,4,,2,,11,3,0,"Park, Jae Mo","Chandra Shekar, Ram Charan M",,,,,jxp170001,jae park,Signals and Systems 
CE,3310,001,,1,,2,1,,,3,,,,,,,1,4,0,"Lee, Gil S","Abousaba, Mohammad F","Choi, Ye I","Luo, Ziyang",,,gslee,gill lee,Electronic Devices 
CE,3310,002,4,8,3,2,,,,,,,,,1,,,,0,"Frensley, William","Liu, Jinbo",,,,,frensley,william frensley,Electronic Devices 
CE,3311,001,1,,,,2,1,,2,,,,,,,7,1,0,"Lee, Gil S","Choi, Ye I","Luo, Ziyang",,,,gslee,gill lee,Electronic Circuits 
CE,3311,002,,2,,1,2,1,,3,,,,,1,,22,,0,"Liu, Jin","Cheng, Qi","Xiong, Jiu",,,,jinliu,jin liu,Electronic Circuits 
CE,3320,001,4,7,3,1,4,,,,,,2,,,,8,3,2,"Nikoubin, Tooraj","Huang, Qiongdan","Goswami, Pingakshya","Chen, Jianqi",,,txn190011,tooraj nikoubin,Digital Circuits 
CE,3320,002,6,14,2,1,1,,,,1,,,,,,10,5,2,"Nikoubin, Tooraj","Goswami, Pingakshya","Chen, Jianqi",,,,txn190011,tooraj nikoubin,Digital Circuits 
CE,3320,501,2,3,2,1,2,,1,,1,,,,,,9,1,0,"Basu, Kanad","Kuruvila, Abraham P",,,,,kxb190012,kanad basu,Digital Circuits 
CE,3345,002,7,4,2,,,,,,,,,,,,,,1,"Khan, Ziaullah",,,,,,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
CE,3354,003,1,1,1,1,,,,,1,,,,,,5,1,0,"Paulk, Mark C","Wang, Guanghua",,,,,mcp130030,mark paulk,Software Engineering 
CE,4304,001,8,11,6,,6,2,,,,,,,,,11,,0,"Swartz, William P","Akbarzadeh, Sara",,,,,wps100020,william swartz,Computer Architecture 
CE,4304,002,3,4,,,,,1,,,,,,1,,2,,1,"Swartz, William P","Xu, Xiangyu","Akbarzadeh, Sara",,,,wps100020,william swartz,Computer Architecture 
CE,4337,501,16,8,3,1,,1,,,,,,,,,,,0,"Li, Fang","Zeng, Wenxi",,,,,fxl171330,,Organization of Programming Languages 
CE,4348,001,,6,,,13,,,7,,,1,,,,18,6,1,"Goodrum, Richard A",,,,,,rag150330,richard goodrum,Operating Systems Concepts 
CE,4370,001,,5,4,6,4,5,,,,,,,,,33,2,1,"Carrion Schaefer, Benjamin","Zhu, Zhiqi","Wang, Zi","Zeng, Xiaoming",,,bxc162630,benjamin carrion schaefer,Embedded Microprocessor Systems 
CE,4388,001,1,17,,3,,,,,,,,,,,,,0,"Tacca, Marco","Ramanathan, Shunmugapriya",,,,,mtacca,marco tacca,Senior Design Project I 
CE,4389,001,,12,,2,,,,,,,,,,,,,0,"Skinner, Neal G","Chitale, Akshay A",,,,,skinner,neal skinner,Senior Design Project II 
CE,4389,002,,6,,2,1,3,,,,,,,,,3,,0,"Hansen, John","Chandra Shekar, Ram Charan M",,,,,jxh052100,john hansen,Senior Design Project II 
CE,4389,003,,10,,2,1,,,,,,,,,,4,,0,"Tacca, Marco","Nguyen, Van Thuan",,,,,mtacca,marco tacca,Senior Design Project II 
CE,4389,004,,6,,,1,,,,,,,,,,5,,0,"Skinner, Neal G","Du, Lixiong","Chitale, Akshay A",,,,skinner,neal skinner,Senior Design Project II 
CE,4390,001,2,1,2,,1,1,1,,,,,,1,,3,2,1,"Le, Khiem V","Gour, Riti",,,,,kvl140030,khiem le,Computer Networks 
CE,4390,502,,5,1,2,6,1,,2,1,,,,,,12,1,0,"Gupta, Neeraj K","Li, Shuo","Patel, Vatsalkumar R","Patel, Dhruvkumar R",,,nkg140130,neeraj gupta,Computer Networks 
CE,6301,001,,12,,,,,,,,,,,,,,,0,"Swartz, William P","Huang, Qiongdan",,,,,wps100020,william swartz,Advanced Digital Logic 
CE,6304,001,,10,,1,1,,,,,,,,,,,,0,"Hu, Yang","Wang, Jianda",,,,,yxh177430,yang hu,Computer Architecture 
CE,6325,001,,1,3,3,,,,,,,,,,4,,,0,"Friedman, Joseph S","Hassan, Naimul","Hu, Xuan",,,,jsf160330,joseph friedman,VLSI Design 
CGS,2301,HN1,13,6,3,,,,,,,,,,,,2,,1,"O'Toole, Alice J",,,,,,otoole,alice otoole,Cognitive Science 
CGS,3361,501,7,5,,1,1,,,,,,,,,,,,0,"Roark, Dana A","Han, Liang",,,,,danar,dana roark,Cognitive Psychology 
CHEM,1111,101,3,4,1,1,,2,,,,,,,,,1,1,0,"Huang, Yu","Alberto, Kevin A",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,102,,9,2,3,4,2,1,3,,,,,2,,,3,1,"Huang, Yu","Khan, Amber",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,103,,6,9,2,4,,2,,,,,,,,5,,2,"Huang, Yu","Khan, Amber",,,,,yxh091220,yu huang,General Chemistry Laboratory I 
CHEM,1111,104,4,10,,1,1,,,,,,,,,,3,,2,"Gunawardhana, Kahawatte Gedara","Parsaee, Faeze",,,,,kxg141730,,General Chemistry Laboratory I 
CHEM,1111,106,5,5,1,1,1,2,1,1,,,,,2,,2,4,2,"Qin, Yanping","Ahrari, Samira",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,107,1,3,3,2,1,2,,,1,,1,1,1,,3,2,1,"Qin, Yanping","Ahrari, Samira",,,,,yxq083000,yanping qin,General Chemistry Laboratory I 
CHEM,1111,109,2,5,1,,2,,,2,,,,,1,,,1,0,"Dissanayake, Dushanthi S","Nguyen, Trang",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory I 
CHEM,1112,101,19,5,1,1,1,1,,,,,,,,,,,2,"Anka, Fadwa H","Alexander, Shevon",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,102,10,8,2,1,2,,1,,,,,,1,,,3,2,"Taghavi Nasrabadi, Amir","Arche, Phillip Damien E",,,,,axt128930,,General Chemistry Laboratory II 
CHEM,1112,103,7,15,2,1,,,1,,,,,,,,2,1,1,"Gunawardhana, Kahawatte Gedara","Cortes Guzman, Karen P","Taslimy, Somayeh",,,,kxg141730,,General Chemistry Laboratory II 
CHEM,1112,104,13,13,2,,,,,,,,,,,,,1,0,"Hashami, Zohreh","Yan, Qing",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,105,11,10,3,3,,1,,,,,,,,,2,,0,"Anka, Fadwa H","Ortega, Juan L","Graham, Robert L",,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,106,13,10,4,1,1,1,,,,,,,,,,,0,"Karunaweera, Chamaal","Alexander, Shevon",,,,,cxk140730,chamaal karunaweera,General Chemistry Laboratory II 
CHEM,1112,107,22,4,1,,1,1,,,,,,,,,,,0,"Abeykoon, Nimali C","Curtis, Rose M","Kannangara, Dona Prashansa B",,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,108,21,7,1,,,,,,,,,,,,1,,0,"Anka, Fadwa H","Olaluwoye, Oladimeji S",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,109,9,16,4,,,,,,,,,,1,,,,0,"Karunaweera, Chamaal","Nguyen, Trang",,,,,cxk140730,chamaal karunaweera,General Chemistry Laboratory II 
CHEM,1112,110,17,7,,1,1,2,,,1,,,,,,,1,0,"Jaggi, Neelam","Tripathi, Kiran",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,111,24,5,,,,,,,,,,,,,,,1,"Dissanayake, Dushanthi S","Faisal, Tahmid",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory II 
CHEM,1112,112,19,7,1,1,2,,,,,,,,,,,,0,"Jaggi, Neelam","Graham, Robert L","Beck, Erling",,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,113,5,6,6,2,,,1,,,,,,,,1,1,2,"Hashami, Zohreh","Hagge, Laurel M",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,114,9,4,2,3,2,1,,1,1,,,1,,,1,1,2,"Abeykoon, Nimali C","Olaluwoye, Oladimeji S",,,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,116,15,7,,1,1,,,,,,,,1,,2,1,1,"Panangala, Samitha D","Rifat, Samia",,,,,sdp140230,samitha panangala,General Chemistry Laboratory II 
CHEM,1112,117,11,8,2,,2,,1,,,,,,2,,,3,0,"Taghavi Nasrabadi, Amir","Parsaee, Faeze",,,,,axt128930,,General Chemistry Laboratory II 
CHEM,1112,118,15,7,2,,,,,1,,,,,,,3,,1,"Gunawardhana, Kahawatte Gedara","Cortes Guzman, Karen P",,,,,kxg141730,,General Chemistry Laboratory II 
CHEM,1112,119,19,4,2,,,2,1,1,,,,,,,,,1,"Hashami, Zohreh","Yan, Qing",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,120,18,5,2,1,,2,1,,,,,,,,,,0,"Taghavi Nasrabadi, Amir","Rifat, Samia",,,,,axt128930,,General Chemistry Laboratory II 
CHEM,1112,121,15,7,2,,,,,,,,,,,,3,,1,"Karunaweera, Chamaal","Sheybani, Simin",,,,,cxk140730,chamaal karunaweera,General Chemistry Laboratory II 
CHEM,1112,122,18,9,2,,,,,,,,,,,,,,1,"Taghavi Nasrabadi, Amir","Curtis, Rose M",,,,,axt128930,,General Chemistry Laboratory II 
CHEM,1112,123,10,5,5,2,1,,,1,,,,,,,4,,1,"Karunaweera, Chamaal","Shaffer, Joy",,,,,cxk140730,chamaal karunaweera,General Chemistry Laboratory II 
CHEM,1112,124,19,7,3,1,,,,,,,,,,,,,0,"Hashami, Zohreh","Firouzi, Hamid Reza",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,125,18,7,2,,,,,1,1,,,,,,,1,0,"Jaggi, Neelam","Shaffer, Joy",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,126,22,3,2,,,,,,,,,,,,1,,1,"Hashami, Zohreh","Firouzi, Hamid Reza",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,127,7,5,,2,3,1,1,,,1,,,1,,3,3,2,"Jaggi, Neelam","Graham, Robert L",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,128,7,4,1,2,1,,1,1,,,,,,,2,,3,"Hashami, Zohreh","Perez Medina, Luciano","Taslimy, Somayeh",,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,129,6,7,,1,1,2,1,,1,,,,2,,1,1,0,"Abeykoon, Nimali C","Parker, Dynasty M","Shafie, Arefeh",,,,nxa124430,nimali abeykoon,General Chemistry Laboratory II 
CHEM,1112,130,20,2,,3,2,1,,,,,,,,,1,,0,"Dissanayake, Dushanthi S","Ortega, Juan L","Beck, Erling",,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory II 
CHEM,1112,131,26,2,,1,1,,,,,,,,,,,,0,"Anka, Fadwa H","Kannangara, Dona Prashansa B",,,,,fha041000,fadwa anka,General Chemistry Laboratory II 
CHEM,1112,132,22,3,3,,,,,,,,,,1,,,1,0,"Taghavi Nasrabadi, Amir","Shafie, Arefeh",,,,,axt128930,,General Chemistry Laboratory II 
CHEM,1112,133,18,3,2,,1,,1,2,,,,,,,,,1,"Karunaweera, Chamaal","Tripathi, Kiran",,,,,cxk140730,chamaal karunaweera,General Chemistry Laboratory II 
CHEM,1112,134,13,12,2,,1,1,,,,,,,,,1,,0,"Hashami, Zohreh","Kannangara, Dona Prashansa B","Curtis, Rose M",,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,135,18,4,1,,1,,,1,,,,,,,2,1,1,"Jaggi, Neelam","Pope, Mitchell A",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,136,12,6,2,3,1,,,,,,1,,,,1,3,1,"Jaggi, Neelam","Perez Medina, Luciano",,,,,nxj190013,,General Chemistry Laboratory II 
CHEM,1112,137,12,7,1,1,1,,1,1,1,,,,1,,1,2,1,"Dissanayake, Dushanthi S","Pope, Mitchell A",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory II 
CHEM,1112,138,1,4,2,1,,2,,,,,,,,,2,,1,"Hashami, Zohreh","Arche, Phillip Damien E",,,,,zxh088000,zohreh hashami,General Chemistry Laboratory II 
CHEM,1112,141,22,2,1,2,,,,,,,,,,,,,1,"Dissanayake, Dushanthi S","Faisal, Tahmid",,,,,dxd122030,dushanthi dissanayake,General Chemistry Laboratory II 
CHEM,1116,HN1,,28,,,,,,,1,,,,,,1,,0,"Sibert, John W",,,,,,sibertj,john sibert,Honors Freshman Chemistry Laboratory II 
CHEM,1311,001,17,26,31,40,33,24,18,8,8,,1,1,6,,21,9,7,"Sra, Amandeep K","Alberto, Kevin A",,,,,aks057000,amandeep sra,General Chemistry I 
CHEM,1312,001,16,24,9,7,10,7,11,6,6,1,1,1,2,,8,14,12,"Gavva, Sandhya R",,,,,,sgavva,sandhya gavva,General Chemistry II 
CHEM,1312,002,12,33,17,9,16,9,5,10,12,5,1,2,12,,21,9,8,"Gavva, Sandhya R",,,,,,sgavva,sandhya gavva,General Chemistry II 
CHEM,1312,003,33,67,20,17,18,15,3,5,4,4,2,2,7,,16,4,3,"Dieckmann, Gregg",,,,,,dieckgr,gregg dieckmann,General Chemistry II 
CHEM,1312,004,38,53,21,26,11,6,7,6,8,1,1,2,7,,21,9,3,"Dieckmann, Gregg",,,,,,dieckgr,gregg dieckmann,General Chemistry II 
CHEM,1312,005,34,55,22,17,14,14,7,7,5,3,5,2,4,,13,11,6,"Huang, Yu",,,,,,yxh091220,yu huang,General Chemistry II 
CHEM,1312,006,13,23,18,16,16,12,11,14,12,1,2,,17,,13,18,6,"Abeykoon, Nimali C",,,,,,nxa124430,nimali abeykoon,General Chemistry II 
CHEM,1316,HN1,9,11,2,4,,2,,,,,,,,,2,,0,"Sibert, John W",,,,,,sibertj,john sibert,Honors Freshman Chemistry II 
CHEM,2123,101,21,6,1,1,,,,,,,,,,,,,0,"Panangala, Samitha D","Abbas, Muhammad",,,,,sdp140230,samitha panangala,Introductory Organic Chemistry Laboratory I 
CHEM,2123,102,21,6,1,,,,,,,,,,,,,,1,"Panangala, Samitha D","Abbas, Muhammad",,,,,sdp140230,samitha panangala,Introductory Organic Chemistry Laboratory I 
CHEM,2123,103,18,7,1,1,,,,,,,,,,,1,,2,"Karunaweera, Chamaal","Ma, Ziyuan",,,,,cxk140730,chamaal karunaweera,Introductory Organic Chemistry Laboratory I 
CHEM,2123,104,15,12,1,,1,,,,,,,,,,1,,0,"Ma, Ziyuan","Senarathna, Milinda Chathuranga",,,,,zxm180001,,Introductory Organic Chemistry Laboratory I 
CHEM,2123,105,17,3,,,,,,,,,,,,,1,,1,"Gunawardhana, Kahawatte Gedara","Tajik Asl, Masoumeh",,,,,kxg141730,,Introductory Organic Chemistry Laboratory I 
CHEM,2123,106,19,8,1,,1,,,,,,,,,,1,,0,"Gunawardhana, Kahawatte Gedara","Thanabalasingam, Kulatheepan","Wijesundara, Yalini H",,,,kxg141730,,Introductory Organic Chemistry Laboratory I 
CHEM,2123,601,18,5,1,,,,,,,,,,,,,,0,"Taghavi Nasrabadi, Amir","Senarathna, Milinda Chathuranga",,,,,axt128930,,Introductory Organic Chemistry Laboratory I 
CHEM,2125,101,26,3,,,,,,,,,,,,,,,1,"Wijenayake, Sumudu N","Tajik Asl, Masoumeh",,,,,snw081000,sumudu wijenayake,Introductory Organic Chemistry Laboratory II 
CHEM,2125,102,19,8,,,,1,,,,,,,,,1,,1,"Tran, Daniel N","Parra, Aaron",,,,,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory II 
CHEM,2125,103,27,3,,,,,,,,,,,,,,,0,"Tran, Daniel N","Boardman, Samuel",,,,,dnt019000,daniel tran,Introductory Organic Chemistry Laboratory II 
CHEM,2125,104,22,6,2,,,,,,,,,,,,,,0,"Taghavi Nasrabadi, Amir","Shekarnoush, Mahsa",,,,,axt128930,,Introductory Organic Chemistry Laboratory II 
CHEM,2125,105,15,13,,,,,,,,,,,,,2,,0,"Gunawardhana, Kahawatte Gedara","Bhadran, Abhi",,,,,kxg141730,,Introductory Organic Chemistry Laboratory II 
CHEM,2125,106,25,3,,,,2,,,,,,,,,,,0,"Hashami, Zohreh","Hernandez, Jayoh A",,,,,zxh088000,zohreh hashami,Introductory Organic Chemistry Laboratory II 
CHEM,2125,107,25,3,,,,,,,,,,,,,1,,1,"Panangala, Samitha D","Haque, Syed Fahad Bin",,,,,sdp140230,samitha panangala,Introductory Organic Chemistry Laboratory II 
CHEM,2125,108,21,8,,,,,,,,,,,,,,,0,"Hashami, Zohreh","Hernandez, Jayoh A",,,,,zxh088000,zohreh hashami,Introductory Organic Chemistry Laboratory II 
