Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,4336,001,2,2,,2,2,1,1,5,,,,,,,7,,0,"Bowen, Richard M","Wilson, Ravin M",,,,,rxb073100,richard bowen,Financial Statement Analysis 
ACCT,4337,001,,5,,1,5,,1,2,,,,,,,5,,0,"Richards, James R",,,,,,jrr013500,james richards,Business Valuation 
ACCT,4340,001,16,12,10,6,3,3,,,2,,,,,,3,1,1,"Johnson, Jennifer","Nunez, Belinda A",,,,,jxj091000,jennifer johnson,Survey of Accounting Software 
ACCT,4342,001,6,1,12,11,6,4,,1,2,,,,,,14,1,0,"Johnson, Jennifer","Nunez, Belinda A",,,,,jxj091000,jennifer johnson,Analysis and Design of Accounting Systems 
ACCT,4342,501,1,2,4,5,6,3,1,1,1,1,,,,,3,,0,"Johnson, Jennifer","Nunez, Belinda A",,,,,jxj091000,jennifer johnson,Analysis and Design of Accounting Systems 
ACCT,4342,PP1,5,8,3,9,2,,,,,,,,,,,,0,"Johnson, Jennifer","Hoang, Quynh M",,,,,jxj091000,jennifer johnson,Analysis and Design of Accounting Systems 
ACCT,4342,PP2,6,9,4,5,,,,,,,,,,,10,,0,"Johnson, Jennifer","Hoang, Quynh M",,,,,jxj091000,jennifer johnson,Analysis and Design of Accounting Systems 
ACCT,6193,SS1,,58,,,24,,,2,,,,,1,7,,,1,"Betanzos, Christina L",,,,,,clb120030,christina betanzos,
ACCT,6202,501,,8,7,9,5,1,,,,,,,,22,,,0,"Natarajan, Ramachandran","Tatiparti, Venu Madhav",,,,,nataraj,ramachandra natarajan,Managerial Accounting 
ACCT,6202,CH1,,12,,,,,,,,,,,,,,,0,"Sadka, Gil","Zhang, Yang",,,,,gxs143630,gil sadka,
ACCT,6202,GW1,,31,,,,,,,,,,,,1,,,0,"Sadka, Gil","Zhang, Yang",,,,,gxs143630,gil sadka,
ACCT,6202,MBC,,23,9,9,2,,,,,,,,,6,,,0,"Natarajan, Ramachandran","Tatiparti, Venu Madhav",,,,,nataraj,ramachandran natarajan,
ACCT,6202,MBP,,8,6,4,4,,,,,,,,,19,,,0,"Natarajan, Ramachandran","Tatiparti, Venu Madhav",,,,,nataraj,ramachandran natarajan,
ACCT,6202,XS1,,34,,,,,,,,,,,,2,,,0,"Sadka, Gil","Zhang, Yang",,,,,gxs143630,gil sadka,
ACCT,6291,SS1,,81,,,13,,,,,,,,,,,,3,"Zolton, Kathy",,,,,,kxz121730,kathy zolton,
ACCT,6292,SS1,,78,,,7,,,3,,,,,,5,,,0,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt,
ACCT,6301,0W1,,20,10,3,5,,,,,,,,,8,,,4,"Ali, Ashiq","Li, Chenchen",,,,,axa042200,ashiq ali,Financial Accounting 
ACCT,6301,501,,11,8,6,2,1,1,1,,,,,,10,,,1,"Hes, Christopher A","Lietha, Cassidy R",,,,,cah041000,christopher hess,Financial Accounting 
ACCT,6305,001,,33,,16,,,,,,,,,,2,,,0,"Loumioti, Maria",,,,,,mxl175830,maria loumioti,Accounting for Managers 
