Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,5U1,,6,1,2,1,2,3,1,,,,,,,,1,"Files, Rebecca L","Gu, Dongdi",,,,,rlf092000,rebecca files,Introductory Financial Accounting 
ACCT,2302,5U1,6,4,3,,3,1,3,4,2,4,3,1,,,,4,"Zolton, Kathy","He, Jiapeng",,,,,kxz121730,kathy zolton,Introductory Management Accounting 
ACCT,3331,5U1,2,1,4,2,,1,3,1,3,,1,,,,,4,"Zhou, Yibin","Gu, Dongdi",,,,,yxz066000,yibin zhou,Intermediate Financial Accounting I 
ACCT,3341,5U1,1,2,2,2,2,1,2,,1,1,2,,,,,0,"Johnson, Jennifer","Zhang, Yang",,,,,jxj091000,jennifer johnson,Cost Management Systems 
ACCT,3350,5U1,,2,2,,6,2,3,1,,,1,,,,,0,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,4334,5U1,,1,1,3,5,1,,2,1,2,,,,,,0,"Hes, Christopher A","Gu, Dongdi",,,,,cah041000,christopher hess,Auditing 
ACCT,4340,5U1,4,7,1,1,4,4,,1,1,,1,,,,,1,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson,Survey of Accounting Software 
ACCT,6194,SW1,,6,,,2,,,,,,,,,,,2,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson,
ACCT,6202,0W1,,9,13,12,11,5,3,2,,,,,,,,1,"Janakiraman, Surya","Zhang, Yang",,,,,suryaj,surya janakiraman,Accounting for Managerial Decision Making and Control 
ACCT,6301,5U1,,3,4,7,5,3,,1,,,,,1,,,1,"Ballew, Gregory E","Holstead, Cameron",,,,,geb011100,gregory ballew,Financial Accounting 
ACCT,6305,0W1,,15,11,12,2,,,,,,,,,,,1,"Janakiraman, Surya","Zhang, Yang",,,,,suryaj,surya janakiraman,Accounting for Managers 
ACCT,6330,0W1,,1,,1,3,,,3,,,,,1,,,2,"Cready, William M","Holstead, Cameron",,,,,wmc041000,william cready,Intermediate Financial Accounting I 
ACCT,6331,0W1,,1,,,8,,,1,,,,,,,,1,"Cready, William M","Holstead, Cameron",,,,,wmc041000,william cready,Cost Accounting  Foundations and Evolutions 
ACCT,6331,SW1,,4,8,4,1,,,,,,,,,,,0,"Janakiraman, Surya","Zhang, Yang",,,,,suryaj,surya janakiraman,
ACCT,6333,5U1,,7,,,6,,,1,,,,,,,,1,"Zolton, Kathy","He, Jiapeng",,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
ACCT,6338,5D1,,16,3,,4,,,,,,,,,,,0,"Goodrich, Mary Beth W",,,,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
ACCT,6344,0W1,,25,16,14,4,2,,,,,,,,,,0,"Gurun, Umit","Gu, Dongdi","Holstead, Cameron",,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6344,SW1,,9,4,3,,,,,,,,,,,,0,"Solcher, Steven J","Zolton, Kathy",,,,,sjs107020,steven solcher,
ACCT,6353,PPA,,12,12,3,4,,,,,,,,,,,0,"Solcher, Steven J",,,,,,sjs107020,steven solcher,
ACCT,6365,5U1,,17,19,21,9,8,1,,,,,,,,,0,"Cheng, Samuel",,,,,,sxc109021,samuel cheng,Governmental and Not-For-Profit Accounting 
ACCT,6367,5U1,,38,5,1,4,1,,1,,,,,,,,0,"Gamino, John P","Frost, Sandra M",,,,,jpg140630,john gamino,Multijurisdictional Taxation 
ACCT,6384,0W1,,56,5,2,,,,,,,,,1,,,1,"Kromer, Jeffrey","He, Jiapeng",,,,,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
ACCT,6392,5U1,,4,20,20,14,3,,,,,,,,,,0,"Hes, Christopher A","Gu, Dongdi",,,,,cah041000,christopher hess,Advanced Auditing 
ACN,6338,0U1,,5,,,4,,,,,,,,,,,1,"Sultana, Rukhsana",,,,,,rxs170431,rukhsana sultana,Functional Neuroanatomy 
ACN,6344,0W1,,12,,,,,,,,,,,,,,0,"Orrick, Erika D",,,,,,edo042000,erika orrick,Human-Computer Interaction Lab 
ACN,6395,0W1,,10,1,1,,,,1,,,,,,,,0,"Hooge, Kimberley O",,,,,,koh170030,kimberley orsten hooge,Cognitive Psychology 
ACN,6V81,0U1,,17,1,,1,,,,,,,,,,,0,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams,Special Topics in Applied Cognition and Neuroscience 
AMS,2300,0U1,,6,2,1,3,,,1,,,,,,,,0,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak,American Popular Culture 
AMS,3316,0W1,14,7,6,1,,,1,,,,,,1,,,0,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,4385,0W1,8,9,4,1,1,4,1,,,,,,3,,,1,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Professional Communications in Business 
ARTS,1301,0W1,13,6,1,3,2,,,2,2,,1,,,,,0,"Wilder, James E","Bennett, Rodger",,,,,jew042000,james wilder,Exploration of the Arts 
ARTS,1316,0U1,8,5,2,,1,,,,,,,,,,,1,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda,Drawing Foundations 
ARTS,3367,0U1,10,3,3,,,,,,,,,,,,,0,"Miranda, Jeffrey",,,,,,jxm069000,jeffrey miranda,Figure Drawing 
ARTS,3379,591,9,4,,,1,1,,,,,,,1,,,1,"Loving, Emily",,,,,,exl097120,emily loving,Photography  New Media 
ATCM,2300,051,4,6,1,2,2,1,,,,,,,,,,0,"Ferreira de Souza, Leticia",,,,,,lxf161030,leticia ferreira de souza,Introduction to TechnoCulture 
ATCM,2301,551,,7,2,1,,1,2,,1,,,,,,,0,"Nguyen, Tuoc K",,,,,,tkn180000,tuoc nguyen,Digital Art and Design Foundations 
ATCM,2302,051,5,1,2,,3,1,,1,,,,,1,,,0,"Minnish, Roxanne W",,,,,,rwm061000,roxanne minnish,Design I 
ATCM,2303,5U1,16,,,,,,,,,,,,,,,0,"Stewart, Michael C",,,,,,mxs128231,michael stewart,Project Management for Arts  Technology  and Emerging Communication I 
ATCM,2350,0U1,8,3,2,,,,,,,,,,,,,0,"Hoggatt, Zane C",,,,,,zch150030,zoey hoggatt,Time-Based Media 
ATCM,3301,0U1,,1,3,1,,4,,1,1,,,,1,,,0,"Heaslip, Audra",,,,,,axh027000,audra heaslip,Writing for ATEC 
ATCM,3301,0W1,,3,5,3,,,,,,,,,3,,,1,"Ramakrishnan, Sharathchandra",,,,,,sxr178530,sharathchandra ramakrishnan,Writing for ATEC 
ATCM,3301,0W2,10,4,4,,,,,,,,,,,,,1,"Fraley, James M",,,,,,jmf210007,james fraley,Writing for ATEC 
ATCM,3305,0U1,,1,2,2,7,3,,,1,,,2,1,,,0,"McComber, Sean",,,,,,sxm129130,sean mccomber,Computer Animation I 
ATCM,3306,0U1,,5,3,3,3,2,,1,1,1,1,1,4,,,2,"McCord, Peter A",,,,,,pam062000,peter mccord,Modeling and Texturing I 
ATCM,3307,0U1,,1,2,4,2,5,1,,2,,,,2,,,0,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition I 
ATCM,3337,0U1,5,2,7,,1,,,,,,1,,2,,,0,"Wood, Harold G",,,,,,hgw021000,harold wood,Interaction Design I 
ATCM,3338,051,7,4,4,1,4,3,2,,,,1,,1,,,1,"Camacho, Christopher J",,,,,,cjc043000,christopher camacho,Motion Graphics I 
ATCM,3350,0W1,7,8,6,2,1,1,,1,,,,1,3,,,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt,Digital Video Production I 
ATCM,3367,0U1,4,4,3,,3,,,,,,,1,4,,,0,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Level Design I 
ATCM,3388,0U1,13,3,5,1,2,2,,,,1,,1,1,,,0,"Fraley, James M",,,,,,jmf210007,james fraley,Attitudes and Behaviors 
ATCM,4319,0U1,2,6,,,,,1,,1,,,,,,,1,"Fechter, Todd A","McComber, Sean",,,,,taf051000,todd fechter,Topics in Animation 
ATCM,4320,591,5,5,8,2,,1,,,1,,,,1,,,0,"Rheams, David C",,,,,,dcr093020,david rheams,Political Economy of Digital Media 
ATCM,4330,051,5,1,2,,,2,,,1,,,,,,,0,"Nielsen, Christina R",,,,,,crn022000,christina nielsen,Culture Jamming 
ATCM,4350,0W1,8,4,2,1,1,1,,1,1,,,,3,,,0,"Hewitt, Sharon",,,,,,sxh090220,sharon hewitt,Digital Video Production II 
ATCM,4364,051,25,2,,,3,,,,,,,,,,,0,"Trosper, Elizabeth M",,,,,,emt130130,elizabeth trosper,Topics in Design 
ATCM,4384,551,12,4,5,3,2,,,1,1,,,,2,,,0,"Rheams, David C",,,,,,dcr093020,david rheams,Ethics in New Media  Technology  and Communication 
AUD,6216,0U1,,11,2,,,,,,,,,,,,,0,"Cokely, Carol G","Woodford, Allison S",,,,,cgc016200,,Audiologic Rehabilitation for Adults 
AUD,6352,5U1,,24,,,,,,,,,,,,,,0,"Clark, Jackie L","Zang, Andie L",,,,,jclark,jackie clark,Medical Audiology 
AUD,7325,0U1,,8,3,,1,,,1,,,,,,,,0,"Thibodeau, Linda K","Warner-Czyz, Andrea D","Jansen, Conner L","Vu, Katrina D",,,thib,linda thibodeau,Intensive Auditory Rehabilitation for Adult Hearing Loss 
BA,1320,5U1,,6,3,1,3,,,1,,,,,,,,0,"Lewin, Peter","Kelly, Matthew L",,,,,plewin,peter lewin,Business in a Global World  (3 Semester Credit Hours)
BCOM,3300,0U1,,1,5,1,2,7,4,2,4,1,,2,2,,,0,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Professionalism and Communication in Business 
BCOM,3300,5U1,,,5,3,4,1,2,,3,,3,,3,,,0,"Fry, Jennifer L",,,,,,jlf130030,jennifer fry,Professionalism and Communication in Business 
BCOM,4300,091,,,1,3,4,5,2,3,3,3,,1,1,,,1,"Stewart, Julie",,,,,,jxs210043,julie stewart,Managing Communications in Business 
BCOM,4300,0U1,,,2,3,5,5,2,1,1,1,,1,,,,0,"Said, Stacey",,,,,,sxs210216,stacey said,Managing Communications in Business 
BCOM,4300,0U2,,2,7,1,1,2,2,,,,1,,1,,,0,"Walton, Michaella",,,,,,mrw170730,,Managing Communications in Business 
BCOM,4300,0U3,,3,4,2,4,1,,,,,1,,2,,,0,"Walton, Michaella",,,,,,mrw170730,,Managing Communications in Business 
BCOM,4300,0U4,,1,3,3,,6,1,2,2,,,,1,,,0,"Harrison, Megan K",,,,,,mkh160330,megan harrison,Managing Communications in Business 
BCOM,4300,0U5,,2,4,3,6,1,1,,3,,,,,,,1,"Blockley, Caylin",,,,,,cxb190014,caylin blockley,Managing Communications in Business 
BCOM,4300,5E1,,2,1,2,1,1,1,1,1,,,,,,,0,"Moore, Sarah E",,,,,,sem054000,sarah moore,Managing Communications in Business 
BCOM,4300,5U1,,6,6,4,3,9,3,3,1,,,3,1,,,1,"Moore, Sarah E",,,,,,sem054000,sarah moore,Managing Communications in Business 
