Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Payne, Laura E",,,,,,ECS,1100,501,26,8,7,1,2,2,,,,,,,,,,,,,1,lep170330,laura payne,Introduction to Engineering and Computer Science 
"Marroquin, Irene",,,,,,ECS,1100,502,12,10,9,4,3,2,1,,,,2,2,4,,,,,,0,ixm033000,irene marroquin,Introduction to Engineering and Computer Science 
"Minden, Alixandre R","Eslamijam, Mona",,,,,SYSM,6301,001,,5,9,8,2,2,1,,,,,,,,,,,,0,arm130430,minden alixandre,Systems Engineering  Architecture and Design 
"Glauser, Janece B",,,,,,ECS,3390,0H7,,12,3,1,2,,,1,,,,,,,,,,,0,jbg130030,janece glauser,Professional and Technical Communication 
"Crowder, Wade A",,,,,,ECS,3390,502,2,6,5,4,1,,,,,,,,1,,,,,,0,wac010100,wade crowder,Professional and Technical Communication 
"Willson, James K","Liu, Jie",,,,,CS,4349,HON,1,7,3,5,3,3,,,,,,,1,,,,,,1,jkw053000,james willson,Advanced Algorithm Design and Analysis 
"Farago, Andras","Karki, Dipendra",,,,,CS,4390,002,,17,9,17,11,,,3,,,,,,,,,,,0,farago,andras farago,Computer Networks 
"Lee, Jung S","Wang, Zhengyang",,,,,ENGR,3300,503,,7,1,1,5,,2,3,5,2,6,,1,,,,,,0,jls032000,jung lee,Advanced Engineering Mathematics 
"Saquib, Mohammad",,,,,,ENGR,3341,004,1,12,6,5,11,1,2,5,1,,,,4,,,,,,1,saquib,mohammad saquib,Probability Theory and Statistics 
"McMahan, Ryan P","Hu, Xinyu",,,,,CS,6334,001,,24,4,1,,,,,,,,,,,,,,,0,rpm120130,ryan mcmahan,Virtual Reality 
"Khan, Latifur R","Gao, Yang",,,,,CS,6350,001,,20,24,31,18,,,,,,,,,,,,,,1,lkhan,latifur khan,Big Data Management and Analytics 
"Yuruk, Nurcan","Dakle, Parag Pravin",,,,,CS,6314,001,,41,14,9,1,,,,,,,,,,,,,,0,nxy140530,nurcan yuruk,Web Programming Languages 
"Yuruk, Nurcan","Dakle, Parag Pravin","Li, Yi",,,,CS,6314,002,,24,19,12,4,,,,,,,,,,,,,,0,nxy140530,nurcan yuruk,Web Programming Languages 
"Balakrishna, Mithun","Chen, Yuqiao",,,,,CS,6314,501,,20,13,8,3,4,2,,,,,,,,,,,,0,mxb026000,mithun balakrishnan,Web Programming Languages 
"Ates, Keven L",,,,,,CS,6315,501,,38,,,7,,,,,,,,,,,,,,1,atescomp,keven ates,Semantic Web 
"Semper, William J","Tong, Guangmo","Taghavi Nasrabadi, Afshin",,,,CS,6313,001,,35,13,27,3,5,,,,,,,,,,,,,0,wjs130130,william semper,Statistical Methods for Data Science 
"Farago, Andras","Karki, Dipendra",,,,,CE,4390,002,,4,3,1,3,1,1,,,,,,,,,,,,0,farago,andras farago,Computer Networks 
"Lin, Zhiqiang","Wang, Xiaoyu",,,,,CS,6332,501,,15,,1,,,,,,,,,1,,,,,,0,zxl111930,zhiqiang lin,Systems Security and Malicious Code Analysis 
"Kehtarnavaz, Nasser","Karadagur Ananda Reddy, Chandan","Dawar, Neha",,,,EE,3102,104,8,1,,1,1,1,1,,,,,,1,,,,,,0,nxk019000,nasser kehtarnavaz,Signals and Systems Laboratory 
"Prabhakaran, Balakrishnan",,,,,,CS,6331,001,,8,12,10,1,,1,,,,,,1,,,,,,0,praba,balakrishnan prabhakaran,Multimedia Systems 
"Guo, Xiaohu","Ni, Saifeng",,,,,CS,6323,001,,10,5,2,,3,1,1,,,,,,,,,,,0,xxg061000,xiaohu guo,Computer Animation and Gaming 
"Kehtarnavaz, Nasser","Ganguly, Anshuman","Dawar, Neha",,,,EE,3102,105,4,4,,1,,1,,,1,,,,,,,,,,1,nxk019000,nasser kehtarnavaz,Signals and Systems Laboratory 
"Fishwick, Paul",,,,,,CS,6328,001,,17,1,,,,,,,,,,,,,,,,0,pxf130430,paul fishwick,Modeling and Simulation 
"Semper, William J",,,,,,CS,1336,015,,19,6,6,10,11,6,12,2,,,,1,,,,,,2,wjs130130,william semper,Programming Fundamentals 
"Wang, Jun","Jahanandish, Mohammadhassan",,,,,BMEN,3325,001,2,6,3,1,7,3,2,,,,,,,,,,,,0,jxw130130,jun wang,Advanced Computational Tools for Biomedical Engineering 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,105,7,9,3,1,,,,,,,,,,,,,,,0,ewb160130,eric becker,Digital Systems Laboratory 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,106,5,2,1,1,2,2,,,,,,,,,,,,,4,ewb160130,eric becker,Digital Systems Laboratory 
"Prakash, Ravi","Samiei, Aliehsan",,,,,CS,4348,HON,3,6,4,4,2,1,,,,,,,1,,,,,,0,ravip,ravi prakash,Operating Systems Concepts 
"Christiansen, Michael G",,,,,,CS,1200,004,2,11,14,4,6,1,2,,,,,1,,,,,,,0,mgc013000,michael christiansen,Introduction to Computer Science and Software Engineering 
"Christiansen, Michael G",,,,,,CS,1200,003,3,9,18,5,5,,1,1,,,,,,,,,,,0,mgc013000,michael christiansen,Introduction to Computer Science and Software Engineering 
"McMahan, Timothy",,,,,,CS,1200,001,5,13,11,4,1,1,,,,,,,1,,,,,,0,txm173230,timothy mcmahan,Introduction to Computer Science and Software Engineering 
"Cole, John",,,,,,CS,1200,006,,18,,,8,,,,,,,,2,,,,,,0,jxc064000,john cole,Introduction to Computer Science and Software Engineering 
"Christiansen, Michael G",,,,,,CS,1200,005,3,12,11,6,2,,1,1,,,,,,,,,,,0,mgc013000,michael christiansen,Introduction to Computer Science and Software Engineering 
"Cole, John",,,,,,CS,1200,007,1,15,,,6,1,,,,,,,1,,,,,,1,jxc064000,john cole,Introduction to Computer Science and Software Engineering 
"Christiansen, Michael G",,,,,,CS,1200,002,3,23,10,2,1,1,1,,,,,,,,,,,,0,mgc013000,michael christiansen,Introduction to Computer Science and Software Engineering 
"Arnold, Gordon L",,,,,,CS,1200,008,4,6,10,12,3,3,,1,2,,,,1,,,,,,0,gxa120930,gordon arnold,Introduction to Computer Science and Software Engineering 
"Arnold, Gordon L",,,,,,CS,1200,009,8,8,5,4,1,3,4,2,,,,,1,,,,,,1,gxa120930,gordon arnold,Introduction to Computer Science and Software Engineering 
"Page, Ivor",,,,,,CS,1200,HON,17,9,1,2,,,,,,,,,,,,,,,0,ivor,ivor page,Introduction to Computer Science and Software Engineering 
"Culver, Timothy L","Kadiyala, Krishna P",,,,,CS,6301,501,,37,9,1,,,,,,,,,,,,,,,0,tlc130230,timothy culver,Special Topics in Computer Science 
"Brandenburg, Jonathan C",,,,,,CS,1336,502,5,7,9,3,7,5,1,6,2,,4,,1,,,,,,2,jcb011200,jonathan brandenburg,Programming Fundamentals 
"Anderson, William C","Wang, Chao",,,,,MECH,3315,001,1,11,24,21,11,3,1,,1,,,,1,,,,,,1,wca140030,william anderson,Fluid Mechanics 
"Ardestani Khoubrouy, Soudeh","Sanchez, Camilo A",,,,,BMEN,4110,105,9,3,2,1,1,1,1,,,,,,,,,,,,0,sxa074200,soudeh khoubrouy,Biomedical Feedback Systems Laboratory 
"Ardestani Khoubrouy, Soudeh","Park, Jinkyu",,,,,EE,3302,502,5,4,,5,1,5,2,4,4,1,3,,2,,,,,,2,sxa074200,soudeh khoubrouy,Signals and Systems 
"Ardestani Khoubrouy, Soudeh","Park, Jinkyu",,,,,CE,3302,502,,2,1,2,3,3,1,2,4,,,,3,,,,,,0,sxa074200,soudeh khoubrouy,Signals and Systems 
"Gogate, Vibhav G","Roy, Chiradeep",,,,,CS,4365,001,11,14,7,5,8,6,4,4,1,1,1,1,3,,,,,,4,vxg112130,vibhav gogate,Artificial Intelligence 
"Arnold, Gordon L",,,,,,CS,1200,010,2,4,8,2,10,2,1,3,1,,,,2,,,,,,0,gxa120930,gordon arnold,Introduction to Computer Science and Software Engineering 
"Ouyang, Hui","Aliakbari Miyanmahaleh, Mohammad",,,,,MECH,3310,001,4,4,11,13,9,5,7,2,1,,,,,,,,,,0,hxo150330,hui ouyang,Thermodynamics 
"Vogel, Don G",,,,,,CS,1136,112,30,6,,1,3,4,,,,,,,1,,,,,,2,dgv130030,don vogel,Computer Science Laboratory 
"Vogel, Don G",,,,,,CS,1136,115,39,5,5,4,6,3,3,2,1,,3,,2,,,,,,2,dgv130030,don vogel,Computer Science Laboratory 
"Nagar, Anurag","Wang, Wubing",,,,,CS,6350,002,,17,11,11,2,,,,,,,,,,,,,,0,axn112530,anurag nagar,Big Data Management and Analytics 
"Nagar, Anurag","Wang, Zhuoyi",,,,,CS,6375,501,,22,22,18,3,,,,,,,,,,,,,,0,axn112530,anurag nagar,Machine Learning 
"Glauser, Janece B",,,,,,ECS,3390,0H8,,9,5,2,3,,,,,,,,,,,,,,0,jbg130030,janece glauser,Professional and Technical Communication 
"Cole, John",,,,,,CS,1200,011,,24,2,,11,,,2,,,,,2,,,,,,0,jxc064000,john cole,Introduction to Computer Science and Software Engineering 
"Oladimeji, Ebenezer A",,,,,,CS,1337,503,2,12,5,2,7,3,,3,1,,,,1,,,,,,0,eao015100,ebenezer oladimeji,Computer Science I 
"Paulk, Mark C",,,,,,CS,1336,503,12,11,4,9,10,7,2,4,,2,1,2,5,,,,,,4,mcp130030,mark paulk,Programming Fundamentals 
"Willson, James K",,,,,,CS,2305,003,2,11,4,2,4,3,1,3,1,2,4,,3,,,,,,2,jkw053000,james willson,Discrete Mathematics for Computing I 
"Debroy, Vidroha",,,,,,CS,2336,503,3,15,12,6,8,3,4,1,,2,2,,2,,,,,,0,vxd024000,vidroha debroy,Computer Science II 
"Ardestani Khoubrouy, Soudeh","Lee, Chong Jin N",,,,,BMEN,1100,107,2,2,6,2,2,,1,,,,,,,,,,,,0,sxa074200,soudeh khoubrouy,Introduction to Bioengineering I 
"Polk, Todd W","Pacheco, Joe","Upasham, Sayali S",,,,BMEN,4388,003,,3,3,3,1,,,,,,,,,,,,,,0,twp017000,todd polk,Senior Design Project I 
"Thompson, Laurie A",,,,,,CS,1336,006,,6,7,9,10,2,2,1,3,1,1,1,5,,,,,,2,lthomp,laurie thompson,Programming Fundamentals 
"Libby, Lee L",,,,,,ECS,3390,5H1,,3,5,3,4,2,,,2,,,,,,,,,,0,llibby,lee libby,Professional and Technical Communication 
"Vogel, Don G",,,,,,CS,1136,114,26,5,3,2,8,3,1,2,,,2,,8,,,,,,2,dgv130030,don vogel,
"Minden, Alixandre R",,,,,,SYSM,6304,001,,12,6,4,2,,1,,,,,,,,,,,,0,arm130430,minden alixandre,Risk and Decision Analysis 
"Wallace, Robert M",,,,,,MSEN,6319,001,,5,2,3,3,4,2,1,,,,,,,,,,,0,rmw031000,robert wallace,Quantum Mechanics for Materials Scientists 
"Payne, Laura E",,,,,,ECS,1100,019,13,15,2,5,1,3,1,,,4,,1,4,,,,,,0,lep170330,laura payne,Introduction to Engineering and Computer Science 
"Freeman, Brenda",,,,,,ECS,1100,020,19,8,11,2,1,1,,,1,,1,,5,,,,,,0,brf160230,,Introduction to Engineering and Computer Science 
"Choudhary, Pankaj K","Kotinkaduwe Rankothgedara, Lak Nilusha K",,,,,CS,6313,002,,6,5,7,8,1,3,,,,,,1,,,,,,1,pkc022000,pankaj choudhary,Statistical Methods for Data Science 
"Rios, Oziel","Sadeh, Sepehr",,,,,MECH,3105,103,,3,4,1,4,7,,2,5,,,,1,,,,,,0,oxr106020,oziel rios,Computer Aided Design Laboratory 
"Qian, Dong","Wang, Yang",,,,,MECH,6351,001,,29,7,1,1,,,,,,,,,,,,,,0,dxq120430,dong qian,Finite Element Techniques I 
"Wilt, James C",,,,,,ECS,3361,004,,6,29,15,20,18,5,3,3,,,,,,,,,,0,jcw140130,james wilt,Social Issues and Ethics in Computer Science and Engineering 
"Lu, Hongbing","Chen, Huiluo",,,,,MECH,2120,105,2,6,7,,1,1,,2,1,1,,,,,,,,,0,hxl101000,hongbing lu,Mechanics of Materials Laboratory 
"Wilt, James C",,,,,,MECH,2310,501,,,3,1,8,2,5,3,7,3,2,,4,,,,,,2,jcw140130,james wilt,Statics 
"Coleman, Amanda R",,,,,,ECS,3390,5H5,,10,3,,1,3,1,1,,,,,,,,,,,0,axc173630,,Professional and Technical Communication 
"Hu, Yang","Ganguly, Anshuman",,,,,EE,3102,106,,8,,,3,,,,,,,,,,,,,,1,yxh177430,yang hu,Signals and Systems Laboratory 
"Tamil, Lakshman",,,,,,ENGR,2300,005,10,10,11,6,2,1,1,,,,,,2,,,,,,0,laxman,lakshman tamil,Linear Algebra for Engineers 
"Saad, Ricardo E","Metwaly Saad, Hussein M",,,,,ENGR,3300,005,8,2,6,2,2,4,3,3,4,,4,3,4,,,,,,0,rsaad,ricardo saad,Advanced Engineering Mathematics 
"Saad, Ricardo E","Metwaly Saad, Hussein M",,,,,ENGR,3300,006,8,2,3,3,1,7,2,,4,,1,3,5,,,,,,2,rsaad,ricardo saad,Advanced Engineering Mathematics 
"Overzet, Lawrence","Wang, Zhengyang",,,,,EE,4391,001,1,7,,2,6,,1,1,,,,,4,,,,,,0,overzet,lawrence overzet,Technology of Plasma 
"Bhatia, Dinesh","Goswami, Pingakshya",,,,,EEDG,6370,501,,7,5,8,9,6,,1,,,,,,,,,,,0,dinesh,dinesh bhatia,Design and Analysis of Reconfigurable Systems 
"Heins, Matthew S","Yao, Haohan",,,,,EERF,7V89,501,,10,5,2,4,,,,,,,,,,,,,,0,msh130130,matthew heins,Special Topics in RF and Microwave Systems 
"Ali, Mohammed Z","Akbar, Md Navid",,,,,ENGR,3341,006,4,19,1,7,6,,1,8,,,,,,,,,,,0,mohammed,ali mohammed,Probability Theory and Statistics 
"Minden, Alixandre R","Eslamijam, Mona",,,,,SYSM,6326,001,,3,1,2,,,,,,,,,,,,,,,0,arm130430,minden alixandre,Systems Lifecycle Cost Analysis 
"Vidyasagar, Mathukumalli",,,,,,EECS,6323,001,,5,5,1,,,,1,,,,,,,,,,,0,mxv091000,mathukumalli vidyasagar,Robust Control Systems 
"Cole, John","Crain, Jon A",,,,,CS,6326,001,,11,4,,17,4,,1,,,,,1,,,,,,0,jxc064000,john cole,Human Computer Interactions 
"Sarac, Kamil","Yousefpour, Ashkan",,,,,CS,6349,001,,10,6,7,4,,,1,,,,,,,,,,,0,kxs028100,kamil sarac,Network Security 
"Sarac, Kamil","Ozarslan, Omer F",,,,,CS,6390,001,,12,7,7,4,,,1,,,,,,,,,,,0,kxs028100,kamil sarac,Advanced Computer Networks 
"Marcus, Andrian","Chaparro Arenas, Oscar Javier",,,,,CS,6356,001,,3,9,,,,,,,,,,,,,,,,0,axm141731,andrian marcus,Software Maintenance  Evolution  and Re-Engineering 
"Du, Ding Z","Tong, Guangmo",,,,,CS,6382,001,,9,1,3,1,,,,,,,,,,,,,,0,dxd056000,ding zhu du,Theory of Computation 
"McMahan, Timothy",,,,,,CS,1200,013,14,8,7,2,2,,,1,,,,,3,,,,,,0,txm173230,timothy mcmahan,Introduction to Computer Science and Software Engineering 
"Doore, Karen L",,,,,,CS,1334,002,2,14,7,7,23,2,1,2,1,,1,,1,,,,,,3,kld054000,karen doore,Programming Fundamentals for Non-Majors 
"Doore, Karen L",,,,,,CS,1335,003,3,22,10,5,14,1,,3,,1,,,3,,,,,,0,kld054000,karen doore,Computer Science I for Non-majors 
"Thompson, Laurie A",,,,,,CS,1336,014,2,7,8,4,7,3,3,3,2,2,3,4,12,,,,,,2,lthomp,laurie thompson,Programming Fundamentals 
"Thompson, Laurie A",,,,,,CS,1336,009,1,3,2,2,10,9,1,3,1,2,2,2,9,,,,,,4,lthomp,laurie thompson,Programming Fundamentals 
"Brandenburg, Jonathan C",,,,,,CS,1336,002,6,9,5,7,6,6,2,3,4,,3,,,,,,,,3,jcb011200,jonathan brandenburg,Programming Fundamentals 
"Brandenburg, Jonathan C",,,,,,CS,1336,001,8,9,2,6,9,4,2,5,4,,1,,4,,,,,,1,jcb011200,jonathan brandenburg,Programming Fundamentals 
"Oladimeji, Ebenezer A",,,,,,CS,1337,505,2,11,2,3,7,3,1,3,,,,,2,,,,,,2,eao015100,ebenezer oladimeji,Computer Science I 
"Perkins, Stephen J",,,,,,CS,1337,504,2,8,3,1,2,6,4,1,1,2,2,,5,,,,,,2,sxp127930,stephen perkins,Computer Science I 
"Sudborough, Ivan H",,,,,,CS,2305,HN1,3,8,4,2,4,2,1,1,1,,1,,1,,,,,,1,hal,hal sudborough,Discrete Mathematics for Computing I 
"Fadda, Dani Z",,,,,,MECH,1208,001,,11,13,6,9,4,3,,,,,,2,,,,,,0,dzf091000,dani fadda,Introduction to Mechanical Engineering II 
"Ali, Tariq M","Honari, Arvin",,,,,BMEN,3120,106,,6,1,3,1,,,1,,,,,,,,,,,0,tma051000,tariq ali,Biomedical Circuits and Instrumentation Laboratory 
"Smith, Jason W",,,,,,CS,2336,004,8,9,5,6,11,1,3,3,2,1,3,,10,,,,,,6,jws130830,jason smith,Computer Science II 
"Jue, Jason",,,,,,CS,3305,001,3,12,13,8,9,8,7,6,1,,2,,2,,,,,,6,jjue,jason jue,Discrete Mathematics for Computing II 
"Mazidi, Karen J","Torabi, Behnam",,,,,CS,3340,502,6,14,17,14,10,4,2,1,,,1,,2,,,,,,0,kjm160430,karen mazidi,Computer Architecture 
"Khan, Ziaullah","Shams, Shahab","Kadiyala, Krishna P","Chaparro Arenas, Oscar Javier",,,CS,3345,501,10,6,4,7,11,3,4,4,,,,,,,,,,,2,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
"Khan, Ziaullah","Shams, Shahab","Kadiyala, Krishna P","Chaparro Arenas, Oscar Javier",,,CE,3345,501,1,1,1,1,4,,1,1,,,1,,,,,,,,0,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
"Khan, Ziaullah","Shams, Shahab","Kadiyala, Krishna P","Chaparro Arenas, Oscar Javier",,,SE,3345,501,1,1,1,3,1,2,1,2,,,,,,,,,,,0,kkhan,ziaullah khan,Data Structures and Introduction to Algorithmic Analysis 
"Wei, Shiyi","Florez Fandino, Juan Manuel",,,,,CS,3354,004,3,6,5,2,6,1,2,2,,1,,,,,,,,,1,sxw174630,shiyi wei,Software Engineering 
"Paulk, Mark C","Florez Fandino, Juan Manuel",,,,,CS,3354,501,,6,8,2,8,2,1,1,2,,,,,,,,,,1,mcp130030,mark paulk,Software Engineering 
"Wei, Shiyi","Florez Fandino, Juan Manuel",,,,,CE,3354,004,1,2,,1,3,1,2,,,1,,,,,,,,,0,sxw174630,shiyi wei,Software Engineering 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,601,4,8,2,2,1,1,2,,,,,,,,,,,,0,ewb160130,eric becker,Digital Systems Laboratory 
"Brandenburg, Jonathan C","Wang, Wubing",,,,,CS,3377,002,5,6,6,4,3,5,2,4,,,2,,2,,,,,,1,jcb011200,jonathan brandenburg,C C  Programming in a UNIX Environment 
"Becker, Eric W","Shamsuddin, Rittika",,,,,CS,4341,502,11,17,4,8,4,3,,7,,,,,1,,,,,,4,ewb160130,eric becker,Digital Logic and Computer Design 
"Khan, Ziaullah","Ghosh, Smita",,,,,CS,4347,501,29,9,4,9,4,3,2,3,,,,,,,,,,,0,kkhan,ziaullah khan,Database Systems 
"Khan, Ziaullah","Ghosh, Smita",,,,,SE,4347,501,6,1,1,1,2,1,,,,,,,,,,,,,0,kkhan,ziaullah khan,Database Systems 
"Goodrum, Richard A","Yousefpour, Ashkan","Solanki, Nidhiben M",,,,CS,4348,002,,16,,,20,,,20,,,6,,5,,,,,,0,rag150330,richard goodrum,Operating Systems Concepts 
"Leonardi, Stefano","Solano Cordoba, Miguel S",,,,,MECH,4320,001,7,3,2,2,3,1,1,2,1,,,1,3,,,,,,0,sxl139330,stefano leonardi,Applications of Computational Tools in Thermal Fluid Science 
"Howell, Michael J",,,,,,CS,2335,502,,9,14,20,11,4,6,1,,1,1,3,,,,,,,4,mjh047000,,Computer Science II for Non-majors 
"Becker, Eric W",,,,,,CS,5303,001,,25,9,4,,2,,2,,,,,,,,,,,0,ewb160130,eric becker,Computer Science I 
"Haas, Zygmunt J",,,,,,CS,6301,007,,4,3,2,,1,1,,,,,,,,,,,,0,zjh130030,zygmunt haas,Special Topics in Computer Science 
"Bereg, Sergey","Li, Xinyi",,,,,CS,6363,003,,29,17,10,,,,,,,,,,,,,,,0,sxb027100,sergey bereg,Design and Analysis of Computer Algorithms 
"Gupta, Gopal","Shakerin, Farhad",,,,,CS,7301,002,,16,4,3,3,,,,,,,,2,,,,,,1,gupta,gopal gupta,Recent Advances in Computing 
"Gupta, Gopal","Shakerin, Farhad",,,,,SE,7301,002,,5,,,,,,,,,,,1,,,,,,0,gupta,gopal gupta,Recent Advances in Computing 
"Varner, Victor","Peak, Kara",,,,,BMEN,3399,001,8,11,,4,7,2,2,2,,,3,,,,,,,,0,vxv162230,victor varner,Introductory Biomechanics 
"Levene, Stephen","Jang, Jaein",,,,,BMEN,3315,001,,3,1,2,3,6,8,2,1,,,,2,,,,,,3,sdlevene,stephen levene,Thermodynamics and Physical Chemistry in Biomedical Engineering 
"Foland, Steven J","Usoro, Joshua",,,,,BMEN,4320,001,,2,1,4,1,1,2,1,,,,,2,,,,,,0,sjf041000,steven foland,Intermediate Electrical Systems 
"Cole, John",,,,,,CS,1200,015,,25,,,10,1,,,,,,,,,,,,,0,jxc064000,john cole,Introduction to Computer Science and Software Engineering 
"Ammanamanchi, Manasvini","Hayenga, Heather N","Hays, Seth A",,,,BMEN,3330,501,4,2,3,1,,,2,,1,,,,,,,,,,0,hnh130330,heather hayenga,Engineering Physiology of the Human Body 
"Vogel, Don G",,,,,,CS,1136,118,29,3,2,3,4,4,1,2,2,,2,,6,,,,,,3,dgv130030,don vogel,Computer Science Laboratory 
"Vogel, Don G",,,,,,CS,1136,116,29,8,,1,1,,1,1,,,,,4,,,,,,2,dgv130030,don vogel,Computer Science Laboratory 
"Vogel, Don G",,,,,,CS,1136,117,23,4,5,2,6,,2,,1,,,,4,,,,,,0,dgv130030,don vogel,Computer Science Laboratory 
"Becker, Eric W",,,,,,CS,3162,051,21,7,6,2,2,,,,,,,,,,,,,,1,ewb160130,eric becker,Professional Responsibility in Computer Science and Software Engineering 
"Debroy, Vidroha",,,,,,SE,3162,551,14,3,1,,1,1,1,,,,,,,,,,,,0,vxd024000,vidroha debroy,Professional Responsibility in Computer Science and Software Engineering 
"Bennett, Terrell R",,,,,,ECSC,2100,001,,20,3,5,2,,1,,,,,,,,,,,,1,trb052000,terrell bennett,Engineering Project in Community Service 
"Lewis, Racine N",,,,,,ECS,1100,021,23,10,9,4,,,,1,,,,,2,,,,,,0,rnr130230,,Introduction to Engineering and Computer Science 
"Brown, Joshua",,,,,,ECS,1100,022,23,3,6,2,3,2,,1,1,,,1,4,,,,,,1,jxb165130,,Introduction to Engineering and Computer Science 
"Choi, Wonjae","LeClear, Johnathon D",,,,,MECH,7392,501,,14,11,1,2,3,,,,,,,,,,,,,0,wxc111930,wonjae choi,Advanced Mathematics for Mechanical Engineers I 
"Ardestani Khoubrouy, Soudeh","Shihabeddin, Tarik",,,,,BMEN,1100,108,5,6,,2,1,,1,,,,,,,,,,,,1,sxa074200,soudeh khoubrouy,Introduction to Bioengineering I 
"Meyer, Clark A","Qin, Zhiyang",,,,,BMEN,1100,109,1,6,5,2,1,,,,1,,,,,,,,,,0,cam140130,clark meyer,Introduction to Bioengineering I 
"Meyer, Clark A","Bellary, Aditi",,,,,BMEN,1100,110,6,4,2,,1,,,,,,,,,,,,,,0,cam140130,clark meyer,Introduction to Bioengineering I 
"Ali, Tariq M","Chakraborty, Somdutta",,,,,BMEN,3120,107,3,3,3,3,3,1,,1,,,,,,,,,,,0,tma051000,tariq ali,Biomedical Circuits and Instrumentation Laboratory 
"Winter, Patrick M","Chung, Yu-Yen","Kazemimoghadam, Mahdieh","Chakraborty, Somdutta","Honari, Arvin",,BMEN,3120,109,,4,5,1,2,,,,,,,,,,,,,,0,pxw151030,patrick winter,Biomedical Circuits and Instrumentation Laboratory 
"Ardestani Khoubrouy, Soudeh","Suhas Bharadwaj, FNU",,,,,BMEN,4110,106,1,1,2,2,5,5,,,1,,2,,,,,,,,0,sxa074200,soudeh khoubrouy,Biomedical Feedback Systems Laboratory 
"Meyer, Clark A","Li, Shichang","Bellary, Aditi",,,,BMEN,1208,001,4,,5,4,2,1,,,,,,,2,,,,,,0,cam140130,clark meyer,Introduction to Bioengineering II 
"Pacheco, Joe","Polk, Todd W","Upasham, Sayali S",,,,BMEN,4388,004,1,2,2,3,2,,,,,,,,,,,,,,0,jxp142030,,Senior Design Project I 
"Pacheco, Joe","Polk, Todd W","Upasham, Sayali S",,,,BMEN,4388,005,1,3,4,1,,1,,,,,,,,,,,,,0,jxp142030,,Senior Design Project I 
"Qin, Zhenpeng",,,,,,MECH,6374,001,,10,3,2,5,,3,,,,,,1,,,,,,0,zxq140530,zhenpeng qin,Conductive and Radiative Heat Transfer 
"Nguyen, Nhut","Vellingiri, Shanthi",,,,,CS,4393,001,,16,7,8,,9,4,4,,,,,3,,,,,,1,nhutnn,nhut nguyen,Computer and Network Security 
"Cogan, Stuart","Gerami Fard, Negar",,,,,BMEN,3315,501,1,20,3,4,10,3,2,3,,,,,,,,,,,0,sxc149830,stuart cogan,Thermodynamics and Physical Chemistry in Biomedical Engineering 
"Doore, Karen L",,,,,,CS,1134,101,12,5,1,2,3,1,,1,,1,,,5,,,,,,2,kld054000,karen doore,
"Li, Yaoyu","Wu, Zhongyou","Xiao, Yan",,,,MECH,4110,104,,6,6,6,1,3,,,,,,,,,,,,,0,yxl115230,yaoyu li,Systems and Controls Laboratory 
"Hassanipour, Fatemeh","Jiang, Lin","Wang, Xiaomeng",,,,MECH,3120,104,9,7,1,1,,,,,,,,,,,,,,,0,fxh091000,fatemeh hassanipour,Heat Transfer Laboratory 
"Feng, Ranran","Patel, Vatsalkumar R","Li, Changbin",,,,CS,3360,002,5,2,4,9,5,4,1,1,3,3,2,5,2,,,,,,1,rxf090020,ranran feng,Computer Graphics for Artists and Designers 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,107,10,4,1,1,1,,1,,,,,,,,,,,,2,ewb160130,eric becker,Digital Systems Laboratory 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,108,11,2,4,,1,1,1,,,,,,,,,,,,0,ewb160130,eric becker,Digital Systems Laboratory 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,109,4,7,3,1,1,1,1,,,,1,,,,,,,,0,ewb160130,eric becker,Digital Systems Laboratory 
"Becker, Eric W","Shah, Trusit Sandipbhai","Cao, Tri M",,,,CS,4141,110,1,6,5,2,1,1,,,1,,,,,,,,,,0,ewb160130,eric becker,Digital Systems Laboratory 
"Winter, Patrick M","Usoro, Joshua",,,,,BMEN,3380,001,3,5,4,4,,1,,1,,,,,,,,,,,1,pxw151030,patrick winter,Medical Imaging Systems and Methods 
"Romero-Ortega, Mario I",,,,,,BMEN,6393,001,,5,2,1,1,,1,,,,,,,,,,,,1,mir140030,,Neural Engineering Methods and Applications 
"Summers, Tyler H","Hashemi, Navid",,,,,MECH,4310,002,3,8,5,6,13,4,3,4,1,2,7,,3,,,,,,1,ths150130,tyler summers,Systems and Controls 
"Myers, Kathleen","Quayum, Ayon",,,,,ENGR,3341,001,6,13,3,7,4,1,2,4,,,,2,2,,,,,,0,kxm156530,kathleen myers,Probability Theory and Statistics 
