Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,I,NC,P,W,instructor_id,instructor_name_normalized,title
"Ingrao, Peter J","Iftikhar, Shabnum",,,,,HUMA,1301,006,32,12,3,12,5,,1,1,1,1,1,,1,,,,,,0,jingrao,peter ingrao,Exploration of the Humanities 
"Towner, Theresa",,,,,,HUMA,6300,001,,14,1,,2,,,,,,,,,,,,,,1,tmtowner,theresa towner,Interdisciplinary Approaches to the Arts and Humanities 
"Hunt, Shamim",,,,,,LIT,2331,001,7,2,4,3,2,1,1,1,,,,1,2,,,,,,1,sxh034100,,Masterpieces of World Literature 
"Saar Hambazaza, Terje",,,,,,LIT,2331,002,9,2,4,1,,2,,,,,1,,,,,,,,0,txs018600,terje saar hambazaza,Masterpieces of World Literature 
"Kraemer, Jennifer D",,,,,,LIT,2341,001,,5,1,,,1,,,,,,1,4,,,,,,1,jdk019100,jennifer kraemer,Literary Analysis 
"Austin-Bolt, Caroline M",,,,,,LIT,2341,501,,6,5,1,3,,1,,,,1,,,,,,,,0,cma052000,caroline austin bolt,Literary Analysis 
"Lambert, Thomas M",,,,,,LIT,3330,501,3,2,5,1,2,4,1,1,,,,,,,,,,,0,tml017100,thomas lambert,Linguistics 
"Wilson, Michael",,,,,,HUMA,1301,HN1,1,10,10,2,1,1,,,,,,,,,,,,,0,mwilson,michael wilson,Exploration of the Humanities 
"Hasler, Carl",,,,,,PHIL,1301,001,,4,19,7,12,14,1,1,2,,,1,6,,,,,,1,cxh165030,carl hasler,Introduction to Philosophy 
"Riley, Kristin N",,,,,,RHET,1302,001,5,7,3,1,2,,,,,,,,1,,,,,,0,knr091000,kristin riley,Rhetoric 
"Ocasio-Russe, Lizbette",,,,,,RHET,1302,002,2,3,2,3,,2,3,1,1,,,,2,,,,,,0,lxo160130,lizbette ocasio russe,Rhetoric 
"Howard Cuadros, Esther W",,,,,,RHET,1302,003,,13,2,2,1,,,,,1,,,,,,,,,0,exh022000,,Rhetoric 
"Wright, Adam M",,,,,,RHET,1302,004,4,1,5,2,3,,1,,1,,,,2,,,,,,0,amw140430,adam wright,Rhetoric 
"Ocasio-Russe, Lizbette",,,,,,RHET,1302,005,1,2,4,1,2,2,2,,,,,,3,,,,,,2,lxo160130,lizbette ocasio russe,Rhetoric 
"Riley, Kristin N",,,,,,RHET,1302,006,1,6,3,1,2,4,,1,,,,,1,,,,,,0,knr091000,kristin riley,Rhetoric 
