Subject,Catalog Number,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,P,CR,NC,I,W,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
CE,1202,001,5,2,2,6,2,2,2,6,2,6,4,1,8,,,,,4,"Cogan, Diana L",,,,,,dcc095020,diana cogan,Introduction to Electrical and Computer Engineering II 
CE,2305,003,2,4,1,,1,1,1,1,1,,1,1,1,,,,,0,"Willson, James K",,,,,,jkw053000,james willson,Discrete Mathematics for Computing I 
CE,2305,503,1,13,1,1,1,,,,,,,,,,,,,0,"Farage, Timothy P",,,,,,tfarage,timothy farage,Discrete Mathematics for Computing I 
CE,2310,001,2,1,3,2,,2,2,5,1,,2,,8,,,,,1,"Cogan, Diana L","Weng, Bang-Li","Munia, Munawara Saiyara","Pawaskar, Vaibhav Uttam",,,dcc095020,diana cogan,Introduction to Digital Systems 
CE,2310,501,,4,3,1,1,,,,2,,,,3,,,,,3,"Zhou, Dian","Wang, Yifan","Luo, Ziyang",,,,zhoud,dian zhou,Introduction to Digital Systems 
CE,3161,051,4,12,4,4,3,1,,1,,,,,,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner,Social Issues and Ethics in Engineering 
CE,3161,091,2,4,1,7,8,2,3,1,2,,3,1,2,,,,,0,"Mezenner, Rabah",,,,,,rxm129730,rabah mezenner,Social Issues and Ethics in Engineering 
CE,3201,001,4,18,2,5,,1,,,,,,,,,,,,1,"Nikoubin, Tooraj","Steele, Alec M","Meng, Xingyu","Sankarraman, Sri Vignesh","Twisha, Senjuti","Parchamdar, Baharealsadat",txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3201,002,,9,4,2,3,1,,1,,,2,,,,,,,0,"Nikoubin, Tooraj","Steele, Alec M","Meng, Xingyu","Sankarraman, Sri Vignesh","Twisha, Senjuti","Parchamdar, Baharealsadat",txn190011,tooraj nikoubin,Electrical and Computer Engineering Fundamentals-I Laboratory 
CE,3202,002,,12,,2,7,,1,2,,,2,,,,,,,1,"Overzet, Lawrence","Nikfarjam, Hamed","Abousaba, Mohammad F",,,,overzet,lawrence overzet,Electrical and Computer Engineering Fundamentals-II Laboratory 
