Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,CR,P,Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,instructor_id,instructor_name_normalized,title
ACCT,2301,5U1,4,3,1,4,8,2,3,8,,6,,6,2,,,"Zhou, Yibin","Song, Dongye",,,,,yxz066000,yibin zhou,Introductory Financial Accounting 
ACCT,2302,5U1,1,4,22,16,7,4,4,2,,,,,1,,,"Hes, Christopher A","Tatiparti, Venu Madhav",,,,,cah041000,christopher hess,Introductory Management Accounting 
ACCT,3331,5U1,,6,1,1,10,,,7,,,1,,,,,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready,Intermediate Financial Accounting I 
ACCT,3341,5U1,10,5,13,11,3,1,1,,,,,,,,,"Kromer, Jeffrey","Song, Dongye",,,,,jrk013000,jeffrey kromer,Cost Management Systems 
ACCT,3350,5U1,10,10,9,4,4,,,,,,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino,Fundamentals of Taxation 
ACCT,4334,5U1,,2,6,5,6,8,2,2,,,1,,,,,"Hes, Christopher A","Tatiparti, Venu Madhav",,,,,cah041000,christopher hess,Auditing 
ACCT,4336,5U1,,4,4,3,3,,,,,,,,,,,"Gurun, Umit","Gencer, Nur Pinar",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,4340,0U1,8,9,3,3,4,3,2,,,1,,,2,,,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson,Survey of Accounting Software 
ACCT,4342,5U1,1,,7,3,1,3,,,,,,1,,,,"Johnson, Jennifer","Hagen, John C",,,,,jxj091000,jennifer johnson,Analysis and Design of Accounting Systems 
ACCT,6194,SW1,,9,,,2,,,1,,,,,1,,,"Johnson, Jennifer",,,,,,jxj091000,jennifer johnson,
ACCT,6202,0W1,,5,13,14,5,9,4,3,,,,,,,,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,,suryaj,surya janakiraman,Managerial Accounting 
ACCT,6287,XU1,,31,1,1,,,,,,,,,,,,"McNulty, Diane S",,,,,,dmcnulty,diane mcnulty,
ACCT,6292,SW1,,8,,,1,,,,,,,,1,,,"Linsteadt, Chris C",,,,,,ccl019000,chris linsteadt,
ACCT,6301,5U1,,12,8,7,2,2,,,,,,,,,,"Ali, Ashiq","Sandhu, Gurvinder",,,,,axa042200,ashiq ali,Financial Accounting 
ACCT,6305,0W1,,3,11,4,5,4,2,,,,,,,,,"Janakiraman, Surya","Tatiparti, Venu Madhav",,,,,suryaj,surya janakiraman,Accounting for Managers 
ACCT,6313,5U1,,,8,5,1,,,,,,,,,,,"Lahiri, Atanu","Zhang, Hong",,,,,axl144730,atanu lahiri,Cybersecurity Fundamentals 
ACCT,6320,0W1,,2,2,3,3,1,1,,,,,,,,,"Cavusoglu, Huseyin","Liu, Yihong",,,,,huseyin,huseyin cavusoglu,Database Foundations 
ACCT,6330,0W1,,5,,,7,,,2,,,,,,,,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready,Intermediate Financial Accounting I 
ACCT,6331,0W1,,10,,,4,,,1,,,,,,,,"Cready, William M","Gencer, Nur Pinar",,,,,wmc041000,william cready,Cost Accounting 
ACCT,6333,5U1,,18,,,13,,,4,,,,,,,,"Zolton, Kathy",,,,,,kxz121730,kathy zolton,Advanced Financial Reporting 
ACCT,6338,0W1,,21,,1,10,,,,,,,,,,,"Goodrich, Mary Beth W","Nathan, Brad",,,,,goodrich,mary beth goodrich,Accounting Systems Integration and Configuration 
ACCT,6344,0W1,,14,21,13,9,1,,,,,,,,,,"Gurun, Umit","Gencer, Nur Pinar",,,,,ugg041000,umit gurun,Financial Statement Analysis 
ACCT,6353,5U1,,7,13,5,1,,,,,,,,,,,"Solcher, Steven J",,,,,,sjs107020,steven solcher,Fundamentals of Taxation II 
ACCT,6356,5U1,,17,8,4,,,,,,,,,,,,"Gamino, John P",,,,,,jpg140630,john gamino,Tax Research 
ACCT,6367,5U1,,20,,,1,,,,,,,,,,,"Gamino, John P","Frost, Sandra M",,,,,jpg140630,john gamino,Multijurisdictional Taxation 
ACCT,6373,0W1,,51,,,16,,,,,,,,,,,"Barden, John P","Nathan, Brad",,,,,jpb063000,john barden,Advanced External Auditing 
ACCT,6384,0W1,,43,8,2,1,,,1,,,,,,,,"Kromer, Jeffrey","Song, Dongye",,,,,jrk013000,jeffrey kromer,Analytical Reviews Using Audit Software 
ACCT,6388,5U1,,14,1,1,,2,,,,,,,,,,"Goodrich, Mary Beth W","Nathan, Brad",,,,,goodrich,mary beth goodrich,Accounting Communications 
ACN,6338,0U1,,17,,,10,,,1,,,,,,,,"Sultana, Rukhsana","Wilhelm, Rachel",,,,,rxs170431,rukhsana sultana,Functional Neuroanatomy 
ACN,6V81,0U1,,33,5,1,,,,,,,,,,,,"McWilliams, Steven P",,,,,,sxm127330,steven mcwilliams,Special Topics in Applied Cognition and Neuroscience 
AMS,2300,051,,13,1,2,,,,,,,,,,,,"Werhnyak, Larissa",,,,,,lxw163630,larissa werhnyak,American Popular Culture 
AMS,2341,0H2,,7,8,6,5,1,1,,,,,,1,,,"Naqvi, Syed K",,,,,,skn180000,syed naqvi,American Studies for the Twenty-First Century 
AMS,3316,0W1,16,6,2,1,1,,,,,,,,,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Interpersonal Communication 
AMS,3350,0W1,20,11,,,1,,,1,,,,,2,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Crisis Communication 
AMS,4385,0W1,14,5,4,,1,1,,,,,,,4,,,"Winstead, Elizabeth L",,,,,,lwm061000,elizabeth winstead,Professional Communications in Business 
ARTS,1301,0U1,37,17,5,2,,2,,1,,,1,1,1,,,"Grandjean, Kelly","Alanis Perez, Alan Isaac",,,,,kxg190019,kelly grandjean,Exploration of the Arts 
ARTS,1316,0U1,,7,1,2,3,,,1,1,,,,,,,"Metz, Greg L",,,,,,glmetz,greg metz,Drawing Foundations 
ARTS,3372,551,,12,2,,,1,2,,,,,,,,,"Loving, Emily",,,,,,exl097120,emily loving,Photography  Color Concepts 
ARTS,3379,591,,14,5,,,,,,,,,,1,,,"Loving, Emily",,,,,,exl097120,emily loving,Photography  New Media 
ATCM,2301,051,3,2,1,7,2,2,2,,,,,,2,,,"Nielsen, Christina R",,,,,,crn022000,christina nielsen,Computer Imaging 
ATCM,2335,0U1,,16,,1,3,,1,1,,1,,,3,,,"Stewart, Michael C",,,,,,mxs128231,michael stewart,Internet Studio I 
ATCM,2335,0U2,,8,,1,4,,,1,,,,,2,,,"Stewart, Michael C",,,,,,mxs128231,michael stewart,Internet Studio I 
ATCM,3301,0U1,2,7,1,,1,1,,1,3,,,,1,,,"Field, Jamie M",,,,,,jmf094020,jamie field,Digital Content Design 
ATCM,3301,0U2,,5,9,4,,1,,,,,,,,,,"Mulla, Ayesha",,,,,,axm190114,ayesha mulla,Digital Content Design 
ATCM,3301,0U3,,3,6,4,2,2,,,,,,1,,,,"Mulla, Ayesha",,,,,,axm190114,ayesha mulla,Digital Content Design 
ATCM,3301,5U1,,4,8,1,,3,,,1,,1,,3,,,"Rheams, David C",,,,,,dcr093020,david rheams,Digital Content Design 
ATCM,3306,0U1,1,5,4,3,2,,,,3,,1,,2,,,"Lewis, Timothy M",,,,,,tml062000,timothy lewis,Modeling and Texturing I 
ATCM,3307,0U1,,,4,4,2,1,2,,,,,1,3,,,"McCord, Peter A",,,,,,pam062000,peter mccord,Lighting and Composition I 
