Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized,title
"Ramanathan, Kannan",,,,,,OPRE,6354,5U1,,7,1,1,2,,2,,,,,,,,,,,,,kxr087000,kannan ramanathan,Quality Improvement in Healthcare  Six Sigma and Beyond 
"Szot, James","Hefley, William E","Hicks, Jeffrey N",,,,OPRE,6376,PS1,,5,4,1,2,,,,,,,,1,,,,,,,,james szot,
"Rajamani, Divakar",,,,,,OPRE,6342,PU1,,8,3,2,,1,,,,,,,,,,,,,,dxr020100,divakar rajamani,
"Thompson, Luell O",,,,,,OPRE,6390,0W1,,8,,,5,,,1,,,,,,,,,,,,lot013000,luell thompson,Enterprise Resource Planning 
"Kim, Dohyeong",,,,,,OPRE,6301,CH1,,11,1,2,1,1,,,,,,,,,,,,,,dxk132530,dohyeong kim,
"Joiner, James C",,,,,,OPRE,6302,PU1,,14,1,,1,,,,,,,,,,,,,,,,james joiner,
"Parks, David",,,,,,OPRE,3310,0U2,,1,3,,4,,,7,,,1,,,,,,,1,,dxp153830,david parks,Operations Management 
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,OPRE,6303,0W1,,10,,2,1,,2,,,,,,2,,,,,,,asethi,awanti sethi,Quantitative Foundations of Business 
"Cavusoglu, Huseyin","Pakala, Tharun Reddy",,,,,OPRE,6393,0W1,,6,3,3,2,,2,1,,,,,,,,,,,,huseyin,huseyin cavusoglu,Database Foundations 
"Alimirzaei, Athena","Armaghan, Milad",,,,,OPRE,6398,5U1,,21,3,2,2,,,,,,,,,,,,,,,axa134231,athena alimirzaei,Prescriptive Analytics 
"Cao, Ying",,,,,,OPRE,3310,5U1,16,8,2,7,1,,1,,,,,,,,,,,,,yxc121130,ying cao,Operations Management 
"Ramanathan, Kannan",,,,,,OPRE,6332,5U2,,21,7,4,,1,2,,,,,,1,,,,,1,1,kxr087000,kannan ramanathan,Spreadsheet Modeling and Analytics 
"Sethi, Awanti","Manchiraju, Chandrasekhar Seetharama",,,,,OPRE,6301,5U2,,15,5,5,4,,5,1,,,,,3,,,,,1,2,asethi,awanti sethi,Statistics and Data Analysis 
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6302,MBP,,24,4,10,4,1,,,,,,,,,,,,,,sel120030,sonia leach,
"Brussolo, Monica E",,,,,,OPRE,6301,5U1,,18,1,5,5,,1,5,,,,,4,,,,,,5,meb049000,monica brussolo,Statistics and Data Analysis 
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6301,0W1,,12,12,9,4,3,2,2,,,,,1,,,,,,,sel120030,sonia leach,Statistics and Data Analysis 
"Ramanathan, Kannan",,,,,,OPRE,6332,5U1,,25,9,5,4,1,1,,,,,,1,,,,,,1,kxr087000,kannan ramanathan,Spreadsheet Modeling and Analytics 
"Brussolo, Monica E","Shi, Lingling",,,,,OPRE,3333,0U1,5,5,6,5,3,7,1,2,1,3,,,7,,,,,1,,meb049000,monica brussolo,Quantitative Business Analysis 
"ye, Shengqi","Shi, Lingling",,,,,OPRE,6302,0W1,,23,9,8,5,2,2,2,,,,,,,,,,,1,sxy143530,shengqi ye,Operations Management 
"Leach, Sonia E","Chen, Jiayu",,,,,OPRE,6302,5U1,,19,8,5,7,3,6,2,,,,,3,,,,,,2,sel120030,sonia leach,Operations Management 
"Naseri Taheri, Mohammad","Lee, Chungseung",,,,,OPRE,3360,5U1,4,5,10,11,5,6,4,1,8,,,,,,,,,,,mxn121930,mohammad naseri,Managerial Methods in Decision Making Under Uncertainty 
"Naseri Taheri, Mohammad","Lee, Chungseung",,,,,OPRE,3333,5U1,3,6,9,10,6,6,4,4,3,,,,2,,,,,,3,mxn121930,mohammad naseri,Quantitative Business Analysis 
"Alimirzaei, Athena","Armaghan, Milad",,,,,OPRE,3360,0U1,11,7,,9,15,,10,3,,1,1,,2,,,,,,,axa134231,athena alimirzaei,Managerial Methods in Decision Making Under Uncertainty 
"Shan, Xi",,,,,,OPRE,3310,0U1,16,22,12,12,11,,,9,,,,,,,,,,,,xxs130630,xi shan,Operations Management 
"Beauchamp, Joe P",,,,,,PA,6318,0W1,,11,1,1,,1,,,,,,,,,,,,,,jpb016300,joe beauchamp,Information Systems in Policy Environments 
"Cohen, Galia",,,,,,PA,6345,5U1,,8,6,1,,,,,,,,,,,,,,,,gxc097120,galia cohen,Human Resources Management 
"Harrington, James",,,,,,PA,6315,5U1,,23,5,1,,,,,,,,,1,,,,,,,jxh134630,james harrington,Evaluating Program and Organizational Performance 
"Macalevey, Paul J","Fernando, Bharana A","Hussain, Shadhin","Parajuli, Santosh",,,PHYS,2126,1U2,2,6,4,,,,,,,,1,,,,,,,,,paulmac,paul macalevey,Physics Laboratory II 
"Malko, Anton V","Proctor, Matthew S",,,,,PHYS,2325,0U1,,3,3,3,1,1,,2,1,,,,1,,,,,,,avm074000,anton malko,Mechanics 
"Sun, Kuei","Mahmud, Mohammad M","Zhou, Xiaohe",,,,PHYS,2125,1U2,10,10,,,,,,,,,,,,,,,,,,kxs147030,kuei sun,Physics Laboratory I 
"Ishak-Boushaki, Mustapha","Gu, Wenyao",,,,,PHYS,2325,5U1,5,5,4,3,3,,1,,1,,,,,,,,,,,mxi054000,mustapha ishak boushaki,Mechanics 
"Macalevey, Paul J","Fernando, Bharana A","Kakani, Vivek M","Parajuli, Santosh",,,PHYS,2126,1U1,10,11,1,1,,,,,,,,,,,,,,,,paulmac,paul macalevey,Physics Laboratory II 
"Sun, Kuei","Agashe, Anish N","Javed, Umar",,,,PHYS,2125,1U1,4,19,,1,1,1,1,,,,,,3,,,,,,,kxs147030,kuei sun,Physics Laboratory I 
"Slinker, Jason D",,,,,,PHYS,1301,0U1,10,10,3,,3,2,3,2,,2,1,,6,,,,,,,jds107020,jason slinker,College Physics I 
"Gartstein, Yuri","Pedersen, Eske M","Bhattacharjee, Koustubh",,,,PHYS,2326,0U1,2,9,9,4,7,6,2,6,2,1,1,,,,,,,,,yxg037000,yuri gartstein,Electromagnetism and Waves 
"Das, Soham",,,,,,PSCI,4396,0U1,5,3,4,3,1,,1,,,,,1,,,,,,,,sxd153330,,Selected Topics in Government and Politics  - Ethnic and Civil Conflict (3 Semester Credit Hours)
"Kapolowicz, Michelle R","Gonen, Chen",,,,,PSY,3393,5U1,4,2,4,3,,1,,,,,,,,,,,,,1,mrk092020,,Experimental Projects in Psychology 
"Huxtable-Jester, Karen J","Austin, Kathryn A",,,,,PSY,3339,0U1,,4,,1,3,1,2,,1,,1,,2,,,,,,,kxh014900,karen huxtable jester,Educational Psychology 
"Hahn, Amanda C","Debrabander, Kilee M",,,,,PSY,3393,0U1,5,3,2,1,2,,,2,,,,,2,,,,,,,ach103020,amanda hahn,Experimental Projects in Psychology 
"Kapolowicz, Michelle R","Gunal, Mehmet",,,,,PSY,3393,5U2,2,9,2,,3,1,,,,,,,,,,,,,,mrk092020,,Experimental Projects in Psychology 
"Pacheco, Daniel F","Carson, Kevin J",,,,,PSY,2317,0U1,,,7,3,4,3,1,1,2,,,,,,,,,,,pdaniel,daniel pacheco,Statistics for Psychology 
"Raman, Rachna","Adelson, Megan J",,,,,PSY,3392,0U1,4,2,3,1,3,4,3,4,2,1,,,1,,,,,,,rxr076000,rachna raman,Research Design and Analysis 
"Barfoot, John W","Peskova, Olga",,,,,PSY,3342,0U1,1,6,4,8,5,2,1,1,2,,,,,,,,,,1,jwb043000,john barfoot,Exceptional Children 
"Assmann, Peter","Gryder, Kieth",,,,,PSY,3360,5U1,3,1,5,3,8,6,2,3,3,1,1,,1,,,,,,1,assmann,peter assmann,Historical Perspectives on Psychology  Mind and Machines since 1600 
"Meltzer, Mitchell A","Wu, Sining",,,,,PSY,3361,0U1,,13,6,8,4,1,5,2,2,2,3,1,,,,,,,,mam089100,mitchell meltzer,Cognitive Psychology 
"Sands, Kaitlin R","Terry, Courtney",,,,,PSY,3310,0U1,,4,8,7,11,6,4,5,2,2,,,3,,,,,,,krs150330,,Child Development 
"Parsons, Julie A","Helfers, Samantha",,,,,PSY,3331,0U1,,30,14,14,7,7,3,3,2,,,,5,,,,,,,jab140230,julie parsons,Social Psychology 
"Guttery, Randall",,,,,,REAL,6321,5U1,,7,,,4,,,,,,,,,,,,,,,rxg112530,randall guttery,Introduction to Real Estate 
"Berry, Tracey R",,,,,,RHET,1302,0S1,,5,1,1,2,,,,,,,,1,,,,,,,txb112130,tracey berry,Rhetoric 
"DiNuzzo, Brian",,,,,,RHET,1302,0S2,,2,1,2,3,1,,1,,,,,,,,,,,,bxd141330,brian dinuzzo,Rhetoric 
"Bell, Joycelyn M",,,,,,RHET,1302,0S3,,5,3,,3,,,,,,,,,,,,,,,jxb120631,,Rhetoric 
"Stout, Patricia J",,,,,,RHET,1302,091,,5,4,2,1,,1,,,,,1,1,,,,,,,pjs140230,,Rhetoric 
"McIntosh, Suzanne K",,,,,,RHET,1302,053,1,10,2,,1,,,,1,,,,1,,,,,,1,skm130030,suzanne mcintosh,Rhetoric 
"Shierry, Addison",,,,,,RHET,1302,051,5,4,2,,1,2,,,1,,1,,2,,,,,,,axs084500,addison shierry,Rhetoric 
"Boyer, Kent L",,,,,,RHET,1302,052,10,2,2,1,2,,,,1,,,,1,,,,,,,klb140030,kent boyer,Rhetoric 
"Stuart, Georgia K",,,,,,SCI,5V06,0H1,,,,,,,,,,,,,,,,,,,,gks090020,georgia stuart,
"Bateni, Soroush","Gokhale, Shreyas S","Tian, Zijing",,,,SE,4348,0U1,1,1,,1,2,,1,,,,,,3,,,,,,,sxb155530,,Operating Systems Concepts 
"Straach, Janell",,,,,,SE,6388,MS1,,8,,,,2,,,,,,,,,,,,,,jxs017800,janell straach,
"Mazidi, Karen J","Torabi, Behnam",,,,,SE,3340,0U2,,,3,,,1,1,1,,,,,4,,,,,,,kjm160430,karen mazidi,Computer Architecture 
"Christiansen, Michael G","Gu, Shuyang",,,,,SE,4347,0U2,1,3,2,2,2,,1,1,,,1,,,,,,,,,mgc013000,michael christiansen,Database Systems 
"Chung, Lawrence",,,,,,SE,4352,0U1,1,1,2,,3,2,1,2,2,,,,,,,,,,,chung,lawrence chung,Software Architecture and Design 
"Paulk, Mark C","Wang, Zhuoyi",,,,,SE,4381,0U1,,2,6,3,2,4,4,1,2,,,1,,,,,,,,mcp130030,mark paulk,Software Project Planning and Management 
"Taylor, Stephanie M",,,,,,SMED,5301,0W1,,11,3,2,,,1,,,,,,1,,,,,,,smt031000,stephanie taylor,Science  Mathematics  and Society  (3 Semester Credit Hours)
"Lanham, Carol C",,,,,,SOC,4396,0S1,4,11,1,1,,,,,,,,,,,,,,1,,ccl054000,carol lanham,
"Malek-Ahmadi, John H",,,,,,SOC,1301,0W1,,15,,1,7,1,,3,,,,,3,,,,,,,jhm110020,john malek ahmadi,Introduction to Sociology 
"Gonzalez, Cristina M",,,,,,SPAN,2341,051,,13,,,,,,,,,,,,,,,,,,cxg042000,cristina gonzalez,Medical Spanish 
"Katz, William","Doli, Evdoxia",,,,,SPAU,3343,0U1,,3,5,1,,,,,,,,,,,,,,,,wkatz,william katz,Phonetics 
"Barfoot, John W","Peskova, Olga",,,,,SPAU,3342,0U1,,3,2,3,1,2,1,,,,,,1,,,,,,,jwb043000,john barfoot,Exceptional Children 
"Kaplan, Karen",,,,,,SPAU,4394,051,1,8,,1,3,,1,2,,,,,,,,,,,,kkaplan,karen kaplan,Multicultural Aspects of Communication Disorders 
"Schneider, Julie M","Poudel, Sonali",,,,,SPAU,3303,0U1,6,8,1,,1,1,,,,,,,,,,,,,,jxs114631,,Normal Language Development 
"Koshevnik, Yuly","Caseria, Brendan J",,,,,STAT,3360,5U1,,4,,,2,1,,,,,1,1,1,,,,,,,yxk055000,yuly koshevnik,Probability and Statistics for Management and Economics 
"Koshevnik, Yuly","Yuan, Xiaochen",,,,,STAT,1342,0U1,2,1,1,1,3,1,,1,,,,,1,,,,,,,yxk055000,yuly koshevnik,Statistical Decision Making 
"Whalen, Tristan G","Rajapaksha, Rajapaksha Mudalige S",,,,,STAT,2332,0U1,8,6,2,2,3,2,2,,1,,1,1,3,,,,,,,tgw100020,tristan whalen,Introductory Statistics for Life Sciences 
,,,,,,UTD,STAB,001,,,,,,,,,,,,,,,,,,,,,,
