Instructor 1,Instructor 2,Instructor 3,Instructor 4,Instructor 5,Instructor 6,Subject,Catalog Nbr,Section,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,NF,CR,NC,P,I,W,instructor_id,instructor_name_normalized,title
"Kiser, Stephen L",,,,,,IMS,6204,GH1,,7,11,,,,,,,,,,,,,,,,,slk012100,stephen kiser,
"Peinhardt, Clint W",,,,,,IMS,6213,GW1,,2,2,3,7,3,,1,,,,,,,,,,,,cwp052000,clint peinhardt,
"Katz, Lothar",,,,,,IMS,6253,GH1,,3,3,5,7,,,,,,,,,,,,,,,,lothar katz,
"Petrik, Peter","McCracken, John",,,,,IMS,6204,AW1,,11,,,9,,,,,,,,3,,,,,,2,,peter petrik,
"Henderson, Tom",,,,,,IMS,3310,0U2,,14,1,5,6,,1,4,1,,1,,1,,,,,,,txh093000,tom henderson,International Business 
"Henderson, Tom",,,,,,IMS,3310,5U1,,8,4,3,6,1,1,8,,,3,,2,,,,,,,txh093000,tom henderson,International Business 
"Woldu, Habte G","Kim, Kyun",,,,,IMS,6204,0W1,,11,15,8,7,1,,,,,,,,,,,,,3,wolduh,habte woldu,Global Business 
"Li, Xiujuan",,,,,,IMS,3310,0U1,2,5,14,13,7,3,,,,,1,,,,,,,,,xxl133730,,International Business 
"Rosa, Jonathan",,,,,,ISIS,3335,091,7,2,4,4,2,1,1,,,1,,,4,,,,,,,jxr172530,jonathan rosa,United States and East Asia  (3 Semester Credit Hours)
"Pujana, Ignacio",,,,,,ISNS,2367,0W2,13,11,3,2,2,1,1,,1,,1,1,5,,,,,,,pujana,ignacio pujana,The Oceans 
"Pujana, Ignacio",,,,,,ISNS,2367,0W1,28,29,13,7,7,4,1,1,,1,,2,3,,,,,,1,pujana,ignacio pujana,The Oceans 
"Pujana, Ignacio",,,,,,ISNS,2359,0W1,63,9,4,5,2,4,3,1,1,1,1,3,8,,,,,,,pujana,ignacio pujana,Earthquakes and Volcanoes 
"Thompson, Luell O","Sun, Geng",,,,,ITSS,4340,0U1,,3,4,2,6,,,,,,,,1,,,,,,,lot013000,luell thompson,Enterprise Resource Planning 
"Shekhar, Gaurav","Pakala, Tharun Reddy",,,,,ITSS,4351,5U1,,1,2,5,6,,2,,,,,,,,,,,,,gxs150130,gaurav shekhar,Foundations of Business Intelligence 
"Islam, Naser","Sun, Geng",,,,,ITSS,4330,5U1,1,4,2,6,9,,1,1,,,,,,,,,,,,nxi110630,naser islam,Systems Analysis and Design 
"Owens, Dawn M","Pakala, Tharun Reddy",,,,,ITSS,4300,5U1,,3,3,8,4,4,1,4,1,,,,1,,,,,,,dmo130130,dawn owens,Database Fundamentals 
"Yang, Mingwen",,,,,,ITSS,3312,5U1,10,14,3,2,,,,,,,,,,,,,,,,mxy131030,,Object-Oriented Programming 
"Arora, Vivek","Hosseini, Leila",,,,,ITSS,3390,5U1,6,9,6,5,3,,,,,,,,1,,,,,,1,vxa081000,vivek arora,Web Design and Development for Business Applications 
"Samuel, Jayarajan",,,,,,ITSS,3300,5U1,,13,12,7,8,,1,1,1,,1,,1,,,,,,,jxs124931,,Information Technology for Business 
"Akar, Ezgi","Ozdemir, Dicle Yagmur",,,,,ITSS,3300,0U1,,3,9,9,7,3,4,1,4,1,1,1,2,,,,,,2,exa170230,,Information Technology for Business 
"Kim, Yeongin",,,,,,ITSS,3311,5U1,1,21,10,11,,,2,,,,,,1,,,,,,,yxk130930,yeongin kim,Introduction to Programming 
"Gonzalez, Cristina M",,,,,,LANG,2V42,051,,15,,,,,,,,,,,,,,,,,,cxg042000,cristina gonzalez,Topics in Language  - Spanish Language Internship (3 Semester Credit Hours)
"Hunt, Shamim",,,,,,LIT,2331,591,3,2,4,1,,,,1,1,,,,2,,,,,,,sxh034100,,Masterpieces of World Literature 
"Ingrao, Peter J",,,,,,LIT,3327,051,5,6,6,4,1,1,2,1,1,,1,,,,,,,,,jingrao,peter ingrao,Mid-Twentieth Century American Literature 
"Bruce, Norris I",,,,,,MAS,6V05,0U2,,4,4,3,,,,,,,,,,,,,,,,nxb018100,norris bruce,Special Topics in Marketing Management 
"Cirilo, Jason M",,,,,,MAS,6102,0U1,,,,,,,,,,,,,,,,,20,,1,jmc180002,jason cirilo,Professional Development 
"Nguyen, Mylinh T","Kotinkaduwe Rankothgedara, Lak Nilusha K",,,,,MATH,1314,0S1,2,2,1,1,1,,,1,,,,,,,,,,,1,mln018200,mylinh nguyen,
"Akbar, Mohammad M","Thiam, Abdoulaye",,,,,MATH,2312,0S1,3,4,,1,,1,,,1,,,,,,,,,,,mma110020,mohammad akbar,Precalculus 
"Ramakrishna, Viswanath",,,,,,MATH,2413,3S1,,,,,,,,,,,,,,,,,,,,vish,viswanath ramakrishna,Differential Calculus 
"Eydelzon, Anatoly",,,,,,MATH,2419,8U2,,,,,,,,,,,,,,,,,,,,axe031000,anatoly eydelzon,Calculus II 
"McCary, Brady C",,,,,,MATH,1326,5U1,,3,,,,1,,1,1,,1,,3,,,,,,1,bcm052000,brady mccary,Applied Calculus II 
"Ramakrishna, Viswanath","Adabrah, Anani Komla",,,,,MATH,2413,0S1,10,1,,,,,,,,,,,,,,,,,,vish,viswanath ramakrishna,Differential Calculus 
"Mussa, Derege","Zhou, Qinyi",,,,,MATH,1306,0U1,1,,2,1,4,1,,2,,,,1,1,,,,,,,dxm146130,derege mussa,College Algebra for the Non-Scientist 
"Aman, Kelly",,,,,,MATH,2414,8U2,,,,,,,,,,,,,,,,,,,,kxa143530,kelly aman,Integral Calculus 
"Eydelzon, Anatoly",,,,,,MATH,2451,8U2,,,,,,,,,,,,,,,,,,,,axe031000,anatoly eydelzon,Multivariable Calculus with Applications 
"Nguyen, Mylinh T","Jayathilaka, Herath M",,,,,MATH,1314,0U1,3,,,1,,2,2,1,,,1,,3,,,,,,,mln018200,mylinh nguyen,College Algebra 
"Eydelzon, Anatoly",,,,,,MATH,2419,8U1,,,,,,,,,,,,,,,,,,,,axe031000,anatoly eydelzon,Calculus II 
"Aman, Kelly",,,,,,MATH,2414,8U1,,,,,,,,,,,,,,,,,,,,kxa143530,kelly aman,Integral Calculus 
"Dahal, Rabin",,,,,,MATH,2415,8U1,,,,,,,,,,,,,,,,,,,,rxd153030,rabin dahal,Calculus of Several Variables 
"Eydelzon, Anatoly",,,,,,MATH,2451,8U1,,,,,,,,,,,,,,,,,,,,axe031000,anatoly eydelzon,Multivariable Calculus with Applications 
"Dahal, Rabin",,,,,,MATH,2415,8U2,,,,,,,,,,,,,,,,,,,,rxd153030,rabin dahal,Calculus of Several Variables 
"McCary, Brady C",,,,,,MATH,1326,0U2,2,2,2,,2,2,1,2,1,1,,,3,,,,,,1,bcm052000,brady mccary,Applied Calculus II 
"Akbar, Mohammad M",,,,,,MATH,2413,3U1,,,,,,,,,,,,,,,,,,,,mma110020,mohammad akbar,Differential Calculus 
"Ahsan, Mohammad K",,,,,,MATH,2417,3U1,,,,,,,,,,,,,,,,,,,,mka120030,mohammad ahsan,Calculus I 
"Dahal, Rabin",,,,,,MATH,2418,8U2,,,,,,,,,,,,,,,,,,,,rxd153030,rabin dahal,Linear Algebra 
"Ramakrishna, Viswanath",,,,,,MATH,2420,8U2,,,,,,,,,,,,,,,,,,,,vish,viswanath ramakrishna,Differential Equations with Applications 
"Li, Changsong",,,,,,MATH,1325,5U1,3,5,5,,,4,2,,,,,1,2,,,,,,,cxl109120,changsong li,Applied Calculus I 
"Aman, Kelly","Eze, Izuchukwu A","Rakotomalala, Diarisoa Mihaja Andriamanisa","Chowdhury, Md Mujibur Rahman",,,MATH,2414,0U2,1,2,2,3,4,5,1,1,1,,,,2,,,,,,,kxa143530,kelly aman,Integral Calculus 
